generator_id,YN,PMX,PMN,CVP,TCG,SSAA,MRPF,MRSF,FACTORA,H_P,PGN,BASE,RS,RB,TARR,TPAR,TMO,TMPA,RENDH,TIF,RFA_INI,ARR_INI,ACC_INI,PAR_INI,HOC,NAMX,PGINI
G3LCOCO2,1.0,50.0,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3QCABRE,1.0,8.25,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PELARI,1.0,49.5,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PELAR2,1.0,48.3,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PEGUAN,1.0,50.0,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PEMATA,1.0,49.6,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PEACLA,1.0,50.0,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PELGUZ,1.0,48.0,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PELGU2,1.0,46.8,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3PEESPE,1.0,49.5,0.0,0.0,4.0,0.02,,,,,,1.0,,,,,,,,,,,1.0,,,,
G3QUI1FO,1.0,0.0,66.0,6678.251777848861,1.0,0.02,4.5,16.0,237.5,,,1.0,,,,,,,,,,,1.0,,,,
G3Q1SPFO,1.0,0.0,10.3,6678.251777848861,1.0,0.02,5.1,6.0,237.5,,,,,,,,,,,,,,,,,,
G3QUI1GN,1.0,133.0,66.0,4321.964563428512,1.0,0.02,4.5,16.0,237.5,,,,,,1.0,1.0,,,,,,,1.0,,,,
G3Q1SPGN,1.0,68.0,10.3,4321.964563428512,1.0,0.02,6.8,8.0,237.5,,,,,,,,,,,,,,,,,,
G3QUI2FO,1.0,0.0,66.0,7025.039201125142,1.0,0.02,20.88,24.0,305.72999999999996,,,,,,,,,,,,,,,,,,
G3QUI2GN,1.0,198.0,66.0,3413.9302378588127,1.0,0.02,20.88,24.0,305.72999999999996,,,,,,1.0,1.0,,,,,,,,,,,
G3AANDFO,1.0,0.0,150.0,12816.028992932392,1.0,0.03,,,6989.36170212766,5.737503520905375,318.1,,,,4.0,2.0,,1.0,,,,,,,,,
G3AANDGN,1.0,300.0,150.0,4764.031875543865,1.0,0.03,14.0,45.0,6989.36170212766,5.737503520905375,318.1,,,,3.0,1.0,,1.0,,,,,,,,,
G3LMINA6,1.0,0.0,60.0,11915.687996441002,1.0,0.003,11.4,11.1,3990.566037735849,6.1765,123.0,,,,,,,,,,,,,,,,
G3LMINA5,1.0,0.0,60.0,11838.219433906577,1.0,0.003,11.9,10.6,3234.9056603773583,6.1765,123.0,,,,,,,,,,,,,,,,
G3BCARBO,1.0,50.0,29.0,3878.0956692543255,1.0,0.076,,,,2.9412,55.2,,,,1.0,1.0,,4.0,,,,,,,,,
G3ITABO1,1.0,120.0,94.0,3171.3230794507767,1.0,0.08772520685156837,,,,3.7553,128.0,,,,13.0,2.0,,1.0,,,,,,,,,
G3ITABO2,1.0,120.0,100.0,3197.315959683714,1.0,0.08546655784437929,,,,3.7647,132.0,,,,9.0,2.0,,1.0,,,,,,,,,
G3SESTE,1.0,51.0,14.0,7636.1466282238425,1.0,0.021,4.08,8.0,43.33836416962055,,,,,,,,,,,,,,,,,,
G3EM2CGN,1.0,0.0,49.0,5586.933569336709,1.0,0.024,4.146,5.1228,171.864,,,,,,2.0,1.0,,,,,,,,,,,
G3EM2SGN,1.0,0.0,30.0,5871.479125533299,1.0,0.024,4.146,5.1228,171.864,,,,,,,,,,,,,,,,,,
G3EM2CFO,1.0,110.0,49.0,7550.487920788639,1.0,0.024,4.146,5.1228,171.864,,,,,,2.0,1.0,,,,,,,,,,,
G3EM2SFO,1.0,0.0,28.0,7948.432066866375,1.0,0.024,4.146,5.1228,171.864,,,,,,,,,,,,,,,,,,
G3EM3CCT,1.0,147.0,96.0,3440.60526817048,1.0,0.02,,,2248.9,5.9897962075848294,150.3,,,,4.0,3.0,,1.0,,,,,1.0,,,,
G3EM3CCP,1.0,0.0,46.0,3488.0963191245196,1.0,0.02,,,2248.9,5.849736858006042,99.3,,,,3.0,2.0,,1.0,,,,,,,,,
G3EM3CS,1.0,0.0,27.0,5088.550735763267,1.0,0.02,,,2248.9,6.2625,102.0,,,,1.0,,,,,,,,,,,,
G3MRIO,1.0,85.2,45.0,9784.070743838905,1.0,0.022,3.18,4.29,25.19153182,,,,,,,,,,,,,,,,,,
G3PIMEN2,1.0,27.88,7.0,9217.43772628267,1.0,0.027,2.0,6.0,140.7848331,,,,,,,,,,,,,,,,,,
G3PIMEN1,1.0,31.4,7.9,9114.5613207597,1.0,0.029,2.0,6.0,89.97150789,,,,,,,,,,,,,,,,,,
G3PALAMA,1.0,95.0,21.2,8559.216915491097,1.0,0.034,4.8,20.0,28.02984481,,,,,,,,,,,,,,,,,,
G3LVEGA,1.0,68.0,13.85,8634.091847901183,1.0,0.058,4.6,13.0,40.49076023,,,,,,,,,,,,,,,,,,
G3METALD,1.0,0.0,10.5,6177.636689413543,1.0,0.029,1.1,,164.9252786,,,,,,,,,,,,,,,,,,
G3PIMEN3,1.0,51.15,17.06,8673.033037328521,1.0,0.024,2.31,12.69,164.2831197,,,,,,,,,,,,,,,,,,
G3PIMEN4,1.0,36.2,12.6,8716.271436850027,1.0,0.024,1.575,,203.5,,,,,,,,,,,,,,,,,,
G3CES1FO,1.0,0.0,65.0,13136.486857413192,1.0,0.035,2.95,6.82,921.5999999999999,3.8235,100.3,,,,3.0,1.0,,24.0,,,1.0,,,,,,
G3CES2FO,1.0,0.0,65.0,17822.175016928195,1.0,0.035,3.14,6.82,1430.3999999999999,3.8235,100.3,,,,3.0,1.0,,24.0,,,1.0,,,,,,
G3CES3FO,1.0,0.0,65.0,11868.24457019387,1.0,0.035,3.26,6.82,830.3999999999999,3.8235,100.3,,,,3.0,1.0,,24.0,,,1.0,,,,,,
G3CES1GN,1.0,90.0,66.0,3373.7348806246227,1.0,0.035,2.95,7.4,921.5999999999999,3.8235,100.3,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,
G3CES2GN,1.0,90.0,66.0,3344.4144512287744,1.0,0.035,3.14,8.86,1430.3999999999999,3.8235,100.3,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,
G3CES3GN,1.0,90.0,66.0,3367.795728707031,1.0,0.035,3.26,7.3,830.3999999999999,3.8235,100.3,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,
G3E4CCFO,1.0,130.0,90.0,10314.034385519295,1.0,0.035,3.63,11.87,3696.0,6.165146404744256,134.89999999999998,,,,3.0,1.0,,,,,,,,,,,
G3E4CCGN,1.0,130.0,94.0,4623.439868605826,1.0,0.035,4.08,11.42,3696.0,6.165146404744256,134.89999999999998,,,,2.0,1.0,,,,,,,,,,,
*G3SFELIP,,0.0,132.0,,1.0,0.08,6.0,15.0,5281.1,,,,,,4.0,1.0,,2.0,,,1.0,,,,,1.0,
*G3SFCC,,0.0,92.0,,1.0,0.08,,,,,,,,,3.0,1.0,,1.0,,,1.0,,,,,,
*G3SFV,,0.0,40.0,,1.0,0.08,,,,,,,,,2.0,1.0,,2.0,,,1.0,,,,,,
G3IKM22,1.0,14.4,4.5,9872.111559181876,1.0,0.02,,,,,,,,,,,,,,,,,,,,,
G3LOPPFO,1.0,58.9,14.0,8931.28947267821,1.0,0.02,3.29,16.3,196.4712521,,,,,,,,,,,,,,,,,,
G3LOPPGN,1.0,0.0,14.0,7853.7093066638445,1.0,0.02,0.85,4.7,196.4712521,,,,,,,,,,,,,,,,,,
G3SLORE1,1.0,0.0,0.0,14229.867674858222,1.0,0.02,,,,,,,,,,,,,,,1.0,,,,,,
G3HTG,1.0,0.0,60.0,12991.409544879307,1.0,0.002,5.3,,4000.0,6.4706,100.3,,,,1.0,1.0,,6.0,,,,,,,,,
G3BERSAL,1.0,8.0,6.0,9507.96926786114,1.0,0.02,0.72,,59.12223866,,,,,,,,,,,,,,,,,,
G3MPSOLA,1.0,60.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMSO1,1.0,50.6,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMPAL,1.0,49.88,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PSCANO,1.0,25.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFBAYA,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PSGIRA,1.0,100.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3SANTAS,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3ESOCO,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PSESPE,1.0,76.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCALA,1.0,50.6,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMATR,1.0,46.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCUM1,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFCUM2,1.0,30.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFLNEG,1.0,17.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMAR1,1.0,10.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFSAJO,1.0,68.4,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFVICT,1.0,50.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
G3PFMIRA,1.0,100.0,0.0,,4.0,0.02,,,,,,1.0,,,,,,,,,,,,,,,
