col_A,col_B,dm.1,dm.2,dm.3,dm.4,dm.5,dm.6,dm.7,dm.8,dm.9,dm.10,dm.11,dm.12,dm.13,dm.14,dm.15,dm.16,dm.17,dm.18,dm.19,dm.20,dm.21,dm.22,dm.23,dm.24,dm.25,dm.26,dm.27,dm.28,dm.29,dm.30,dm.31,dm.32,dm.33,dm.34,dm.35,dm.36,dm.37,dm.38,dm.39,dm.40,dm.41,dm.42,dm.43,dm.44,dm.45,dm.46,dm.47,dm.48,col_AY,DUEÑO
WABCOF,,2.0581307949999998,2.0490480240000002,2.004857726,2.0195839339999999,2.0559522129999999,1.9594072890000001,1.868273281,1.723972469,1.349273366,0.90340467700000004,0.24495287299999999,0.14720597099999999,0.232389978,0.93916212300000002,1.2722234059999999,2.3303434140000001,3.5855345789999999,3.5896595979999999,3.7083457549999999,3.7435314910000002,3.8335622960000002,3.8877424679999999,3.8431785820000002,3.838372723,3.2667412759999999,3.0175016609999998,3.2312577149999999,3.4065530050000001,3.4363487730000002,3.3964376660000002,3.343248907,3.1538225259999999,2.5746289720000002,1.8124071589999999,1.7781315090000001,1.773776316,1.8466237320000001,1.7501900939999999,1.943737958,1.962796266,2.1449892679999998,2.843095307,3.222108612,3.3324507080000001,3.2463925050000002,3.345813631,3.2840485670000001,2.7467108439999999,,
WABISF,,0.29085,0.26151000000000002,0.26240999999999998,0.26216,0.25966,0.26715,0.27288000000000001,0.21975,0.21589,4.598E-2,5.2810000000000003E-2,0.13322999999999999,8.5919999999999996E-2,0.23562,6.3789999999999999E-2,0.30431000000000002,0.56454000000000004,0.69347000000000003,0.75480000000000003,0.74914000000000003,0.68598999999999999,0.58257000000000003,0.54349999999999998,0.46131,0.29085,0.26151000000000002,0.26240999999999998,0.26216,0.25966,0.26715,0.27288000000000001,0.21975,0.21589,4.598E-2,5.2810000000000003E-2,0.13322999999999999,8.5919999999999996E-2,0.23562,6.3789999999999999E-2,0.30431000000000002,0.56454000000000004,0.69347000000000003,0.75480000000000003,0.74914000000000003,0.68598999999999999,0.58257000000000003,0.54349999999999998,0.46131,,
WABRUF,,9.7706885359999998,9.3344552350000001,9.0178668379999998,8.7485920910000008,8.4208648069999992,8.0159238009999996,7.4812250850000002,6.8235882060000002,6.7856428859999998,7.0613799339999996,7.3616558110000003,7.8078931369999998,8.1423791189999992,8.4435096690000009,8.5601100809999995,8.7135255859999994,9.1293750980000006,9.2716250260000006,9.6273229520000001,9.9730123289999995,10.758000620000001,10.75055283,10.91183472,10.79440099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WACIBF,,0.63106055005180872,0.62134681752867638,0.60343546594922381,0.61159713637618274,0.59010391010830643,0.56625336749313049,0.63889991955568748,0.5663355040691409,0.46778148905945632,0.31706410134838897,0.24902274451853229,0.30262153908132655,0.50984335929752933,0.42206134883038732,0.43409653322457087,0.52821725652043761,0.57254343485934678,0.65846744224477416,0.74455918887683792,0.79850633661958881,0.7418129291738057,0.71437535914179295,0.69642668663485707,0.66359792398698769,0.74249114507821246,0.71688176266308745,0.70744132595180642,0.6772665626477421,0.65904169481725183,0.66800575396638351,0.67912660102177902,0.55156375369076771,0.39929107997657576,0.30123156388326139,0.30622433132973825,0.14398663391943961,0.29954249533506189,0.16755806946225937,0.11254220929459577,0.27550993780272598,0.52708066967106071,0.63801066218380342,0.74895332355192445,0.8653057640440418,0.82256027842062096,0.82717193762422592,0.80803153299338271,0.76821303881659964,,
WADMIF,,2.82443,2.8380899999999998,2.80966,2.79718,2.79779,2.7835000000000001,2.7713800000000002,2.8119700000000001,2.87425,2.8802599999999998,2.8762500000000002,2.8462399999999999,2.81779,2.8384299999999998,2.8182999999999998,2.7898800000000001,2.81291,2.81053,2.8097699999999999,2.8306900000000002,2.8363800000000001,2.8351299999999999,2.8202699999999998,2.7883,2.82443,2.8380899999999998,2.80966,2.79718,2.79779,2.7835000000000001,2.7713800000000002,2.8119700000000001,2.87425,2.8802599999999998,2.8762500000000002,2.8462399999999999,2.81779,2.8384299999999998,2.8182999999999998,2.7898800000000001,2.81291,2.81053,2.8097699999999999,2.8306900000000002,2.8363800000000001,2.8351299999999999,2.8202699999999998,2.7883,,
