loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,Inom
Measurement,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51N.ElmRelay\Measurement.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Measurement,5.0
Measurement,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51.ElmRelay\Measurement.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Measurement,5.0
Measure,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SA522.ElmRelay\Measure.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Measure,1.0
Meas_Delta,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SA522.ElmRelay\Meas_Delta.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_Delta,1.0
Meas_I0mut,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SA522.ElmRelay\Meas_I0mut.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_I0mut,1.0
MeasPhase,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SJ62.ElmRelay\MeasPhase.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasPhase,1.0
Meas0Seq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SJ62.ElmRelay\Meas0Seq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas0Seq,1.0
MeasSeq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SJ62.ElmRelay\MeasSeq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasSeq,0.0
Measure,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SA522.ElmRelay\Measure.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Measure,1.0
Meas_Delta,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SA522.ElmRelay\Meas_Delta.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_Delta,1.0
Meas_I0mut,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SA522.ElmRelay\Meas_I0mut.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_I0mut,1.0
MeasPhase,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SJ62.ElmRelay\MeasPhase.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasPhase,1.0
Meas0Seq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SJ62.ElmRelay\Meas0Seq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas0Seq,1.0
MeasSeq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SJ62.ElmRelay\MeasSeq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasSeq,0.0
Measure,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SA522.ElmRelay\Measure.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Measure,1.0
Meas_Delta,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SA522.ElmRelay\Meas_Delta.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_Delta,1.0
Meas_I0mut,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SA522.ElmRelay\Meas_I0mut.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_I0mut,1.0
MeasPhase,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SJ62.ElmRelay\MeasPhase.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasPhase,1.0
Meas0Seq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SJ62.ElmRelay\Meas0Seq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas0Seq,1.0
MeasSeq,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SJ62.ElmRelay\MeasSeq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasSeq,0.0
Measure,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Measure.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Measure,1.0
