loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,av_mode,plini,qlini,slini,coslini,scale0,mode_inp,phtech
Demanda Río Chavón,ZRCHAF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Río Chavón.ElmLod,69 kV Río Chavón,WRCHAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.007223635911941528,constq,0.8199999928474426,0.27000001072883606,0.8633075952529907,0.9498352408409119,1.0,DEF,3PH-'D'
Demanda Buena Vista,ZBVISF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Buena Vista.ElmLod,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\3.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.06653473526239395,constq,7.489999771118164,2.6700000762939453,7.951666355133057,0.9419409036636353,1.0,PQ,3PH-'D'
Demanda Benedicto,ZBENEF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Benedicto.ElmLod,69 kV Benedicto,WBENEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Benedicto.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.00642984127625823,constq,0.7300000190734863,0.23999999463558197,0.7684400081634521,0.9499765634536743,1.0,PQ,3PH-'D'
Demanda Higüey 69 kV,ZHIGUF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Higüey 69 kV.ElmLod,WHIGUF(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(6).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.1294701099395752,constq,14.699999809265137,4.829999923706055,15.473167419433594,0.9500316977500916,1.0,PQ,3PH-'D'
Demanda 1 La Romana Pueblo,ZLRMAF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 1 La Romana Pueblo.ElmLod,WLRPUF(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.042018823325634,constq,4.769999980926514,1.5700000524520874,5.021732807159424,0.949871301651001,1.0,PQ,3PH-'D'
Demanda Batey Lechuga,ZBLECF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Batey Lechuga.ElmLod,69 kV Batey Lechuga,WBLECF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.0009011960355564952,constq,0.10000000149011612,0.03999999910593033,0.107703298330307,0.9284766912460327,1.0,PQ,3PH-'D'
Demanda Guaymate,ZGUAYF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Guaymate.ElmLod,69 kV Guaymate,WGUAYF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guaymate.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.005548409651964903,constq,0.6100000143051147,0.25999999046325684,0.6630988121032715,0.9199232459068298,1.0,PQ,3PH-'D'
Demanda Rancho Peligro,ZRPELF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Rancho Peligro.ElmLod,69 kV Rancho Peligro,WRPELF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,8.367394912056625e-05,constq,0.009999999776482582,0.0,0.009999999776482582,1.0,1.0,PQ,3PH-'D'
Demanda Consuelo,ZCSULF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Consuelo.ElmLod,69 kV Consuelo,WCSULF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Consuelo.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.05676042661070824,constq,6.309999942779541,2.490000009536743,6.783524036407471,0.9301949739456177,1.0,PQ,3PH-'D'
Demanda Sabana de la Mar,ZSMARF-D1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Sabana de la Mar.ElmLod,69 kV Sabana de la Mar,WSMARF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sabana de la Mar.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.024998916313052177,constq,2.690000057220459,1.2999999523162842,2.9876580238342285,0.9003707766532898,1.0,DEF,3PH-'D'
