loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(bushv)_id,barra(buslv),barra(buslv)_for,barra(buslv)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
138/13.8 kV Transformador Palomino 1,WPLM1E_WPLM1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 1.ElmTr2,L2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\ZPALOE.ElmSubstat\L2.ElmTerm,Terminal Palomino 1,WPLM1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\Terminal Palomino 1.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.8 kV Trafo Palomino 48 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Palomino 2,WPLM2E_WPLM2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 2.ElmTr2,R2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\ZPALOE.ElmSubstat\R2.ElmTerm,Terminal Palomino 2,WPLM2K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\Terminal Palomino 2.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.8 kV Trafo Palomino 48 MVA,0.0,0.0,1,0,0,1.0
154/11 kV Transformador 1 Powership Azua,WPAK2E_WXPA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 1 Powership Azua.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\ZPAK2E.ElmSubstat\3.ElmTerm,Terminal POWERSHIP AZUA KPS26 1,WXPA1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Terminal POWERSHIP AZUA KPS26 1.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,154/11 kV Trafo KARPOWERSHIP 62.5 MVA,0.0,0.0,1,-8,0,1.0
154/11 kV Transformador 2 Powership Azua,WPAK2E_WXPA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 2 Powership Azua.ElmTr2,5,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\ZPAK2E.ElmSubstat\5.ElmTerm,Terminal POWERSHIP AZUA KPS26 2,WXPA2K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Terminal POWERSHIP AZUA KPS26 2.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,154/11 kV Trafo KARPOWERSHIP 62.5 MVA,0.0,0.0,1,-8,0,1.0
154/15 kV Transformador 1 Powership Azua,WPAK6E_WXPA3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\154/15 kV Transformador 1 Powership Azua.ElmTr2,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\ZPAK6E.ElmSubstat\1.ElmTerm,Terminal Powership Azua KPS60,WXPA3K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Terminal Powership Azua KPS60.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,154/15 kV Trafo KARPOWERSHIP,0.0,0.0,1,-6,0,1.0
138/4.16 kV Transformador 1 Palenque,WPALBE_WPAQ2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 1 Palenque.ElmTr2,R1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\ZPALEE.ElmSubstat\R1.ElmTerm,Terminal Palenque 1,WPAQ1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\Terminal Palenque 1.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/4.2 kV Trafo Palenque 1 30 MVA,0.0,0.0,1,-1,0,1.0
138/4.16 kV Transformador 2 Palenque,WPALBE_WPAQ2K-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 2 Palenque.ElmTr2,R2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\ZPALEE.ElmSubstat\R2.ElmTerm,Terminal Palenque 1,WPAQ1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\Terminal Palenque 1.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/4.2 kV Trafo Palenque 2 30 MVA,0.0,0.0,1,1,0,1.0
138/69 kV Transformado Cruce de Cabral 2,WCC21E_WCCA2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138/69 kV Transformado Cruce de Cabral 2.ElmTr2,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\ZCCA2E.ElmSubstat\2.ElmTerm,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\ZCCA2F.ElmSubstat\1.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/69 kV Cruce de Cabral 2 T1 (75 MVA),0.0,0.0,1,1,0,1.0
138/69 kV Transformador San Juan 2,WSJU2E_WSJU2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite\138/69 kV Transformador San Juan 2.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite\ZSJU2E.ElmSubstat\3.ElmTerm,6,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite\ZSJU2F.ElmSubstat\6.ElmTerm,0,SUR MEDIO,SUR,SUR 138 kV,,138/69 kV San Juan 2 T1 75 MVA,0.0,0.0,1,-3,0,1.0
138/69 kV Transformador 1 Pizarrete,WPIZAE_WPIZAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\138/69 kV Transformador 1 Pizarrete.ElmTr2,6,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\ZPIZAE.ElmSubstat\6.ElmTerm,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\ZPIZAF.ElmSubstat\2.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/69 kV Pizarrete T1 (150 MVA),0.0,0.0,1,0,0,1.0
