loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(bushv)_id,barra(buslv),barra(buslv)_for,barra(buslv)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
138/34.5 kV Transformador Matafongo,WMTFNE_WMTFNK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\138/34.5 kV Transformador Matafongo.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\ZMTFNE.ElmSubstat\3.ElmTerm,Terminal Matafongo,WMTFNK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Matafongo 55 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Bayasol,WBAYAE_WBAYAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\138/34.5 kV Transformador Bayasol.ElmTr2,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\ZBAYAE.ElmSubstat\2.ElmTerm,Terminal Bayasol,WBAYAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Terminal Bayasol.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Bayasol 60 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 1 Girasol,WGIRAE_WGIRAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 1 Girasol.ElmTr2,L2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAE.ElmSubstat\L2.ElmTerm,L1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\L1.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Girasol 75 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 2 Girasol,WGIRAE_WGIRAK-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 2 Girasol.ElmTr2,R2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAE.ElmSubstat\R2.ElmTerm,R4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R4.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Girasol 75 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador Santanasol,WSANTE_WSANTK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\138/34.5 kV Transformador Santanasol.ElmTr2,L2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\ZSANTE.ElmSubstat\L2.ElmTerm,Terminal Santanasol,WSANTK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Terminal Santanasol.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo Santanasol 60 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador PF Calabaza 1,WCALAE_WXCA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\138/34.5 kV Transformador PF Calabaza 1.ElmTr2,L1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\ZCALAE.ElmSubstat\L1.ElmTerm,Terminal PF Calabaza 1,WXCA1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Terminal PF Calabaza 1.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,,138/34.5 kV Trafo PF Calabaza 1 60 MVA,0.0,0.0,1,-8,0,1.0
138/69 kV Transformador Arroyo Hondo,WAHO1E_WAHONF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\138/69 kV Transformador Arroyo Hondo.ElmTr2,E01,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\ZAHONE.ElmSubstat\E01.ElmTerm,WAHONF(15),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\ZAHONF.ElmSubstat\WAHONF(15).ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Arroyo Hondo T1 (200 MVA),0.0,0.0,1,0,0,1.0
138/69 kV Transformador Herrera,WHERRE_WHNVAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\138/69 kV Transformador Herrera.ElmTr2,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\ZHERRE.ElmSubstat\1.ElmTerm,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\ZHNV3F.ElmSubstat\2.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Herrera T1 (70 MVA),0.0,0.0,1,0,0,1.0
138/69 kV Transformador Dajao,WDJAOE_WDJAOF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite\138/69 kV Transformador Dajao.ElmTr2,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite\ZDJAOE.ElmSubstat\1.ElmTerm,WDJAOF(10),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite\ZDJAOF.ElmSubstat\WDJAOF(10).ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Dajao T1(150 MVA),0.0,0.0,1,-6,0,1.0
138/69 kV Transformador Boca Chica,WBCHIE_WBCHIF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138/69 kV Transformador Boca Chica.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\ZBCHIE.ElmSubstat\3.ElmTerm,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\ZBCHIF.ElmSubstat\1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Boca Chica T1 (80 MVA),0.0,0.0,1,-4,0,1.0
138/69 kV Transformador Hainamosa,WHNSAE_WHNSAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\138/69 kV Transformador Hainamosa.ElmTr2,E3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\ZHNSAE.ElmSubstat\E3.ElmTerm,F1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\ZHNSAE.ElmSubstat\F1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Haina,0.0,0.0,1,0,0,1.0
138/69 kV Transformador Villa Duarte,WVDUAE_WVDUAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Villa Duarte.ElmSite\138/69 kV Transformador Villa Duarte.ElmTr2,E6,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Villa Duarte.ElmSite\ZVDUAE.ElmSubstat\E6.ElmTerm,F1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Villa Duarte.ElmSite\ZVDUAE.ElmSubstat\F1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Villa Duarte T1 (140 MVA),0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Los Mina 6,WLMI6E_WLMI6K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\138/13.8 kV Transformador Los Mina 6.ElmTr2,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\ZLMI6E.ElmSubstat\2.ElmTerm,Terminal Los Mina 6,WLMI6K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\Terminal Los Mina 6.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo Los Mina 6 150 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador AES Andrés TV,WAANDE_WAANVK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/13.8 kV Transformador AES Andrés TV.ElmTr2,4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\ZAANDE.ElmSubstat\4.ElmTerm,Terminal AES Andrés Vapor,WAANVK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal AES Andrés Vapor.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo AES Andrés TV 141 MVA,0.0,0.0,1,2,0,1.0
138/19 kV Transformador AES Andrés TG,WAANDE_WAANGK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/19 kV Transformador AES Andrés TG.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\ZAANDE.ElmSubstat\3.ElmTerm,Terminal AES Andrés Gas,WAANGK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal AES Andrés Gas.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/19 kV Trafo AES Andrés TG 264 MVA,0.0,0.0,1,2,0,1.0
138/4.16 kV BESS AES Andrés T1,WAANDE_WXBAAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/4.16 kV BESS AES Andrés T1.ElmTr2,6,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\ZAANDE.ElmSubstat\6.ElmTerm,Terminal BESS AES Andrés,WXBAAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal BESS AES Andrés.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/4.16 kV BESS AES Andrés T1(22.4 MVA),0.0,0.0,1,0,0,1.0
138/13.2 kV Transformador METALDOM,WMETAE_WMETAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\METALDOM.ElmSite\138/13.2 kV Transformador METALDOM.ElmTr2,WMETAE(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\METALDOM.ElmSite\ZMETAE.ElmSubstat\WMETAE(2).ElmTerm,Terminal METALDOM,WMETAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\METALDOM.ElmSite\Terminal METALDOM.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo METALDOM 60 MVA,0.0,0.0,1,0,0,1.0
138/69 kV Transformador Timbeque 2,WTIM2E_WTIM2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\138/69 kV Transformador Timbeque 2.ElmTr2,R3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\ZTIM2E.ElmSubstat\R3.ElmTerm,4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\ZTIM2F.ElmSubstat\4.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Timbeque 2 T1(140MVA),0.0,0.0,1,1,0,1.0
138/13.8 kV Transformador Los Mina 5,WLMI5E_WLMI5K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\138/13.8 kV Transformador Los Mina 5.ElmTr2,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\ZLMI5E.ElmSubstat\2.ElmTerm,Terminal Los Mina 5,WLMI5K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\Terminal Los Mina 5.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 Trafo Los Mina 5 150 MVA,0.0,0.0,1,2,0,1.0
138/69 kV Transformador 1 Palamara,WPALAE_WPALBF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 1 Palamara.ElmTr2,10,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\ZPALAE.ElmSubstat\10.ElmTerm,R4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\ZPALAF.ElmSubstat\R4.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Palamara T1 (140 MVA),0.0,0.0,1,-1,0,1.0
138/69 kV Transformador 2 Palamara,WPALAE_WPALAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 2 Palamara.ElmTr2,9,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\ZPALAE.ElmSubstat\9.ElmTerm,L1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\ZPALAF.ElmSubstat\L1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/69 kV Palamara T2 (200 MVA),0.0,0.0,1,-4,0,1.0
138/13.8 kV Transformador EDM2,WEMA2E_WEMA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\EDM 2.ElmSite\138/13.8 kV Transformador EDM2.ElmTr2,Terminal Estrella del Mar 2,WXED2E,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\EDM 2.ElmSite\Terminal Estrella del Mar 2.ElmTerm,13.8 kV Estrella del Mar 2,WEMA2K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\13.8 kV Estrella del Mar 2.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo EDM2 150 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Los Mina 7,WLMI7E_WLMI7K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\138/13.8 kV Transformador Los Mina 7.ElmTr2,1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\ZLMI7E.ElmSubstat\1.ElmTerm,Terminal Los Mina 7,WLMI7K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\Terminal Los Mina 7.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13. Trafo Los Mina 7 150 MVA,0.0,0.0,1,2,0,1.0
138/69 kV Transformador Metropolitano 2,WMETRE_WMETRF-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Metropolitano.ElmSite\138/69 kV Transformador Metropolitano 2.ElmTr2,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Metropolitano.ElmSite\ZMETRE.ElmSubstat\3.ElmTerm,R3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Metropolitano.ElmSite\WMETRF.ElmSubstat\R3.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,,138/69 kV Autotr Metropolitano 125 MVA,0.0,0.0,1,-3,0,1.0
138/13.8 kV Trafo SIBA Grupo 1,WSIBAE_WXSI1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 1.ElmTr2,L1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\L1.ElmTerm,Terminal SIBA Grupo 1,WXSI1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 1.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 2,WSIBAE_WXSI2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 2.ElmTr2,L2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\L2.ElmTerm,Terminal SIBA Grupo 2,WXSI2K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 2.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 3,WSIBAE_WXSI3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 3.ElmTr2,L3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\L3.ElmTerm,Terminal SIBA Grupo 3,WXSI3K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 3.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 4,WSIBAE_WXSI4K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 4.ElmTr2,L4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\L4.ElmTerm,Terminal SIBA Grupo 4,WXSI4K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 4.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 42 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 5,WSIBBE_WXSI5K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 5.ElmTr2,R1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\R1.ElmTerm,Terminal SIBA Grupo 5,WXSI5K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 5.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,145/13.8 kV Trafo SIBA 48 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Trafo SIBA Grupo 6,WSIBAE_WXSI6K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 6.ElmTr2,L5,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\ZSIBAE.ElmSubstat\L5.ElmTerm,Terminal SIBA Grupo 6,WXSI6K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 6.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,,138/13.8 kV Trafo SIBA 65 MVA,0.0,0.0,1,-2,0,1.0
