loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Intercambios Este – Norte,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Intercambios Este – Norte.ElmBoundary,0,,,,
Intercambios Sur – Norte,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Intercambios Sur – Norte.ElmBoundary,0,,,,
Intercambios Central – Norte,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Intercambios Central – Norte.ElmBoundary,0,,,,
Intercambios Sur – Central,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Intercambios Sur – Central.ElmBoundary,0,,,,
Intercambios Central – Este,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Intercambios Central – Este.ElmBoundary,0,,,,
Flowgate_Área Sur,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\Flowgate_Área Sur.ElmBoundary,0,,,,
138 kV SCN – Valdesia L1 y L2-(DAG),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Boundaries.IntBoundary\138 kV SCN – Valdesia L1 y L2-(DAG).ElmBoundary,0,,,,
