loc_name,for_name,ruta
ESTE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Areas.IntArea\ESTE.ElmArea
NORTE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Areas.IntArea\NORTE.ElmArea
SUR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Areas.IntArea\SUR.ElmArea
CENTRAL,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Areas.IntArea\CENTRAL.ElmArea
