loc_name,for_name,ruta,sgn,cosn,ugn,q_max,q_min,Q_max,Q_min,xd,xq,xl,rstr,xds,xdss,xqss,xqs,xdsat,tds0,tdss0,tqss0,h,iturbo
Estrella del Mar 3 TG,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Estrella del Mar 3 TG.TypSym,63.70000076293945,0.800000011920929,13.800000190734863,0.6000000238418579,-0.41999998688697815,38.220001220703125,-26.753999710083008,1.8899999856948853,1.2350000143051147,0.177,0.0020000000949949026,0.44200000166893005,0.25200000405311584,0.2460000067949295,0.30000001192092896,1.6779999732971191,2.779411792755127,0.022801587358117104,0.05020324885845184,5.010000228881836,0
Estrella del Mar 3 TV,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Estrella del Mar 3 TV.TypSym,60.40999984741211,0.800000011920929,13.800000190734863,0.6000000238418579,-0.41999998688697815,36.246002197265625,-25.37220001220703,2.009999990463257,1.909999966621399,0.143,0.0010000000474974513,0.25,0.1770000010728836,0.1940000057220459,0.4300000071525574,1.8799999952316284,5.716440200805664,0.04096044972538948,0.17067012190818787,4.331080913543701,1
Quisqueya 1 Motor,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Quisqueya 1 Motor.TypSym,21.344999313354492,0.800000011920929,13.800000190734863,0.6090419292449951,-0.3000234365463257,13.0,-6.4039998054504395,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,1.0110000371932983,1.2000000476837158,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 1 TV,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Quisqueya 1 TV.TypSym,25.413000106811523,0.800000011920929,13.800000190734863,0.6000000238418579,-0.39349937438964844,15.247800827026367,-10.0,1.7799999713897705,0.800000011920929,0.0,0.004000000189989805,0.27000001072883606,0.17299999296665192,0.20000000298023224,0.30000001192092896,1.2000000476837158,7.190000057220459,0.031213873997330666,0.029999999329447746,0.9200000166893005,0
Punta Catalina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Punta Catalina.TypSym,460.0,0.8500000238418579,22.0,0.539130449295044,-0.41304346919059753,248.0,-190.0,1.850000023841858,1.7899999618530273,0.14,0.0011111111380159855,0.23000000417232513,0.1850000023841858,0.1850000023841858,0.4099999964237213,1.850000023841858,6.299999713897705,0.0035999997053295374,0.07499999552965164,3.993018865585327,1
CESPM 3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\CESPM 3.TypSym,118.0,0.8500000238418579,13.800000190734863,0.5254237055778503,-0.39830508828163147,62.0,-47.0,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,0.41100001335144043,1.659999966621399,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
CESPM 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\CESPM 2.TypSym,118.0,0.8500000238418579,13.800000190734863,0.5254237055778503,-0.39830508828163147,62.0,-47.0,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,0.41100001335144043,1.659999966621399,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
CESPM 1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\CESPM 1.TypSym,118.0,0.8500000238418579,13.800000190734863,0.5254237055778503,-0.39830508828163147,62.0,-47.0,1.899999976158142,1.809999942779541,0.127,0.0010000000474974513,0.21199999749660492,0.14900000393390656,0.16300000250339508,0.41100001335144043,1.659999966621399,8.232999801635742,0.0430000014603138,0.05000000074505806,3.25,1
San Pedro Bio-Energy,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\San Pedro Bio-Energy.TypSym,34.70000076293945,0.8999999761581421,13.800000190734863,0.5299999713897705,-0.28999999165534973,18.39099884033203,-10.062999725341797,2.430000066757202,1.3700000047683716,0.183,0.0020000000949949026,0.36800000071525574,0.29100000858306885,0.39800000190734863,0.36800000071525574,0.1860000044107437,8.23426628112793,0.030350515618920326,0.03442211076617241,1.0444146394729614,0
Contra Embalse Monción 1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Synchronous Machines\Contra Embalse Monción 1.TypSym,1.7999999523162842,0.800000011920929,4.159999847412109,0.5400000214576721,-0.14000000059604645,0.972000002861023,-0.25200000405311584,1.5,1.0,0.0,0.004399999976158142,0.30000001192092896,0.1899999976158142,0.20000000298023224,0.30000001192092896,1.2000000476837158,5.0,0.05999999865889549,0.2512562870979309,3.5,0
