loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,barra(bus2),barra(bus2)_for,barra(bus2)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,dline,nlnum,Inom,R0,R1,X0,X1,B0,B1,G1
69 kV Derivación Carrefour,ZCARRF_ZXCARF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Carrefour.ElmLne,69 kV Carrefour(1),WCARRF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Carrefour(1).ElmTerm,Tap Carrefour,WXCARF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Carrefour.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 55 P/69 - 477 ACSR,0.004999999888241291,1,0.6589999794960022,0.002606969093903899,0.0005896516377106309,0.0075637162663042545,0.002192708197981119,0.010139739140868187,0.019366243854165077,3.8163916264694603e-19
69 kV Derivación Grupo Petroquímica,ZGPETF_ZXGPEF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Grupo Petroquímica.ElmLne,69 kV Grupo Petroquímica,WGPETF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Petroquímica.ElmTerm,Tap Grupo Petroquímica,WXGPEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Grupo Petroquímica.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 55 P/69 - 559 AAAC,0.0010000000474974513,1,0.6629999876022339,0.0005200738669373095,0.00011661033931886777,0.0015065365005284548,0.00043233478209003806,0.002027947921305895,0.003873249050229788,7.632783899173774e-20
69 kV Derivación CODETEL,ZCODEF_ZXCODF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación CODETEL.ElmLne,Tap CODETEL,WXCODF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap CODETEL.ElmTerm,69 kV CODETEL,WCODEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV CODETEL.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 50 P/69 - 477 ACSR,0.019999999552965164,1,0.6589999794960022,0.010431522503495216,0.00235860887914896,0.03024252876639366,0.008770836517214775,0.041308436542749405,0.07749218493700027,-2.7755574995243454e-19
69 kV Derivación Banco Popular,ZBPOPF_ZXBPOF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Banco Popular.ElmLne,69 kV Banco Popular,WBPOPF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Banco Popular.ElmTerm,Tap Banco Popular,WXBPOF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Banco Popular.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,P.CONCRETO TVS-1/1C/69/1xF - 4/0 AAAC,0.01600000075995922,1,0.3799999952316284,0.011032262817025185,0.004916598554700613,0.025326872244477272,0.007436542306095362,0.02976655215024948,0.05822385475039482,-2.220446154715841e-19
69 kV Derivación Centro Oper Herrera,ZCOHEF_ZXCOHF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Centro Oper Herrera.ElmLne,69 kV Centro Operaciones Herrera,WCOHEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Centro Operaciones Herrera.ElmTerm,Tap Centro Operación Herrera,WXCOHF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Centro Operación Herrera.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 50 P/69 - 4/0 AAAC,0.02500000037252903,1,0.3799999952316284,0.017771903425455093,0.007680761627852917,0.038684748113155365,0.011845131404697895,0.0492231585085392,0.08870214223861694,2.775557602921922e-18
69 kV Derivación Plásticos Flexibles,ZPFLEF_ZXPFLF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Plásticos Flexibles.ElmLne,Tap Plásticos Flexibles(1),WXPFLF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Plásticos Flexibles(1).ElmTerm,69 kV Plásticos Flexibles,WPFLEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Plásticos Flexibles.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 50 P/69 - 4/0 AAAC,0.05000000074505806,1,0.3799999952316284,0.03554380685091019,0.015361523255705833,0.07736949622631073,0.02369026280939579,0.0984463170170784,0.1774042844772339,5.551115205843844e-18
69 kV Derivación TORGINOL,ZTORGF_ZXTORF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación TORGINOL.ElmLne,69 kV TORGINOL,WTORGF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV TORGINOL.ElmTerm,Tap TORGINOL,WXTORF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap TORGINOL.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 50 P/69 - 4/0 AAAC,0.029999999329447746,1,0.3799999952316284,0.021326284855604172,0.0092169139534235,0.04642169550061226,0.01421415712684393,0.05906778946518898,0.10644256323575974,3.3306689994292145e-18
69 kV Derivación Acueducto Brujela_a,ZXCA2F_ZXACBF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Acueducto Brujela_a.ElmLne,Tap 2 Catalina,WXCA2F,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 2 Catalina.ElmTerm,Tap Acueducto Brujuelas,WXACBF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto Brujuelas.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.CONCRETO TVS-1/1C/69/1xF - 4/0 AAAC,0.10000000149011612,1,0.3799999952316284,0.06895164400339127,0.030728738754987717,0.1582929491996765,0.04647838696837425,0.1860409379005432,0.3638990819454193,-1.387778801460961e-18
69 kV Derivación Catalina,ZCATAF_ZXACBF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Catalina.ElmLne,69 kV Catalina,WCATAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Catalina.ElmTerm,Tap Acueducto Brujuelas,WXACBF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto Brujuelas.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.CONCRETO TVS-1/1C/69/1xF - 4/0 AAAC,0.0010000000474974513,1,0.3799999952316284,0.000689516426064074,0.0003072874096687883,0.0015829295152798295,0.0004647838941309601,0.0018604095093905926,0.0036389909218996763,-1.3877788466974007e-20
69 kV Derivación La Caleta,ZLCALF_ZXLCAF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación La Caleta.ElmLne,69 kV La Caleta,WLCALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZLCALF.ElmSubstat\69 kV La Caleta.ElmTerm,Tap 1 La Caleta,WXLCAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,P.MADERA TP-IG 50 P/69 - 559 AAAC,0.020999999716877937,1,0.6629999876022339,0.011004140600562096,0.0024475085083395243,0.03180529549717903,0.008957542479038239,0.04301831126213074,0.08246518671512604,-5.828670800699914e-19
