bus_i,bus_j,r_ohm,x_ohm,length_km,ice_a,out_of_service,name
WLMINE,WLMI5E,0.01982159,0.07571066,0.17,0.07762944,0,138 kV Los Mina – Los Mina 5
WLMI6E,WLMINE,0.0244855,0.09352493,0.21,0.09589519,0,138 kV Los Mina – Los Mina 6
WLMI7E,WLMINE,0.0116155,0.07071331,0.2,0.1035129,0,138 kV Los Mina – Los Mina 7
WTIM2E,WLMINE,0.19777,1.00074,3.39,1.737371,0,138 kV Los Mina – Timbeque 2
WLMINE,WVDUAE,0.1773513,0.8974187,3.04,1.557996,0,138 kV Los Mina – Villa Duarte
WLANGE,WTAVEE,0.6449209,2.719923,5.5,2.443567,0,138 kV López Angostura – Tavera
WMATAE,WMETAE,0.0582988,0.2226784,0.5,0.2283219,0,138 kV Matadero – METALDOM
WUASDE,WMATAE,0.2041873,1.033212,3.5,1.793746,0,138 kV Matadero – UASD
WMETRE,WPARAE,0.2158552,1.092253,3.7,1.896245,0,138 kV Metropolitano – Paraíso
WMOCAE,WSALCE,1.395933,5.694474,12.0,5.111615,0,138 kV Moca – Salcedo
WPIMEE,WNAG2E,4.641536,19.97731,40.0,17.55333,0,138 kV Nagua 2 – Pimentel
WRSJUE,WNAG2E,5.823369,23.75545,50.06,21.32396,0,138 kV Nagua 2 – Río San Juan
WNAG2E,WSANCE,4.35144,18.72873,37.5,16.45625,0,138 kV Nagua 2 – Sánchez
WSFMAE,WPIMEE,2.899563,12.43782,25.0,10.932,0,138 kV Pimentel – SFM
WPIZAE,WVALDE,1.929423,7.88424,16.4,8.054221,0,138 kV Pizarrete – Valdesia
WSFELE,WPPL2E,0.2320071,0.9494706,2.0,0.8631862,0,138 kV Puerto Plata 2 – San Felipe L1
WSFELE,WPPL2E,0.2320071,0.9494706,2.0,0.8631862,0,138 kV Puerto Plata 2 – San Felipe L2
WPPL2E,WZSANE,6.760695,24.9718,51.7,21.82111,1,138 kV Puerto Plata 2 – ZF Santiago L2
WSALCE,WSFMAE,2.559211,10.43987,22.0,9.371294,0,138 kV Salcedo – SFM
WSANCE,WSAMAE,3.771248,16.23156,32.5,14.26208,0,138 kV Sánchez – Samaná
WTIM2E,WVDUAE,0.2001036,1.012548,3.43,1.757871,0,138 kV Timbeque 2 – Villa Duarte
WKQAZE,WMRIOE,0.9031054,5.49796,15.55,8.048125,0,138 kV km 15 de Azua – Monte Río
WLCOCK,WLARIK,0.2160127,1.254303,3.0,0.4234718,0,34.5 kV Larimar 1 – Los Cocos 1
WLCOCK,WLARIK,0.2160127,1.254303,3.0,0.4234718,0,34.5 kV Larimar 2 – Los Cocos 2
WNARAD,WBON3D,8.872048,40.49802,75.17,91.29716,0,345 kV Bonao 3 – El Naranjo L1
WNARAD,WBON3D,8.872048,40.49802,75.17,91.29716,0,345 kV Bonao 3 – El Naranjo L2
WPCATD,WJSAUD,1.232725,15.13156,44.93,75.29373,0,345 kV Julio Sauri – Punta Catalina L1
WPCATD,WJSAUD,1.232725,15.13156,44.93,75.29373,0,345 kV Julio Sauri – Punta Catalina L2
WAHONF,WLCUAF,0.4545373,1.663544,3.9,0.9547912,0,69 kV Arroyo Hondo – La Cuarenta
WMLTPF,WBAYOF,0.6643238,2.431333,5.7,1.395464,0,69 kV Bayona – Multiparques
WFALCF,WBON2E,0.3918597,1.449308,3.0,0.7213768,0,69 kV Bonao 2 – FALCONDO_a
WPINAF,WBON2E,2.628158,9.618693,22.55,5.520651,0,69 kV Bonao 2 – Pinalito
WRBLAF,WBON2E,1.736566,6.355589,14.9,3.647792,0,69 kV Bonao 2 – Río Blanco
WDRIOF,WBON2E,0.1282028,0.4692046,1.1,0.2693001,0,69 kV Bonao 2 – ZF Dos Ríos
WLROMF,WBVISF,0.6643237,2.431333,5.7,1.395464,0,69 kV Buena Vista – La Romana
WCZFSF,WZSANF,0.00096958,0.00460956,0.0165,0.00460665,0,69 kV CZF Santiago – ZF Santiago
WTIMBF,WCAPOF,0.4162989,1.543435,3.57,0.8652363,0,69 kV Capotillo – Timbeque
WCCA2F,WCCABF,0.04717218,0.1754167,0.4,0.09873667,0,69 kV Cruce Cabral – Cruce Cabral 2
WCOCOF,WSJOCF,9.878442,13.86676,26.0,6.905735,0,69 kV Cruce de Ocoa – San José de Ocoa
WTIMBF,WDESPF,0.01781774,0.0445374,0.094,0.02211908,0,69 kV Despacho – Timbeque
WDUVEF,WNEYBF,6.000211,9.253417,19.53,4.595592,0,69 kV Duvergé – Neyba
WTIMBF,WEMA3F,0.02056683,0.09777854,0.35,0.09771685,0,69 kV Estrella del Mar 3 – Timbeque
WEMA3F,WTIM2F,0.01057723,0.05028611,0.18,0.05025438,0,69 kV Estrella del Mar 3 – Timbeque 2
WHNSAE,WINVIF,0.4347242,1.59103,3.73,0.9131721,0,69 kV Hainamosa – Invivienda
WHMA2F,WSMARF,4.544127,16.24449,39.1,9.148856,0,69 kV Hato Mayor 2 – Sabana de la Mar
WCVEGF,WLVEGF,0.441819,0.5209538,1.06,0.2458434,0,69 kV La Vega – Cervecería Vegana
WLMINF,WTIMBF,0.7373378,2.675342,6.32,1.470424,0,69 kV Los Mina – Timbeque
WLMINF,WVDUAE,0.2915258,1.080837,2.5,0.6059077,0,69 kV Los Mina – Villa Duarte
WPALAF,WGPALF,0.00058762,0.00279367,0.01,0.00279191,0,69 kV Palamara – Generadora Palamara
WRNUEF,WFANTF,1.433541,5.246561,12.3,3.011264,0,69 kV Rincón Nueva – Fantino
WRNUEF,WRINCF,0.1578,0.304154,0.6,0.1668852,0,69 kV Rincón Nueva – Rincón
WSPMAF,WSPEVF,0.1491815,0.5459835,1.28,0.3133673,0,69 kV SPM – San Pedro Vapor
WSJUAF,WSABAF,9.386857,12.37837,24.73,5.641949,0,69 kV Sabaneta – San Juan
WTIMBF,WTIM2F,0.01175248,0.05587345,0.2,0.0558382,0,69 kV Timbeque – Timbeque 2
WKQAZF,WLTORF,0.9394607,4.029855,8.1,1.811808,0,69 kV km 15 Azua – Los Toros
