name,hv_bus,lv_bus,v_setpoint,controlled_node
69/12.5 kV Transformador Rincón,WRINCF,,1.0,
69/12.5 kV Transformador Sabaneta,WSABAF,,1.0,
69/13.8 kV Transformador Brazo Derecho,WBDERF,,1.0,
69/13.8 kV Transformador La Vega Grupo 1,WGVEGF,WLVEGK,1.0,
69/13.8 kV Transformador La Vega Grupo 2,WGVEGF,WLVEGK,1.0,
69/13.8 kV Transformador Palamara Grupo1,WGPALF,WPAL1K,1.0,
69/13.8 kV Transformador Palamara Grupo2,WGPALF,WPAL1K,1.0,
69/13.8 kV Transformador Palamara Grupo3,WGPALF,WPAL3K,1.0,
69/13.8 kV Transformador Pinalito 1,WPINAF,,1.0,
69/13.8 kV Transformador Pinalito 2,WPINAF,,1.0,
69/13.8 kV Transformador Río Blanco 1,WRBLAF,,1.0,
69/13.8 kV Transformador Río Blanco 2,WRBLAF,,1.0,
69/13.8 kV Transformador Sabana Yegua,WSYEGF,,1.0,
69/13.8 kV Transformador San Pedro Vapor,WSPEVF,,1.0,
69/20 kV Transformador Monte Plata Solar,,WMPSOK,1.0,
69/22 kV Transformador Magueyal,WMAGUF,,1.0,
69/34.5 kV Transformador Canoa Solar,WSCANF,,1.0,
69/34.5 kV Transformador Mata de Palma,,WMPALK,1.0,
69/4.16 kV Transformador Rosa Julia Cruz,WNAGUF,,1.0,
69/6.9 kV Transformador Los Toros,WLTORF,,1.0,
