loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_AT,barra_AT_for,barra_AT_kV,barra_AT_id,barra_BT,barra_BT_for,barra_BT_kV,barra_BT_id,num_paralelos,tap_actual,tap_auto,U_consigna_pu,nodo_ctrl_for
345/138 kV Transformador 2 El Naranjo,WNARAD_WNARAE-T2,0,CIBAO NORTE,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\345/138 kV Transformador 2 El Naranjo.ElmTr2,345/138 kV El Naranjo T1 y T2 (450 MVA),D4,,345.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\D4.ElmTerm,E4,,138.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\E4.ElmTerm,1,4,0,1.0,
345/138 kV Transformador 1 El Naranjo,WNARAD_WNARAE-T1,0,CIBAO NORTE,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\345/138 kV Transformador 1 El Naranjo.ElmTr2,345/138 kV El Naranjo T1 y T2 (450 MVA),D5,,345.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\D5.ElmTerm,E6,,138.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\E6.ElmTerm,1,4,0,1.0,
230/13.8 kV Transformador Quisqueya 2 G1,WQU11D_WQU21K-T1,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G1.ElmTr2,230/13.8 kV Trafo 18% Quisqueya 90 MVA,9,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\9.ElmTerm,E2,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E2.ElmTerm,1,0,0,1.0,
230/13.8 kV Transformador Quisqueya 2 G2,WQU11D_WQU22K-T2,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G2.ElmTr2,230/13.8 kV Trafo 18% Quisqueya 90 MVA,8,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\8.ElmTerm,E6,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E6.ElmTerm,1,0,0,1.0,
230/13.8 kV Transformador Quisqueya 2 G3,WQU11D_WQU23K-T3,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G3.ElmTr2,230/13.8 kV Trafo18% Quisqueya 106 MVA,6,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\6.ElmTerm,10,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\10.ElmTerm,1,0,0,1.0,
230/13.8 kV Transformador Q1 San Pedro,WQUISD_WQ1SPK-T1,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Q1 San Pedro.ElmTr2,230/13.8 kV Trafo 18% Quisqueya 90 MVA,1,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\1.ElmTerm,E2,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E2.ElmTerm,1,0,0,1.0,
230/13.8 kV Transformador Quisqueya 1 G2,WQU21D_WQU12K-T2,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G2.ElmTr2,230/13.8 kV Trafo 18% Quisqueya 90 MVA,2,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\2.ElmTerm,E6,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E6.ElmTerm,1,0,0,1.0,
230/13.8 kV Transformador Quisqueya 1 G3,WQU21D_WQU13K-T3,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G3.ElmTr2,230/13.8 kV Trafo18% Quisqueya 106 MVA,3,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\3.ElmTerm,5,,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\5.ElmTerm,1,0,0,1.0,
230/34.5 kV Transformador 1 PVDC,WPVDCD_WPVD1K-T1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 1 PVDC.ElmTr2,230/34.5 kV Trafo Barrick Carga 150 MVA,L4,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\L4.ElmTerm,Terminal PVDC 1,WPVD1K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm,1,0,0,1.0,
230/34.5 kV Transformador 2 PVDC,WPVDCD_WPVD2K-T1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 2 PVDC.ElmTr2,230/34.5 kV Trafo Barrick Carga 150 MVA,R2,,230.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\R2.ElmTerm,Terminal PVDC 2,WPVD2K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 2.ElmTerm,1,0,0,1.0,
