loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Measurement Horno,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Hornos FALCONDO.ElmComp\Measurement Horno.ElmFile,1,,,NORTE 138 kV,
Measurement File,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\FrecuencyMeasure.ElmComp\Measurement File.ElmFile,1,,,CENTRAL 138 kV,
