loc_name,for_name,ruta
charL,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Study Cases.IntPrjfolder\BASE.IntCase\Impedance Loci.ComDpl\charL.ChaVec
charR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Study Cases.IntPrjfolder\BASE.IntCase\Impedance Loci.ComDpl\charR.ChaVec
