loc_name,for_name,ruta,systp,nlnph,aP,bP,cP,aQ,bQ,cQ,kpu,kqu,phtech
Cargas zona sur,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Santanasol\Equipment Type Library\Loads\Cargas zona sur.TypLod,0,3,0.3499999940395355,0.0,0.6500000059604645,0.0,0.0,1.0,1.7000000476837158,2.4000000953674316,0
Carga zona norte,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Pimentel 4\Equipment Type Library\Loads\Carga zona norte.TypLod,0,3,0.3499999940395355,0.0,0.6500000059604645,0.0,0.0,1.0,1.2000000476837158,2.200000047683716,0
