loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(buslv),barra(buslv)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
12.47/0.44 kV Transfomador 1 Baiguaque,WTAVBE_WBAI1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Site.ElmSite\12.47/0.44 kV Transfomador 1 Baiguaque.ElmTr2,Terminal 2 Baigüaque,WBAI2K,Terminal 1 Baiguaque,WBAI1K,0,CIBAO NORTE,,NORTE 138 kV,,12.47/0.44 kV Trafo 1 Baiguaque,0.0,0.0,1,-3,0,1.0
34.5/12.47 kV Trafo Jánico,WTAVBE_WBAI2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\34.5/12.47 kV Trafo Jánico.ElmTr2,34.5 kV Jánico,WJANIK,Terminal 2 Baigüaque,WBAI2K,0,CIBAO NORTE,NORTE,NORTE 138 kV,,34.5/12.47 kV Trafo 2 Baiguaque,0.0,0.0,1,-3,0,1.0
138/13.8 kV Transformador Tavera 2,WTAVBE_WTAV2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Tavera.ElmSite\138/13.8 kV Transformador Tavera 2.ElmTr2,4,,Terminal Tavera 2,WTAV2K,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Tavera 2 65 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador Tavera 1,WTAVEE_WTAV1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Tavera.ElmSite\138/13.8 kV Transformador Tavera 1.ElmTr2,3,,Terminal Tavera 1,WTAV1K,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Tavera 2 65 MVA,0.0,0.0,1,2,0,1.0
69/34.5 kV Transformador FALCONDO,WFALCF_WFALCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\69/34.5 kV Transformador FALCONDO.ElmTr2,WFALCF(1),,R3,,1,CIBAO SUR,NORTE,NORTE 138 kV,,69/34.5 kV Falcondo T1 (78.4 MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador PF SAJOMA,WSAJ1E_WSAJOK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\138/34.5 kV Transformador PF SAJOMA.ElmTr2,1,,Terminal PF SAJOMA,WXPFSK,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/34.5 kV SAJOMA T1(75 MVA),0.0,0.0,1,0,0,1.0
138/20 kV Trafo Monte Cristi Solar G1,WGUAYE_WPFM1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\138/20 kV Trafo Monte Cristi Solar G1.ElmTr2,4,,L1,,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/20 kV Traf Monte Cristi Solar 25 MVA,0.0,0.0,1,3,0,1.0
138/20 kV Trafo Monte Cristi Solar G2,WGUAYE_WPFM2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\138/20 kV Trafo Monte Cristi Solar G2.ElmTr2,3,,R1,,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/20 kV Traf Monte Cristi Solar 25 MVA,0.0,0.0,1,3,0,1.0
138/34.5 kV Transformador Agua Clara,WACLAE_WACLAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\138/34.5 kV Transformador Agua Clara.ElmTr2,3,,Terminal Agua Clara,WACLAK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/34.5 kV Trafo Agua Clara 60 MVA,0.0,0.0,1,2,0,1.0
138/34.5 kV Transformador Guanillo,WGNLLE_WGNLLK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\138/34.5 kV Transformador Guanillo.ElmTr2,3,,Terminal Guanillo,WGNLLK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/34.5 kV Trafo Guanilo 63 MVA,0.0,0.0,1,0,0,1.0
138/69 kV Transformador SFM,WSFMAE_WSFMAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SFM.ElmSite\138/69 kV Transformador SFM.ElmTr2,3,,3,,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/69 kV SFM T1 (140 MVA),0.0,0.0,1,-3,0,1.0
138/34.5 kV Trafo Los Guzmancito,WLGUZE_WLGUZK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\138/34.5 kV Trafo Los Guzmancito.ElmTr2,3,,Terminal Los Guzmancito,WLGUZK,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/34.5 Trafo Los Guzmancitos 72 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Trafo 2 Guzmancito,WLGUZE_WLGU2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\138/34.5 kV Trafo 2 Guzmancito.ElmTr2,4,,Terminal Los Guzmancito 2,WLGU2K,0,CIBAO NORTE,NORTE,NORTE 138 kV,,34.5/138 kV Trafo Guzmancito 2 72 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador MATRISOL,WMAT1E_WXMATK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\138/34.5 kV Transformador MATRISOL.ElmTr2,1,,Terminal MATRISOL,WXMATK,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/34.5 kV Trafo Matrisol 50 MVA,0.0,0.0,1,10,0,1.0
138/34.5 kV Transformador PS Esperanza,WESP1E_WXPS1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\138/34.5 kV Transformador PS Esperanza.ElmTr2,1,,Terminal 1 Parque Solar Esperanza,WXPS1K,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/34.5 kV Trafo PS Esperanza 75 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Pimentel 4 T1,WPIMEE_WXPI4K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138/13.8 kV Pimentel 4 T1.ElmTr2,R4,,Terminal Pimentel 4,WXPI4K,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/13.8 kV Pimentel 4(100 MVA),0.0,0.0,1,0,0,1.0
138/34.5 kV Tavera T1,WTAV2E_WTAVEK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138/34.5 kV Tavera T1.ElmTr2,7,,34.5 kV Tavera,WTAVEK,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/34.5 kV Trafo Tavera,0.0,0.0,1,0,0,1.0
69/6.9 kV Transformador Los Toros,WLTOBF_WLTO1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\69/6.9 kV Transformador Los Toros.ElmTr2,69 kV Los Toros,WLTORF,Terminal Los Toros,WLTO1K,0,SUR MEDIO,SUR,SUR 69 kV,,72/6.9 kV Trafo Los Toros 10.5 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Sabana Yegua,WSYEGF_WSYEGK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\69/13.8 kV Transformador Sabana Yegua.ElmTr2,2,,Terminal Sabana Yegua,WSYEGK,0,SUR MEDIO,SUR,SUR 69 kV,,69/13.8 kV Trafo Sabana Yegua 15 MVA,0.0,0.0,1,1,0,1.0
69/12.5 kV Transformador Sabaneta,WSABAF_WSABAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\69/12.5 kV Transformador Sabaneta.ElmTr2,WSABAF(1),,Terminal Sabaneta,WSABAK,0,SUR MEDIO,SUR,SUR 69 kV,,67/12.47 kV Trafo Sabaneta 15 MVA,0.0,0.0,1,1,0,1.0
69/22 kV Transformador Magueyal,WMAGUF_WMAGUK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Magueyal.ElmSite\69/22 kV Transformador Magueyal.ElmTr2,69 kV Magueyal,WMAGUF,Terminal Magueyal,WMAGUK,0,SUR MEDIO,SUR,SUR 69 kV,,69/13.8 kV Trafo Magueyal 4 MVA,0.0,0.0,1,0,0,1.0
69/12.5 kV Transformador Las Damas,WLDAMF_WLDAMK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Las Damas.ElmSite\69/12.5 kV Transformador Las Damas.ElmTr2,69 kV Las Damas,WLDAMF,WLDAMK(11),,0,SUR PROFUNDO,SUR,SUR 69 kV,,69/12.5 kV Trafo Las Damas 9.4 MVA,0.0,0.0,1,-1,0,1.0
12.47/4.16 kV Trafo Domingo Rodríguez,WDRODK_WDRODL-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Domingo Rodríguez.ElmSite\12.47/4.16 kV Trafo Domingo Rodríguez.ElmTr2,Terminal Domingo Rodríguez 1,WDRODK,Terminal Domingo Rodríguez 2,WDRODL,0,SUR MEDIO,SUR,SUR 69 kV,,12.5/4.16 Trafo Dgo Rod 7 MVA,0.0,0.0,1,0,0,1.0
69/12.47 kV Trafo Domingo Rodríguez,WDRODF_WDRODK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Domingo Rodríguez.ElmSite\69/12.47 kV Trafo Domingo Rodríguez.ElmTr2,69 kV Domingo Rodríguez,WDRODF,Terminal Domingo Rodríguez 1,WDRODK,0,SUR MEDIO,SUR,SUR 69 kV,,69/12.5 Trafo Dgo Rod 5 MVA,0.0,0.0,1,0,0,1.0
69/34.5 kV Transformador Canoa Solar,WSCANF_WSCANK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\69/34.5 kV Transformador Canoa Solar.ElmTr2,2,,Terminal Canoa Solar,WSCANK,0,SUR PROFUNDO,SUR,SUR 69 kV,,69/34.5 kV Trafo Canoa Solar 32 MVA,0.0,0.0,1,-1,0,1.0
69/12.47 kV Nizao-Najayo T1,WYAGUF_WXNNAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69/12.47 kV Nizao-Najayo T1.ElmTr2,69 kV Yaguate,WYAGUF,Terminal Nizao-Najayo,WXNNAK,0,SUR CERCANO,SUR,SUR 69 kV,,69/12.47 kV Nizao-Najayo (18.5 MVA) T1,0.0,0.0,1,0,0,1.0
69/12.47 kV Pizarrete Distribución T1,WPIZDF_WXLANK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69/12.47 kV Pizarrete Distribución T1.ElmTr2,69 kV Pizarrete Distribución,WPIZDF,Terminal Los Anones,WXLANK,0,SUR CERCANO,SUR,SUR 69 kV,,69/12.47 kV Los Anones (14 MVA) T1,0.0,0.0,1,0,0,1.0
138/69 kV Transformador km 15 de Azua,WKQAZE_WKQAZF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\138/69 kV Transformador km 15 de Azua.ElmTr2,8,,T1,,0,SUR MEDIO,SUR,SUR 138 kV,,138/69 kV km 15,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador Haina TG,WHAINE_WHAIGK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\138/13.8 kV Transformador Haina TG.ElmTr2,1,,Terminal Haina TG,WHAIGK,0,SUR CERCANO,SUR,SUR 138 kV,,145/13.8 kV Trafo Haina TG 150 MVA,0.0,0.0,1,-1,0,1.0
138/69 kV Transformador Haina,WHAINE_WHAINF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\138/69 kV Transformador Haina.ElmTr2,2,,R1,,0,SUR CERCANO,SUR,SUR 138 kV,,138/69 kV Haina T1 T1 (140 MVA),0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Valdesia 2,WVALDE_WVAL2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Valdesia 2.ElmTr2,R2,,Terminal Valdesia 2,WVAL2K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 kV Trafo Valdesia 30 MVA,0.0,0.0,1,1,0,1.0
138/13.8 kV Transformador Valdesia 1,WVALDE_WVAL1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Valdesia 1.ElmTr2,R1,,Terminal Valdesia 1,WVAL1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 kV Trafo Valdesia 1 30 MVA,0.0,0.0,1,1,0,1.0
138/13.8 kV Transformador Las Barias,WVALDE_WLBARK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138/13.8 kV Transformador Las Barias.ElmTr2,R3,,Terminal Las Barías,WLBARK,0,SUR CERCANO,SUR,SUR 138 kV,,Trafo SSAA Valdesia 5 MVA,0.0,0.0,1,7,0,1.0
138/13.8 kV Transformado Barahona Carbón,WBCARE_WBARCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Barahona Carbón.ElmSite\138/13.8 kV Transformado Barahona Carbón.ElmTr2,4,,Terminal Barahona Carbón,WBCARK,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/13.8 kV Trafo Barahona Carbón 95 MVA,0.0,0.0,1,-2,0,1.0
138/69 kV Transformador Barahona Carbón,WBCARE_WBCARF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Barahona Carbón.ElmSite\138/69 kV Transformador Barahona Carbón.ElmTr2,3,,Terminal Barahona,WXBARF,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/69 kV Trafo Barahona Carbón 40 MVA,0.0,0.0,1,-1,0,1.0
138/13.8 kV Transformador Jigüey 2,WJIGUE_WJIG2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Jiguey.ElmSite\138/13.8 kV Transformador Jigüey 2.ElmTr2,L2,,Terminal Jigüey 2,WJIG2K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 Trafo Jigüey 2  61.3 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Jigüey 1,WJIGBE_WJIG1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Jiguey.ElmSite\138/13.8 kV Transformador Jigüey 1.ElmTr2,R2,,Terminal Jigüey 1,WJIG1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 Trafo Jigüey 1 61.3 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Aguacate 2,WAGUBE_WAGU2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\138/13.8 kV Transformador Aguacate 2.ElmTr2,L1,,Terminal Aguacate 2,WAGU2K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 kV Trafo Valdesia 2 32.5 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador Aguacate 1,WAGUAE_WAGU1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\138/13.8 kV Transformador Aguacate 1.ElmTr2,R1,,Terminal Aguacate 1,WAGU1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/13.8 kV Trafo Valdesia 32.5 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador Monte Río G3,WMRIOE_WMRI3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G3.ElmTr2,2,,Terminal Monte Río 3,WMRI3K,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.2 kV Trafo Monterío 70 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Monte Río G2,WMRIOE_WMRI2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G2.ElmTr2,3,,Terminal Monte Río 2,WMRI2K,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.2 kV Trafo Monterío 70 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Monte Río G1,WMRIOE_WMRI1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G1.ElmTr2,4,,Terminal Monte Río 1,WMRI1K,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.2 kV Trafo Monterío 70 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Itabo 1,WITABE_WITA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138/13.8 kV Transformador Itabo 1.ElmTr2,3,,Terminal Itabo 1,WITA1K,0,SUR CERCANO,SUR,SUR 138 kV,,144.27/13.8 kV Trafo Itabo 1 150 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador Itabo 2,WITABE_WITA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138/13.8 kV Transformador Itabo 2.ElmTr2,10,,Terminal Itabo 2,WITA2K,0,SUR CERCANO,SUR,SUR 138 kV,,144.138/13.8 Trafo Itabo 2 156 MVA,0.0,0.0,1,-2,0,1.0
138/13.8 kV Transformador San Lorenzo,WITAGE_WSLORK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\138/13.8 kV Transformador San Lorenzo.ElmTr2,5,,2,,0,SUR CERCANO,SUR,SUR 138 kV,,145/13.8 kV Trafo San Lorenzo 48 MVA,0.0,0.0,1,-2,0,1.0
138/34.5 kV Transformador 1 Los Cocos,WLCOCE_WLCOCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 1 Los Cocos.ElmTr2,1,,L1,,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/34.5 kV Trafo Los Cocos 45 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 2 Los Cocos,WLCOCE_WLCOCK-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 2 Los Cocos.ElmTr2,2,,L2,,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/34.5 kV Trafo Los Cocos 45 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 3 Los Cocos,WLCOCE_WLCOCK-T3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 3 Los Cocos.ElmTr2,6,,R4,,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/34.5 kV Trafo Los Cocos 2 45 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador 4 Los Cocos,WLCOCE_WLCOCK-T4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 4 Los Cocos.ElmTr2,7,,R5,,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/34.5 kV Trafo Los Cocos 45 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Palomino 1,WPLM1E_WPLM1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 1.ElmTr2,L2,,Terminal Palomino 1,WPLM1K,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.8 kV Trafo Palomino 48 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Palomino 2,WPLM2E_WPLM2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 2.ElmTr2,R2,,Terminal Palomino 2,WPLM2K,0,SUR MEDIO,SUR,SUR 138 kV,,138/13.8 kV Trafo Palomino 48 MVA,0.0,0.0,1,0,0,1.0
154/11 kV Transformador 1 Powership Azua,WPAK2E_WXPA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 1 Powership Azua.ElmTr2,3,,Terminal POWERSHIP AZUA KPS26 1,WXPA1K,0,SUR MEDIO,SUR,SUR 138 kV,,154/11 kV Trafo KARPOWERSHIP 62.5 MVA,0.0,0.0,1,-8,0,1.0
154/11 kV Transformador 2 Powership Azua,WPAK2E_WXPA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 2 Powership Azua.ElmTr2,5,,Terminal POWERSHIP AZUA KPS26 2,WXPA2K,0,SUR MEDIO,SUR,SUR 138 kV,,154/11 kV Trafo KARPOWERSHIP 62.5 MVA,0.0,0.0,1,-8,0,1.0
154/15 kV Transformador 1 Powership Azua,WPAK6E_WXPA3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\154/15 kV Transformador 1 Powership Azua.ElmTr2,1,,Terminal Powership Azua KPS60,WXPA3K,0,SUR MEDIO,SUR,SUR 138 kV,,154/15 kV Trafo KARPOWERSHIP,0.0,0.0,1,-6,0,1.0
138/4.16 kV Transformador 1 Palenque,WPALBE_WPAQ2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 1 Palenque.ElmTr2,R1,,Terminal Palenque 1,WPAQ1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/4.2 kV Trafo Palenque 1 30 MVA,0.0,0.0,1,-1,0,1.0
138/4.16 kV Transformador 2 Palenque,WPALBE_WPAQ2K-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 2 Palenque.ElmTr2,R2,,Terminal Palenque 1,WPAQ1K,0,SUR CERCANO,SUR,SUR 138 kV,,138/4.2 kV Trafo Palenque 2 30 MVA,0.0,0.0,1,1,0,1.0
138/69 kV Transformado Cruce de Cabral 2,WCC21E_WCCA2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138/69 kV Transformado Cruce de Cabral 2.ElmTr2,2,,1,,0,SUR PROFUNDO,SUR,SUR 138 kV,,138/69 kV Cruce de Cabral 2 T1 (75 MVA),0.0,0.0,1,1,0,1.0
138/69 kV Transformador San Juan 2,WSJU2E_WSJU2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite\138/69 kV Transformador San Juan 2.ElmTr2,3,,6,,0,SUR MEDIO,SUR,SUR 138 kV,,138/69 kV San Juan 2 T1 75 MVA,0.0,0.0,1,-3,0,1.0
