loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,typ_id,GPSlat,GPSlon,Inom,ngnum,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,mode_inp,phtech,bustp,phiini
Quisqueya 2 Grupo 2,G4QUIS22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 2.ElmSym,E15,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 2 Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 2 Grupo 3,G4QUIS23,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 3.ElmSym,E9,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 2 Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 2 TV,G5QUISQ2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 TV.ElmSym,E13,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 1 TV,0.0,0.0,1.0632030963897705,1,1.000000013351432e-10,0.0,1.0,constq,0,20.330400466918945,0.0,1.0,-1.0,20.0,DEF,1,PQ,0.0
Quisqueya 1 Grupo 3,G4QUIS13,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 3.ElmSym,E9,,0,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 1 Motor,0.0,0.0,3.5720407962799072,4,17.076000213623047,0.0,1.0399999618530273,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 1 TV,G5QUISQ1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 TV.ElmSym,E13,,0,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 1 TV,0.0,0.0,1.0632030963897705,1,8.892000198364258,0.0,1.0,constq,0,20.330400466918945,0.0,1.0,-1.0,20.0,DEF,1,PQ,0.0
Punta Catalina 1,G3PCATA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 1.ElmSym,Terminal Punta Catalina 1,WPCA1K,0,SUR CERCANO,SUR,Expansión 345 kV,Coal,,Punta Catalina,0.0,0.0,12.071868896484375,1,340.0,164.6695556640625,1.0499999523162842,constv,1,375.0,0.0,1.0,-1.0,353.0,DEF,1,SL,0.0
Punta Catalina 2,G3PCATA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 2.ElmSym,Terminal Punta Catalina 2,WPCA2K,0,SUR CERCANO,SUR,Expansión 345 kV,Coal,,Punta Catalina,0.0,0.0,12.071868896484375,1,359.989990234375,174.3511199951172,1.0499999523162842,constv,0,375.0,0.0,1.0,-1.0,366.0,DEF,1,PV,0.0
Sultana del Este Grupo 3,G4SESTE3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 3.ElmSym,Terminal Sultana del Este 3,WSES3K,1,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,Sultana del Este Motor,0.0,0.0,2.679030656814575,3,1.000000013351432e-10,6.00007751816456e-11,1.0,constv,0,17.0,0.0,1.0,-1.0,18.143251419067383,DEF,1,PV,0.0
Sultana del Este Grupo 1,G4SESTE1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 1.ElmSym,Terminal Sultana del Este 1,WSES1K,1,ESTE CERCANO,ESTE,ESTE 138 kV,Diesel,,Sultana del Este Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.0,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Sultana del Este Grupo 2,G4SESTE2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 2.ElmSym,Terminal Sultana del Este 2,WSES2K,1,ESTE CERCANO,ESTE,ESTE 138 kV,Others,,Sultana del Este Motor,0.0,0.0,2.679030656814575,3,1.000000013351432e-10,0.0,1.0,constv,0,17.0,0.0,1.0,-1.0,18.143251419067383,DEF,1,PV,0.0
