nombre,fuera_servicio,zona,area,red,ruta,barra_i,subest_i,barra_i_id,barra_j,subest_j,barra_j_id,tipo,clase_tipo,long_km,num_paralelas,I_nom_kA,R1_ohm,X1_ohm,R0_ohm,X0_ohm,B1_uS,B0_uS,G1_uS,U_tipo_kV,Inom_tipo_kA,R1_ohm_km,X1_ohm_km,B1_uS_km,C1_uF_km,R0_ohm_km,X0_ohm_km
138 kV Matafongo – Pizarrete_a,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Matafongo – Pizarrete_a.ElmLne,Tap 1 Matafongo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 1 Matafongo.ElmTerm,1,ZMTFNE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\ZMTFNE.ElmSubstat\1.ElmTerm,,,10.539999961853027,1,0.6629999876022339,1.2260947227478027,5.001646041870117,4.544219970703125,15.804447174072266,37.12714385986328,21.656118392944336,-1.4627188296496878e-16,,,,,,,,
138 kV Kilómetro 15 de Azua – Palomino_a,0,SUR MEDIO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Kilómetro 15 de Azua – Palomino_a.ElmLne,Tap 2 Palomino,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 2 Palomino.ElmTerm,10,ZKQAZE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\ZKQAZE.ElmSubstat\10.ElmTerm,,,42.65999984741211,1,0.6629999876022339,4.957566261291504,20.704254150390625,17.529237747192383,63.74150466918945,146.79466247558594,88.17755889892578,-5.3282378848136004e-15,,,,,,,,
34.5 kV Larimar 1 – Los Cocos 1,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\34.5 kV Larimar 1 – Los Cocos 1.ElmLne,L5,ZLCOCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L5.ElmTerm,L1,ZLARIK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L1.ElmTerm,,,3.0,1,1.1799999475479126,0.21601268649101257,1.2543033361434937,1.0616356134414673,4.113162517547607,11.842500686645508,7.086711883544922,1.249000902703301e-16,,,,,,,,
34.5 kV Larimar 2 – Los Cocos 2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\34.5 kV Larimar 2 – Los Cocos 2.ElmLne,R1,ZLCOCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R1.ElmTerm,R4,ZLARIK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R4.ElmTerm,,,3.0,1,1.1799999475479126,0.21601268649101257,1.2543033361434937,1.0616356134414673,4.113162517547607,11.842500686645508,7.086711883544922,4.163336342344337e-16,,,,,,,,
138 kV SCN – Valdesia L2_a,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV SCN – Valdesia L2_a.ElmLne,Tap 1 Valdesia,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 1 Valdesia.ElmTerm,4,ZSCNOE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\ZSCNOE.ElmSubstat\4.ElmTerm,,,0.05000000074505806,1,0.5680000185966492,0.006530994549393654,0.024155138060450554,0.02152184210717678,0.07605127990245819,0.17279137670993805,0.10060074925422668,4.8572256500169986e-18,,,,,,,,
138 kV Itabo TG – Julio Sauri L1,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Itabo TG – Julio Sauri L1.ElmLne,E3,ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm,4,ZITAGE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\ZITAGE.ElmSubstat\4.ElmTerm,,,18.600000381469727,1,1.3259999752044678,1.0836833715438843,6.1508331298828125,6.649308681488037,25.46570587158203,93.56721496582031,46.74481964111328,-5.162537064506978e-15,,,,,,,,
138 kV Itabo TG – Julio Sauri L2,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Itabo TG – Julio Sauri L2.ElmLne,E4,ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm,3,ZITAGE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\ZITAGE.ElmSubstat\3.ElmTerm,,,18.600000381469727,1,1.3259999752044678,1.0836833715438843,6.1508331298828125,6.649308681488037,25.46570587158203,93.56721496582031,46.74481964111328,0.0,,,,,,,,
138 kV Julio Sauri – Paraíso,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Julio Sauri – Paraíso.ElmLne,E9,ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm,1,ZPARAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\ZPARAE.ElmSubstat\1.ElmTerm,T.ACERO S1/1C/138/2xF - 559.5 AAAC,TypTow,18.899999618530273,1,1.3259999752044678,1.0976649522781372,6.682407379150391,6.901580810546875,24.898473739624023,87.75206756591797,40.92478561401367,2.6229018956769323e-15,,1.0,,,,,,
138 kV km 15 de Azua – Punta Catalina_d,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV km 15 de Azua – Punta Catalina_d.ElmLne,Tap 3 Calabaza,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 3 Calabaza.ElmTerm,Tap 1 Punta Catalina,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 1 Punta Catalina.ElmTerm,,,21.400001525878906,1,1.3259999752044678,1.2470824718475342,7.076605796813965,7.663165092468262,29.28815460205078,107.71631622314453,54.58236312866211,2.3758774421044244e-15,,,,,,,,
138 kV Matafongo – Pizarrete_c,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138 kV Matafongo – Pizarrete_c.ElmLne,Tap 1 Pizarrete,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Tap 1 Pizarrete.ElmTerm,3,ZPIZAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\ZPIZAE.ElmSubstat\3.ElmTerm,,,30.0,1,0.5680000185966492,3.9185965061187744,14.493082046508789,12.913105010986328,45.630767822265625,103.67481994628906,60.36044692993164,-1.6653345369377348e-15,,,,,,,,
