nombre,fuera_servicio,zona,area,red,ruta,cerrado,uso,subestacion
ZHIGUF_ZBENEF-L1-Q1(1),0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\ZHIGUF_ZBENEF-L1-Q1(1).ElmCoup,1,cbk,ZHIGUF
disconnector(2),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(2).ElmCoup,1,dct,ZMPLAF
disconnector(1),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(1).ElmCoup,1,dct,ZMPLAF
ZMPLAF-D1-Q1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF-D1-Q1.ElmCoup,1,cbk,ZMPLAF
disconnector(5),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(5).ElmCoup,1,dct,ZMPLAF
ZMPLAF-D2-Q1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF-D2-Q1.ElmCoup,1,cbk,ZMPLAF
disconnector(4),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(4).ElmCoup,1,dct,ZMPLAF
disconnector(10),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(10).ElmCoup,1,dct,ZMPLAF
disconnector(11),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(11).ElmCoup,1,dct,ZMPLAF
ZMPLAF_ZYAMAF-L1-Q1(3),0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF_ZYAMAF-L1-Q1(3).ElmCoup,1,cbk,ZMPLAF
WMPSOK_WMPSOF-T1-Q1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\WMPSOK_WMPSOF-T1-Q1.ElmCoup,1,cbk,ZMPSOK
G3MPSOLA-Q1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\G3MPSOLA-Q1.ElmCoup,1,cbk,ZMPSOK
CB3,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\CB3.ElmCoup,1,cbk,ZMPSOK
CB4,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\CB4.ElmCoup,1,cbk,ZMPSOK
IS1.1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS1.1.ElmCoup,1,dct,ZMPSOK
IS1.2,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS1.2.ElmCoup,1,dct,ZMPSOK
IS2.1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS2.1.ElmCoup,1,dct,ZMPSOK
IS2.2,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS2.2.ElmCoup,1,dct,ZMPSOK
