nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,num_paralelos,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,categoria,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar
Monte Cristi Solar Grupo 1,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,ZPFMSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,Photovoltaic,2.200000047683716,0.0,1.0,-1.0
Agua Clara,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,25,2.0999999046325684,1.0,0.5483999848365784,0.0,1.0,constq,Wind,2.2100000381469727,0.0,1.0,-1.0
Guanillo,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Guanillo.ElmGenstat,Terminal Guanillo,Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,25,2.2100000381469727,0.949999988079071,0.5591999888420105,0.0,1.0,constq,Wind,2.2100000381469727,0.0,1.0,-1.0
Los Guzmancito,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito.ElmGenstat,Terminal Los Guzmancito,Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,17,3.0,1.0,0.8399999737739563,1.0,1.0,constq,Wind,3.5,0.0,1.0,-1.0
Los Guzmancito 2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito 2.ElmGenstat,Terminal Los Guzmancito 2,Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,13,3.5999999046325684,1.0,0.7930799722671509,0.0,1.0,constq,Wind,4.0,0.0,0.514285683631897,-0.514285683631897
Parque Fotovoltaico MATRISOL,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Parque Fotovoltaico MATRISOL.ElmGenstat,Terminal MATRISOL,Matrisol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,11,4.550000190734863,1.0,1.000000013351432e-10,0.0,1.0,constq,Photovoltaic,4.550000190734863,0.0,1.0,-1.0
PS Esperanza,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\PS Esperanza.ElmGenstat,Terminal 1 Parque Solar Esperanza,Esperanza,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,18,4.389999866485596,0.9599999785423279,0.0,0.0,1.0,constq,Photovoltaic,4.389999866485596,0.0,1.837129831314087,-1.837129831314087
Solar Canoa,1,SUR PROFUNDO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Solar Canoa.ElmGenstat,Terminal Canoa Solar,Canoa Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Terminal Canoa Solar.ElmTerm,8,3.630000114440918,1.0,0.0,0.0,1.0,constq,Photovoltaic,3.630000114440918,0.0,1.0,-1.0
Los Cocos 2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Los Cocos 2.ElmGenstat,R2,ZLCOCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R2.ElmTerm,26,2.0,1.0,0.18692000210285187,3.7975775302179215e-11,1.0,constq,Wind,2.0,0.0,1.0,-1.0
Quilvio Cabrera,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Quilvio Cabrera.ElmGenstat,L3,ZLCOCK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L3.ElmTerm,5,1.649999976158142,1.0,0.25999999046325684,5.007656442290731e-11,1.0,constq,Wind,1.649999976158142,0.0,1.0,-1.0
