nombre,ruta,sistema,tecnologia,aP,bP,cP,aQ,bQ,cQ
Cargas zona sur,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Santanasol\Equipment Type Library\Loads\Cargas zona sur.TypLod,0,0,0.3499999940395355,0.0,0.6500000059604645,0.0,0.0,1.0
Carga zona norte,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Pimentel 4\Equipment Type Library\Loads\Carga zona norte.TypLod,0,0,0.3499999940395355,0.0,0.6500000059604645,0.0,0.0,1.0
