nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo,num_paralelos,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar,S_nom_MVA,U_nom_kV,cos_phi,xd_pu,xq_pu,xl_pu,rstr_pu,xd_t_pu,xd_st_pu,xq_st_pu,Td0_s,Td0_st_s,Tq0_st_s,H_s,turbo
Quisqueya 2 Grupo 1,1,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 1.ElmSym,E1,TER QUISQUEYA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm,Quisqueya 2 Motor,4,1.000000013351432e-10,0.0,1.0,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 2 Grupo 2,1,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 2.ElmSym,E15,TER QUISQUEYA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm,Quisqueya 2 Motor,4,1.000000013351432e-10,0.0,1.0,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 2 Grupo 3,1,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 3.ElmSym,E9,TER QUISQUEYA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm,Quisqueya 2 Motor,4,1.000000013351432e-10,0.0,1.0,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 2 TV,1,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 TV.ElmSym,E13,TER QUISQUEYA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm,Quisqueya 1 TV,1,1.000000013351432e-10,0.0,1.0,constq,20.330400466918945,0.0,1.0,-1.0,25.413000106811523,13.800000190734863,0.800000011920929,1.7799999713897705,0.800000011920929,0.0,0.004000000189989805,0.27000001072883606,0.17299999296665192,0.20000000298023224,7.190000057220459,0.031213873997330666,0.029999999329447746,0.9200000166893005,0
Quisqueya 1 Grupo 3,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 3.ElmSym,E9,TER QUISQUEYA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm,Quisqueya 1 Motor,4,17.076000213623047,0.0,1.0399999618530273,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 1 TV,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 TV.ElmSym,E13,TER QUISQUEYA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm,Quisqueya 1 TV,1,8.892000198364258,0.0,1.0,constq,20.330400466918945,0.0,1.0,-1.0,25.413000106811523,13.800000190734863,0.800000011920929,1.7799999713897705,0.800000011920929,0.0,0.004000000189989805,0.27000001072883606,0.17299999296665192,0.20000000298023224,7.190000057220459,0.031213873997330666,0.029999999329447746,0.9200000166893005,0
Punta Catalina 1,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 1.ElmSym,Terminal Punta Catalina 1,Punta Catalina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 1.ElmTerm,Punta Catalina,1,340.0,164.6695556640625,1.0499999523162842,constv,375.0,0.0,1.0,-1.0,460.0,22.0,0.8500000238418579,1.850000023841858,1.7899999618530273,0.14,0.0011111111380159855,0.23000000417232513,0.1850000023841858,0.1850000023841858,6.299999713897705,0.0035999997053295374,0.07499999552965164,3.993018865585327,1
Punta Catalina 2,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 2.ElmSym,Terminal Punta Catalina 2,Punta Catalina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 2.ElmTerm,Punta Catalina,1,359.989990234375,174.3511199951172,1.0499999523162842,constv,375.0,0.0,1.0,-1.0,460.0,22.0,0.8500000238418579,1.850000023841858,1.7899999618530273,0.14,0.0011111111380159855,0.23000000417232513,0.1850000023841858,0.1850000023841858,6.299999713897705,0.0035999997053295374,0.07499999552965164,3.993018865585327,1
Sultana del Este Grupo 3,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 3.ElmSym,Terminal Sultana del Este 3,Sultana del Este,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm,Sultana del Este Motor,3,1.000000013351432e-10,6.00007751816456e-11,1.0,constv,17.0,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.1777790784835815,0
Sultana del Este Grupo 1,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 1.ElmSym,Terminal Sultana del Este 1,Sultana del Este,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 1.ElmTerm,Sultana del Este Motor,4,1.000000013351432e-10,0.0,1.0,constv,17.0,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.1777790784835815,0
