oc_punto,oc_tipo,oc_tension,oc_agente,lat,lon,matched_bus_id,matched_name,match_source,match_method,match_score
BANI PER,RETIRO,69 KV,EDESUR,18.2794091,-70.3467486,WBAPEF,BANÍ PER,bus_name,exact,1.0
PARQUE SOLAR SANTANASOL,GENERACION,138,"AES DOMINICANA RENEWABLE ENERGY, S.R.L.",18.281708,-70.230039,WSANTE,PARQUE FOTOVOLTAICO SANTANASOL,generator_name,fuzzy,1.0
SALINAS,RETIRO,69 KV,EDESUR,18.283052,-71.3081315,WSALIF,SALINAS 69 KV,bus_name,fuzzy,0.5
INGENIO CAEI,RETIRO,69 KV,EDESUR,18.320997,-70.180804,WICAEF,INGENIO CAEI,bus_name,exact,1.0
PARQUE FOTOVOLTAICO PERAVIA I,GENERACION,138,I.E. DR PROJECTS I,18.321027,-70.392528,WPERAE,PARQUE FOTOVOLTAICO PERAVIA I,generator_name,exact,1.0
PARQUE FOTOVOLTAICO CALABAZA,GENERACION,138,ENREN,18.3230409,-70.3977799,WCALAE,PARQUE FOTOVOLTAICO CALABAZA,generator_name,exact,1.0
YAGUATE,RETIRO,69 KV,EDESUR,18.3264108,-70.1805648,WYAGUF,YAGUATE,bus_name,exact,1.0
PARQUE SOLAR GIRASOL T2,GENERACION,138,EGEHAINA,18.328639,-70.19781,WGIRAE,PARQUE SOLAR GIRASOL,generator_name,fuzzy,1.0
PARQUE SOLAR GIRASOL T1,GENERACION,138,EGEHAINA,18.32873,-70.19806,WGIRAE,PARQUE SOLAR GIRASOL,generator_name,fuzzy,1.0
PARQUE FOTOVOLTAICO BAYASOL,GENERACION,138,"AES DOMINICANA RENEWABLE ENERGY, S.R.L.",18.330427,-70.441212,WBAYAE,PARQUE FOTOVOLTAICO BAYAHONDA (BAYASOL),generator_name,fuzzy,0.5
PARQUE SOLAR CANOA,GENERACION,69,EMERALD,18.345047,-71.133256,WSCANF,PARQUE SOLAR CANOA,generator_name,exact,1.0
POWERSHIP AZUA KPS26 T1,GENERACION,138,"KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.",18.346058,-70.838212,WAZUAF,AZUA,bus_name,fuzzy,0.5
POWERSHIP AZUA KPS60,GENERACION,138,"KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.",18.346158,-70.838097,WAZUAF,AZUA,bus_name,fuzzy,0.5
POWERSHIP AZUA KPS26 T2,GENERACION,138,"KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.",18.346278,-70.837997,WAZUAF,AZUA,bus_name,fuzzy,0.5
NIZAO NAJAYO,CENTRAL,12.5 KV,EGEHID,18.3464349,-70.2370693,WPDISF,NIZAO NAJAYO,generator_name,exact,1.0
POWERSHIP AZUA KPS01 T01,GENERACION,138,"KARPOWERSHIP DOMINICAN REPUBLIC, S.A.S.",18.3466,-70.8387,WAZUAF,AZUA,bus_name,fuzzy,0.5
MONTE RIO T1,GENERACION,138,LEAR,18.351004,-70.833004,WMRI2E,MONTE RÍO,bus_name,fuzzy,1.0
MONTE RIO T2,GENERACION,138,PHINIE & CO DEVELOPMENT S.R.L.,18.351079,-70.833069,WMRI2E,MONTE RÍO,bus_name,fuzzy,1.0
MONTE RIO T3,GENERACION,138,LEAR,18.351146,-70.833097,WMRI2E,MONTE RÍO,bus_name,fuzzy,1.0
ARGOS DOMINICANA (CEMENTOS COLON),UNR,69 KV,EGEHAINA,18.35287,-70.07932,WADMIF,ARGOS DOMINICANA (CEMENTO COLÓN),bus_name,fuzzy,0.6
CRUCE DE OCOA,RETIRO,69 KV,EDESUR,18.35425,-70.4688611,WCOCOF,CRUCE DE OCOA,bus_name,exact,1.0
LAS DAMAS,CENTRAL,69 KV,EGEHID,18.35861,-71.53438,WLDAMF,LAS DAMAS,bus_name,exact,1.0
CIRCUITO LAS DAMAS,RETIRO,12.5 KV,EDESUR,18.358611,-71.534389,WLDAMF,LAS DAMAS,bus_name,fuzzy,0.5
LAS BARIAS,CENTRAL,12.5 KV,EGEHID,18.3608017,-70.2632176,WLBARF,LAS BARIAS,bus_name,exact,1.0
ALAMBRES DOMINICANOS,UNR,69 KV,SPOT,18.3863891,-70.0496245,,,,unmatched,0.25
VALDESIA 1,CENTRAL,138 KV,EGEHID,18.391272,-70.281598,WVALDE,VALDESIA 1,generator_name,exact,1.0
VALDESIA 2,CENTRAL,138 KV,EGEHID,18.39133,-70.281548,WVALDE,VALDESIA 2,generator_name,exact,1.0
VALDESIA,RETIRO,12.5 KV,EDESUR,18.391411,-70.281497,WVALDE,VALDESIA,bus_name,exact,1.0
ZF NIGUA,RETIRO,69 KV,EDESUR,18.3917222,-70.0453889,WXZFNF,TAP ZF NIGUA,bus_name,fuzzy,0.667
LAFZID,UNR,69 KV,AES ANDRES,18.3925278,-70.0406389,,,,unmatched,0.0
TERMO ENVASES,UNR,12.5 KV,DPP,18.39865,-70.0344,,,,unmatched,0.333
VICENTE NOBLE,RETIRO,69 KV,EDESUR,18.4003333,-71.1791667,WVNOBF,VICENTE NOBLE,bus_name,exact,1.0
PANIFICADORA HAINA C1,UNR,12.5,EGEHAINA,18.40069,-70.034871,WTHAGK,TER HAINA TG VIRTUAL,bus_name,fuzzy,0.5
ACUEDUCTO INAPA SAN CRISTOBAL,RETIRO,69 KV,EDESUR,18.40202,-70.136347,WAISCF,ACUEDUCTO INAPA SAN CRISTOBAL,bus_name,exact,1.0
REFIDOMSA,UNR,69 KV,EGEITABO,18.403172,-70.0327109,WREFIF,REFIDOMSA,bus_name,exact,1.0
INTERCONEXION ITABO V SAN LORENZO,CENTRAL,138,EGEITABO,18.405097,-70.027548,WIGASE,SAN LORENZO 1,generator_name,fuzzy,0.5
ACUEDUCTO SUR - OESTE,RETIRO,69 KV,EDESUR,18.4063833,-71.1607623,WASOEF,ACUEDUCTO SUR-OESTE,bus_name,exact,1.0
SAN LORENZO 1,CENTRAL,138 KV,EGEITABO,18.40654,-70.027494,WIGASE,SAN LORENZO 1,generator_name,exact,1.0
AES ANDRES TV,GENERACION,138,AES ANDRES,18.40683,-69.629562,WAANDE,AES ANDRÉS,bus_name,fuzzy,1.0
AES ANDRES,CENTRAL,138 KV,AES ANDRES,18.4074272,-69.6356902,WAANDE,AES ANDRÉS,bus_name,exact,1.0
GRANITOS BOJOS,RETIRO,69 KV,EDESUR,18.4083889,-70.0308611,WGBOJF,GRANITOS BOJOS,bus_name,exact,1.0
MULTIPARQUES,UNR,69 KV,AES ANDRES,18.40891,-70.0385,WMLTPF,MULTIPARQUES,bus_name,exact,1.0
ENADOM,UNR,138,AES ANDRES,18.410055,-69.631517,WENADE,138 kV ENADOM,registry_load_name,fuzzy,0.5
SODOCAL,RETIRO,69 KV,EDESUR,18.4120278,-70.0966944,WSODOF,SODOCAL,bus_name,exact,1.0
MADRE VIEJA T1,RETIRO,69 KV,EDESUR,18.4153611,-70.0972222,WMVIEF,MADRE VIEJA,bus_name,fuzzy,1.0
MADRE VIEJA T2,RETIRO,69 KV,EDESUR,18.41548,-70.09707,WMVIEF,MADRE VIEJA,bus_name,fuzzy,1.0
CORPA HAINA C1,UNR,12.5,EGEHAINA,18.416011,-70.023989,WTHAGK,TER HAINA TG VIRTUAL,bus_name,fuzzy,0.5
ZF ROMANA 1,UNR,12.5 KV,SEABOARD,18.417198,-68.948876,,,,unmatched,0.333
OJIVA,RETIRO,12.5,EDESUR,18.4175109,-70.0228472,WOJIVF,OJIVA,registry_load_name,exact,1.0
ZF ROMANA BUENA VISTA,RETIRO,69 KV,EDEESTE,18.4217299,-68.950922,WXZFBF,TAP ZF BUENA VISTA,bus_name,fuzzy,0.6
GOYA,UNR,69 KV,SEABOARD,18.422405,-70.130743,WGOYAF,GOYA,bus_name,exact,1.0
PUERTO DE HAINA,UNR,69 KV,EDESUR,18.423046,-70.011844,WPHAIF,PUERTO DE HAINA,bus_name,exact,1.0
HAINA TG,CENTRAL,138 KV,EGEHAINA,18.4231139,-70.0219291,WHAINE,HAINA TG,generator_name,exact,1.0
SAN CRISTOBAL NORTE T1,RETIRO,138 KV,EDESUR,18.426202,-70.1287249,WSCNOE,SAN CRISTOBAL NORTE,bus_name,fuzzy,1.0
ZF MULTIMODAL CAUCEDO,UNR,69 KV,AES ANDRES,18.426262,-69.635153,WZFMCF,ZF MULTINOD CAUCEDO,bus_name,fuzzy,0.5
CARIBETRANS,UNR,12.5 KV,SEABOARD,18.426521,-69.998355,,,,unmatched,0.0
INVERSIONES COSTA CARIBE,UNR,12.5 KV,EDEESTE,18.42681,-69.41238,,,,unmatched,0.25
QUALA DOMINICANA,UNR,12.5,EDESUR,18.42766748,-70.04742466,,,,unmatched,0.2
ROMANA PUEBLO T03,RETIRO,69,EDEESTE,18.4285804,-68.987578,WLRPUF,LA ROMANA PUEBLO,bus_name,fuzzy,1.0
AERODOM LAS AMERICAS,UNR,69 KV,EGEHAINA,18.4303919,-69.6764747,,,,unmatched,0.333
CENTRO DE OPERACIONES,RETIRO,69 KV,EDESUR,18.4321944,-69.9897222,WCOHEF,CENTRO OPERACIONES HERRERA,bus_name,fuzzy,0.667
GRUPO RAMOS SIRENA ROMANA,UNR,12.5,EGEHAINA,18.4345429,-68.9943921,,,,unmatched,0.25
SANTO DOMINGO COUNTRY CLUB C1,UNR,12.5,EGEHAINA,18.436284,-69.986617,,,,unmatched,0.2
AGUACATE 1,CENTRAL,138 KV,EGEHID,18.4379219,-70.2575492,WAGUAE,AGUACATE 1,generator_name,exact,1.0
AZUA,RETIRO,69 KV,EDESUR,18.4379722,-70.7423056,WAZUAF,AZUA,bus_name,exact,1.0
OLEODUCTO FALCON,RETIRO,69 KV,EDESUR,18.4400744,-70.0092373,WXOFAF,TAP OLEODUCTO FALCON,bus_name,fuzzy,0.667
EDITORA CORRIPIO,UNR,12.5,EDESUR,18.440296,-69.981162,,,,unmatched,0.0
METALDOM,CENTRAL,138 KV,METALDOM,18.4403124,-69.9459197,WMETAK,METALDOM,bus_name,exact,1.0
MATADERO,RETIRO,138 KV,EDESUR,18.4410751,-69.9436609,WMATBE,MATADERO B,bus_name,fuzzy,1.0
CERVECERÍA NACIONAL DOMINICANA 30 DE MAYO,UNR,12.5 KV,"MATRISOL, S.A.S.",18.4413,-69.94077,,,,unmatched,0.167
JUAN DOLIO,RETIRO,138 KV,EDEESTE,18.4421801,-69.4261687,WJDOLE,JUAN DOLIO,bus_name,exact,1.0
RIO CHAVON,RETIRO,69 KV,EDEESTE,18.4433,-68.8871,WRCHAF,RÍO CHAVÓN,bus_name,exact,1.0
COASTAL PETROLEUM,UNR,12.5,EGEHAINA,18.4433586,-69.2544385,WCOAPE,PARQUE FOTOVOLTAICO COASTAL,generator_name,fuzzy,0.5
ZF ROMANA 2,UNR,12.5 KV,SEABOARD,18.443567,-68.978704,,,,unmatched,0.333
BENEDICTO,RETIRO,69 KV,EDEESTE,18.4441207,-68.8304035,WBENEF,BENEDICTO,bus_name,exact,1.0
LA ROMANA 138,RETIRO,138 KV,EDEESTE,18.445263,-68.98382,WLROME,LA ROMANA 138,bus_name,exact,1.0
