oc_punto,oc_tipo,oc_tension,oc_agente,lat,lon,matched_bus_id,matched_name,match_source,match_method,match_score
BANCO POPULAR,UNR,69 KV,AES ANDRES,18.4799304,-69.9120238,WBPOPF,BANCO POPULAR,bus_name,exact,1.0
PARAISO 138,RETIRO,138 KV,EDESUR,18.480114,-69.944388,WPARAE,PARAISO,bus_name,fuzzy,0.5
PARAISO 138 T3,RETIRO,138,EDESUR,18.480171,-69.944469,WPARAE,PARAISO,bus_name,fuzzy,0.5
PARAISO 138 T2,RETIRO,138,EDESUR,18.480211,-69.944408,WPARAE,PARAISO,bus_name,fuzzy,0.5
NEYBA,RETIRO,69 KV,EDESUR,18.4805556,-71.4254444,WNEYBF,NEYBA,bus_name,exact,1.0
PASTEURIZADORA RICA,UNR,12.5,EGEHAINA,18.48066,-69.95336,,,,unmatched,0.0
BANCO NACIONAL DE LA VIVIENDA,RETIRO,69 KV,EDEESTE,18.481132,-69.928592,WBNVFF,BANCO NACIONAL DE LA VIVIENDA FACIL,bus_name,fuzzy,0.75
HATO NUEVO,RETIRO,69 KV,EDESUR,18.481172,-70.027268,WHNUEF,HATO NUEVO,bus_name,exact,1.0
GRUPO HACHE,RETIRO,69 KV,EDESUR,18.48147,-69.9257773,WGHACF,GRUPO HACHE,bus_name,exact,1.0
DESPACHO T1,RETIRO,69 KV,EDEESTE,18.4817778,-69.8840278,WDESPF,DESPACHO,bus_name,fuzzy,1.0
DESPACHO T2,RETIRO,69 KV,EDEESTE,18.48181,-69.884014,WDESPF,DESPACHO,bus_name,fuzzy,1.0
DESPACHO T3,RETIRO,69 KV,EDEESTE,18.481828,-69.884062,WDESPF,DESPACHO,bus_name,fuzzy,1.0
JIMANÍ T01,RETIRO,69,EDESUR,18.482023,-71.840948,,,,unmatched,0.333
VILLA DUARTE,RETIRO,138 KV,EDEESTE,18.4822,-69.8569722,WVDU1E,VILLA DUARTE 138,bus_name,fuzzy,0.667
CAYACOA,RETIRO,69 KV,EDEESTE,18.4825833,-69.4871111,WCAYAF,CAYACOA,bus_name,exact,1.0
PUBLICACIONES AHORA,UNR,12.5,AES ANDRES,18.483136,-69.920054,,,,unmatched,0.0
ESTRELLA DEL MAR 3 T1,GENERACION,69,SEABOARD,18.483596,-69.883192,WEMA2F,ESTRELLA DEL MAR 2,bus_name,fuzzy,1.0
EDITORA PADILLA,UNR,12.5 KV,EGEHAINA,18.4840612,-69.9973612,,,,unmatched,0.0
ESTRELLA DEL MAR 2,GENERACION,138,SEABOARD,18.4843602,-69.8832345,WEMA2F,ESTRELLA DEL MAR 2,bus_name,exact,1.0
ESTRELLA DEL MAR 3 T2,GENERACION,69,SEABOARD,18.484443,-69.88396,WEMA2F,ESTRELLA DEL MAR 2,bus_name,fuzzy,1.0
GRUPO RAMOS SIRENA SAN ISIDRO,UNR,12.5,EGEHAINA,18.48470322,-69.84026381,,,,unmatched,0.333
ANTARES DEL CARIBE,UNR,12.5,EGEHAINA,18.485226,-69.935861,,,,unmatched,0.333
TIMBEQUE 2,RETIRO,138 KV,EDEESTE,18.4854066,-69.8845827,WTIM2E,TIMBEQUE 2,bus_name,exact,1.0
GRUPO ALASKA,UNR,69 KV,EGEHAINA,18.4873856,-69.828132,WGALAF,69 kV GRUPO ALASKA,registry_load_name,fuzzy,0.5
KILOMETRO DIEZ Y MEDIO T1,RETIRO,69 KV,EDESUR,18.487667,-69.980552,WKDMBF,KILOMETRO DIEZ Y MEDIO B,bus_name,fuzzy,1.0
KILOMETRO DIEZ Y MEDIO T2,RETIRO,69 KV,EDESUR,18.487694,-69.980484,WKDMBF,KILOMETRO DIEZ Y MEDIO B,bus_name,fuzzy,1.0
KILOMETRO DIEZ Y MEDIO T3,RETIRO,69 KV,EDESUR,18.487862,-69.980492,WKDMBF,KILOMETRO DIEZ Y MEDIO B,bus_name,fuzzy,1.0
PATRONATO HOSPITAL PLAZA DE LA SALUD,UNR,12.5,EGEHAINA,18.489234,-69.921888,,,,unmatched,0.167
CEDIMAT,UNR,12.5,EDESUR,18.4894907,-69.9234988,,,,unmatched,0.0
TEXTILES TITAN,UNR,69,SEABOARD,18.4894,-69.89,WTTITF,TEXTILES TITÁN,bus_name,exact,1.0
CARREFOUR,UNR,69 KV,EGEHAINA,18.4904167,-69.9781389,WXCARF,TAP CARREFOUR,bus_name,fuzzy,0.5
MARANATHA,GENERACION,69,MARANATHA,18.492177,-69.755294,WMARAF,PARQUE FOTOVOLTAICO MARANATHA FASE I,generator_name,fuzzy,0.5
GRUPO MALLA,UNR,69 KV,EGEITABO,18.4922194,-69.9168975,WGMALF,GRUPO MALLA,bus_name,exact,1.0
PROMOTORA PRADERA VERDE,UNR,12.5,EGEITABO,18.49238764,-69.99940658,,,,unmatched,0.0
QUISQUEYA 2 T3,CENTRAL,230 KV,EGEHAINA,18.492807,-69.349666,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
LA REINA,UNR,12.5,SPOT,18.492914,-69.920235,,,,unmatched,0.0
QUISQUEYA 2 T2,CENTRAL,230 KV,EGEHAINA,18.49295,-69.349729,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
QUISQUEYA 2 T1,CENTRAL,230 KV,EGEHAINA,18.493102,-69.349799,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
ENERGAS 4 T01,GENERACION,138,CESPM,18.49316751,-69.34226512,,,,unmatched,0.25
MAPRICA,UNR,12.5 KV,SPOT,18.4932069,-69.9194493,,,,unmatched,0.0
SPM 2,RETIRO,138 KV,EDEESTE,18.4932377,-69.3433577,WSPM2E,SPM  2,bus_name,exact,1.0
QUISQUEYA 1 T3,CENTRAL,230 KV,PVDC,18.493582,-69.350051,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
QUISQUEYA 1 T2,CENTRAL,230 KV,PVDC,18.493717,-69.350114,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
QUISQUEYA 1 T1,CENTRAL,230 KV,PVDC,18.493853,-69.350203,WBON3D,QUISQUEYA 1,generator_name,fuzzy,1.0
SMURFIT KAPPA,UNR,69 KV,EGEITABO,18.4943965,-69.91245,WSKAPF,SMURFIT KAPPA,bus_name,exact,1.0
CABAYONA,RETIRO,69 KV,EDESUR,18.4947073,-70.0523406,WCBYNF,CABAYONA,bus_name,exact,1.0
CESPM 1,CENTRAL,138 KV,CESPM,18.49492,-69.342212,WCESPK,TER_CESPM 1,bus_name,fuzzy,1.0
CESPM 2,CENTRAL,138 KV,CESPM,18.495103,-69.34175,WCESPK,TER_CESPM 1,bus_name,fuzzy,1.0
CESPM 3,CENTRAL,138 KV,CESPM,18.495223,-69.341289,WCESPK,TER_CESPM 1,bus_name,fuzzy,1.0
DISDO,RETIRO,69,EDESUR,18.4955336,-70.0597436,WDISDF,69 kV DISDO,registry_load_name,fuzzy,0.5
PETROQUIMICA,UNR,12.5 KV,EGEHAINA,18.4964,-69.91024,WGPETF,GRUPO PETROQUÍMICA,bus_name,fuzzy,1.0
POLYPLAS,UNR,12.5 KV,EGEHAINA,18.4969,-69.9099,,,,unmatched,0.0
MERCASID,UNR,69 KV,EGEHAINA,18.4975879,-69.9171762,WMERCF,MERCASID,bus_name,exact,1.0
CODETEL ALAMEDA,UNR,12.5 KV,EDESUR,18.497644,-69.993201,,,,unmatched,0.333
GOMAS Y PLÁSTICOS,UNR,69 KV,EGEITABO,18.4980508,-69.824546,WGPLAF,GOMAS Y PLÁSTICOS,bus_name,exact,1.0
LOS MINA 69 KV,RETIRO,69 KV,EDEESTE,18.498628,-69.868876,WLMINF,LOS MINA 69,bus_name,fuzzy,1.0
COLCHONERIA LA NACIONAL,RETIRO,12.5 KV,EDEESTE,18.4987151,-69.8294387,,,,unmatched,0.2
CIP LA LUISA T1,UNR,138 KV,AES ANDRES,18.4993,-69.553259,WCLUIE,CIP LA LUISA,registry_load_name,fuzzy,1.0
CIP LA LUISA T2,UNR,138 KV,AES ANDRES,18.499303,-69.553122,WCLUIE,CIP LA LUISA,registry_load_name,fuzzy,1.0
ZF SAN ISIDRO,UNR,69 KV,EGEITABO,18.499428,-69.7897775,WZFSIF,ZF SAN ISIDRO 69 KV,bus_name,fuzzy,0.75
TERMOPAC,UNR,12.5 KV,EGEHAINA,18.4994741,-69.9177717,,,,unmatched,0.0
ECOACERO T04,UNR,138,EGEITABO,18.49961,-69.55315,,,,unmatched,0.0
RETIROS LOS MINA 5 y 6,GENERACION,138 KV,DPP,18.4997243,-69.8685432,WLMI5E,LOS MINA 5,bus_name,fuzzy,0.5
ECOACERO T03,UNR,138,EGEITABO,18.499746,-69.55315,,,,unmatched,0.0
LOS MINA 138 T1,RETIRO,138 KV,EDEESTE,18.499785,-69.867567,WLMINE,LOS MINA 138,bus_name,fuzzy,1.0
LOS MINA 5,CENTRAL,138 KV,DPP,18.50003,-69.867617,WLMI5E,LOS MINA 5,bus_name,exact,1.0
LOS MINA 138 T2,RETIRO,138 KV,EDEESTE,18.500039,-69.867996,WLMINE,LOS MINA 138,bus_name,fuzzy,1.0
LOS MINA 6,CENTRAL,138 KV,DPP,18.500298,-69.86817,WLMI6E,LOS MINA 6,bus_name,exact,1.0
LOS MINA 138 kV T03,RETIRO,138,EDEESTE,18.500331,-69.868066,WLMINE,LOS MINA 138,bus_name,fuzzy,1.0
LOS MINA 7,CENTRAL,138 KV,DPP,18.500356,-69.867919,WLMI7E,LOS MINA 7,bus_name,exact,1.0
CAPOTILLO T2,RETIRO,69 KV,EDEESTE,18.501237,-69.902121,WCAPOF,CAPOTILLO,bus_name,fuzzy,1.0
CAPOTILLO T1,RETIRO,69 KV,EDEESTE,18.501292,-69.902155,WCAPOF,CAPOTILLO,bus_name,fuzzy,1.0
ARROYO HONDO T1,RETIRO,69 KV,EDESUR,18.5013182,-69.9452668,WAHOBF,ARROYO HONDO B,bus_name,fuzzy,1.0
CENTRAL BERSAL-CEMEX,CENTRAL,12.5 KV,MONTE RIO LTD,18.502398,-69.339928,WBERSF,BERSAL,bus_name,fuzzy,0.5
CEMEX C01,UNR,12.5 KV,AES ANDRES,18.502455,-69.339922,WCEMEE,CEMEX 138,bus_name,fuzzy,0.5
CEMEX C02,UNR,12.5 KV,AES ANDRES,18.502505,-69.339847,WCEMEE,CEMEX 138,bus_name,fuzzy,0.5
CEMEX C03,UNR,12.5 KV,AES ANDRES,18.502543,-69.33979,WCEMEE,CEMEX 138,bus_name,fuzzy,0.5
BASE AEREA SAN ISIDRO,RETIRO,69 KV,EDEESTE,18.502824,-69.769871,WBASIF,BASE AÉREA SAN ISIDRO,bus_name,exact,1.0
CEMEX T2,UNR,138,AES ANDRES,18.502912,-69.340194,WCEMEE,CEMEX 138,bus_name,fuzzy,0.5
CEMEX,UNR,138 KV,AES ANDRES,18.50301,-69.340263,WCEMEE,CEMEX 138,bus_name,fuzzy,0.5
LA 40 T1,RETIRO,69 KV,EDESUR,18.5032681,-69.9254496,,,,unmatched,0.0
GRUPO RAMOS SIRENA VENEZUELA,UNR,12.5,EGEHAINA,18.5045767,-69.8725395,,,,unmatched,0.25
PLASTIFAR,UNR,69 KV,EGEITABO,18.5051895,-70.0047973,WPLASF,PLASTIFAR,bus_name,exact,1.0
LABORATORIOS ALFA T01,RETIRO,69,EDESUR,18.506095,-69.999153,WLALFF,69 kV LABORATORIOS ALFA,registry_load_name,fuzzy,0.667
LA ISABELA,RETIRO,138 KV,EDESUR,18.507993,-69.91889,WAISAF,ACUEDUCTO LA ISABELA,bus_name,fuzzy,0.5
TEMPLASTISA,RETIRO,69 KV,EDEESTE,18.508814,-69.851699,WTEMPF,TEMPLASTISA,bus_name,exact,1.0
MEGACENTRO,UNR,69 KV,EGEHAINA,18.5089979,-69.8561936,WMEGAF,MEGACENTRO,bus_name,exact,1.0
CATALINA,RETIRO,69 KV,EDEESTE,18.5094599,-69.6289382,WCATAF,CATALINA,bus_name,exact,1.0
JIGUEY 1,CENTRAL,138 KV,EGEHID,18.509997,-70.331067,WJIGBE,JIGUEY 1,generator_name,exact,1.0
JIGUEY 2,CENTRAL,138 KV,EGEHID,18.510006,-70.33087,WJIGUE,JIGUEY 2,generator_name,exact,1.0
INCA LA ISABELA,UNR,69 KV,EGEHAINA,18.5109265,-69.9086499,WIISAF,INCA ISABELA,bus_name,fuzzy,1.0
MULTIFORM RETIRO,RETIRO,12.5 KV,EDEESTE,18.5125833,-69.9068333,WMULTF,MULTIFORM,bus_name,fuzzy,1.0
MULTIFORM-UNR,UNR,69 KV,AES ANDRES,18.51277,-69.9064,WMULTF,MULTIFORM,bus_name,fuzzy,1.0
RAVI CARIBE,UNR,12.5,EGEITABO,18.51323025,-69.90384306,,,,unmatched,0.333
INVIVIENDA T1,RETIRO,69 KV,EDEESTE,18.513366,-69.827052,WINVBF,INVIVIENDA T1,bus_name,exact,1.0
INVIVIENDA T2,RETIRO,69 KV,EDEESTE,18.513423,-69.826901,WINVIF,INVIVIENDA T2,bus_name,exact,1.0
NOVOPLAST,UNR,69 KV,EGEITABO,18.5140779,-70.0087807,WNOVOF,NOVOPLAST,bus_name,exact,1.0
CERVECERÍA NACIONAL DOMINICANA HATO NUEVO,UNR,12.5,"MATRISOL, S.A.S.",18.51573767,-70.07093343,,,,unmatched,0.4
ZF ALCARRIZOS T1,RETIRO,69 KV,EDESUR,18.5175833,-70.0515556,WZFALF,ZF LOS ALCARRIZOS,bus_name,fuzzy,1.0
KM 24,RETIRO,69 KV,EDEESTE,18.518439,-69.732733,,,,unmatched,0.333
LOS TOROS 1,CENTRAL,69 KV,EGEHID,18.5188056,-70.898,WLTORF,LOS TOROS 1,generator_name,exact,1.0
TEMPLASTISA HAINAMOSA,RETIRO,69,EDEESTE,18.52070645,-69.81734641,WTHAIF,69 kV TEMPLASTISA HAINAMOSA,registry_load_name,fuzzy,0.667
GRUPO RAMOS MELLA,UNR,69 KV,EGEHAINA,18.52448,-69.74185,WXGRMF,GRUPO RAMOS MELLA,bus_name,exact,1.0
TINFLEX HATO NUEVO C1,UNR,12.5,EGEHAINA,18.525604,-70.077207,WHNUEF,HATO NUEVO,bus_name,fuzzy,0.667
PARQUE SOLAR EL SOCO,GENERACION,138,"KOROR BUSINESS, S.R.L.",18.526729,-69.289144,WESOCE,PARQUE SOLAR EL SOCO,generator_name,exact,1.0
LABORATORIOS SUED,UNR,12.5,EGEHAINA,18.528215,-69.9964,,,,unmatched,0.25
ZF PERLAV,UNR,12.5,EGEHAINA,18.528559,-69.998296,,,,unmatched,0.333
GRUPO RAMOS CHARLES,UNR,69 KV,EGEHAINA,18.5289444,-69.8388056,WGRCHF,GRUPO RAMOS CHARLES,bus_name,exact,1.0
PARQUE FOTOVOLTAICO COTOPERÍ I,GENERACION,138,COTOPERÍ SOLAR FV,18.531042,-68.872218,WCOTAE,PARQUE FOTOVOLTAICO COTOPERÍ I,generator_name,exact,1.0
TAMARINDO,RETIRO,69 KV,EDEESTE,18.5324689,-69.8174455,WTAMAF,TAMARINDO,bus_name,exact,1.0
HAINAMOSA 138 T1,RETIRO,138 KV,EDEESTE,18.5337121,-69.8199735,WHNS1E,HAINAMOSA 138,bus_name,fuzzy,1.0
HAINAMOSA 138 T2,RETIRO,138 KV,EDEESTE,18.533996,-69.819479,WHNS1E,HAINAMOSA 138,bus_name,fuzzy,1.0
PARQUE FOTOVOLTAICO COTOPERÍ III,GENERACION,138,COTOPERÍ SOLAR FV,18.534423,-68.866124,WCOTBE,PARQUE FOTOVOLTAICO COTOPERÍ III,generator_name,exact,1.0
PARQUE FOTOVOLTAICO COTOPERÍ II,GENERACION,138,COTOPERÍ SOLAR FV,18.536588,-68.871369,WCOTAE,PARQUE FOTOVOLTAICO COTOPERÍ II,generator_name,exact,1.0
KINNOX,UNR,69 KV,EGEHAINA,18.53733,-70.02788,,,,unmatched,0.0
PRODUCTO DIVERSO MT,RETIRO,12.5,EDESUR,18.537507,-70.0277215,,,,unmatched,0.0
SAN JOSE DE OCOA,RETIRO,69 KV,EDESUR,18.5412917,-70.5075955,WSJOCF,SAN JOSÉ DE OCOA,bus_name,exact,1.0
VILLA MELLA T03,RETIRO,138,EDEESTE,18.5434282,-69.9347538,WVMELE,VILLA MELLA,bus_name,fuzzy,1.0
VILLA MELLA,RETIRO,69 KV,EDEESTE,18.5435398,-69.9347038,WVMELE,VILLA MELLA,bus_name,exact,1.0
GRUPO RAMOS VILLA MELLA,UNR,12.5,EGEHAINA,18.5447,-69.89946,WVMELE,VILLA MELLA,bus_name,fuzzy,0.667
SABANA PERDIDA,RETIRO,69 KV,EDEESTE,18.5447631,-69.8652704,WSPERF,SABANA PERDIDA,bus_name,exact,1.0
INVEMA DOMINICANA,UNR,34.5,EDEESTE,18.549778,-69.400417,,,,unmatched,0.2
ACUEDUCTO LA ISABELA,RETIRO,69 KV,EDEESTE,18.551989,-69.986446,WAISAF,ACUEDUCTO LA ISABELA,bus_name,exact,1.0
CORPORACION AVICOLA DEL CARIBE 12.5,UNR,12.5,EGEHAINA,18.5543972,-69.8732224,,,,unmatched,0.2
PARQUE INDUSTRIAL DUARTE,UNR,69,EGEHID,18.5552385,-70.0545906,WPIDUF,BARRA 69 KV PARQUE INDUSTRIAL DUARTE,registry_load_name,fuzzy,0.5
PALAMARA,CENTRAL,69 KV,GPLV,18.5564552,-70.0131061,WPALAF,PALAMARA,bus_name,exact,1.0
PALAMARA RETIRO,RETIRO,69 KV,EDESUR,18.5570656,-70.0137317,WPAL1E,PALAMARA 1,bus_name,fuzzy,1.0
CIUDAD SATELITE,RETIRO,69 KV,EDESUR,18.5572915,-70.0586413,WCSATF,CIUDAD SATÉLITE,bus_name,exact,1.0
INCA KM 22 MT,UNR,12.5 KV,EGEHAINA,18.559438,-70.055659,,,,unmatched,0.25
INCA KM 22,CENTRAL,12.5 KV,MONTE RIO LTD,18.559488,-70.055729,,,,unmatched,0.333
INCA KM 22 T2,UNR,69 KV,EGEHAINA,18.559534,-70.055593,,,,unmatched,0.333
INCA KM 22 T1,UNR,69 KV,EGEHAINA,18.559581,-70.05564,,,,unmatched,0.333
CONSUELO,RETIRO,69 KV,EDEESTE,18.560366,-69.2875804,WCNSLF,CONSUELO,bus_name,exact,1.0
PALMARITO,RETIRO,12.5 KV,EDEESTE,18.561659,-70.003852,,,,unmatched,0.0
CORVI PVC,UNR,69 KV,CESPM,18.56175,-70.0634167,WCPVCF,CORVI PVC,bus_name,exact,1.0
GUERRA,RETIRO,69 KV,EDEESTE,18.563649,-69.698653,WGUERF,GUERRA,bus_name,exact,1.0
BATEY LECHUGA,RETIRO,12.5 KV,EDEESTE,18.5687732,-69.059043,WBLECF,BATEY LECHUGA,bus_name,exact,1.0
PARQUE FOTOVOLTAICO MIRASOL,GENERACION,138,"AES DOMINICANA RENEWABLE ENERGY, S.R.L.",18.569676,-69.716713,WMIR1E,PARQUE FOTOVOLTAICO MIRASOL,generator_name,exact,1.0
LA CUABA,RETIRO,12.5 KV,EDEESTE,18.5705858,-70.0388359,,,,unmatched,0.0
CAMPAMENTO 16 DE AGOSTO,RETIRO,69 KV,EDESUR,18.571,-70.0819167,WCDAGF,CAMPAMENTO 16 DE AGO,bus_name,fuzzy,0.5
ACUEDUCTO ORIENTAL,RETIRO,69 KV,EDEESTE,18.5712776,-69.7851639,WAORIF,ACUEDUCTO ORIENTAL,bus_name,exact,1.0
PARQUE CARIBBEAN GLASS,UNR,69,LEAR,18.5715568,-70.0969177,WPCGLF,BARRA PARQUE CARIBBEAN GLASS,registry_load_name,fuzzy,0.667
AEROPUERTO HIGUERO,RETIRO,69 KV,EDEESTE,18.5744205,-69.9781267,WXAHGF,TAP AEROPUERTO HIGUERO,bus_name,fuzzy,0.667
CIRCUNVALACION,RETIRO,12.5 KV,EDEESTE,18.57676,-70.06207,,,,unmatched,0.0
DAJAO T1,RETIRO,69 KV,EDEESTE,18.579965,-69.854172,WDAJAF,DAJAO,bus_name,fuzzy,1.0
DAJAO T2,RETIRO,69 KV,EDEESTE,18.580236,-69.854357,WDAJAF,DAJAO,bus_name,fuzzy,1.0
DAJAO T03,RETIRO,138,EDEESTE,18.580316,-69.85449,WDAJAF,DAJAO,bus_name,fuzzy,1.0
GUAYMATE,RETIRO,4.6,EDEESTE,18.5869875,-68.9759584,WGUAYF,GUAYMATE,bus_name,exact,1.0
HIGUEY 69 KV,RETIRO,69 KV,EDEESTE,18.5882523,-68.7190345,WHIGUF,HIGUEY 69,bus_name,fuzzy,1.0
PARQUE LOGISTICO CCN,UNR,69,EGEHAINA,18.58946833,-70.02953701,WPLCCF,69 kV PARQUE LOGISTICO CCN,registry_load_name,fuzzy,0.667
EL BELICO,RETIRO,12.5 KV,EDEESTE,18.590188,-70.07972,,,,unmatched,0.0
MAGUEYAL 1,CENTRAL,69 KV,EGEHID,18.5917077,-70.9918574,WMAGUF,MAGUEYAL 1,generator_name,exact,1.0
ACUEDUCTO BRUJUELA,RETIRO,69 KV,EDEESTE,18.5949459,-69.6152725,WABRUF,ACUEDUCTO BRUJUELA,bus_name,exact,1.0
GRUPO RAMOS SIRENA HIGUEY,UNR,12.5,EGEHAINA,18.6013656,-68.7174094,,,,unmatched,0.25
PARQUE FOTOVOLTAICO LA VICTORIA,GENERACION,138,DESARROLLOS FOTOVOLTAICOS DSS,18.6109736,-69.853456,WLVICE,PARQUE FOTOVOLTAICO LA VICTORIA,generator_name,exact,1.0
ZF GILDAN,UNR,69 KV,AES ANDRES,18.6148171,-69.7103983,WZFGIF,ZF GILDAN,bus_name,exact,1.0
HIGUEY 138 KV,RETIRO,138 KV,EDEESTE,18.624796,-68.735631,WHGUEE,HIGUEY 138,bus_name,fuzzy,1.0
HIGUEY 138 KV T2,RETIRO,138 KV,EDEESTE,18.624858,-68.735574,WHGUEE,HIGUEY 138,bus_name,fuzzy,1.0
HIGUEY T03,RETIRO,138,EDEESTE,18.624948,-68.735818,WHGUEE,HIGUEY 138,bus_name,fuzzy,0.5
PARQUE FOTOVOLTAICO MARTÍ,GENERACION,69,TROPIGAS DOMINICANA,18.625744,-69.919736,WMARTF,PARQUE FOTOVOLTAICO MARTÍ,generator_name,exact,1.0
LAS PARRAS T01,RETIRO,69,EDEESTE,18.63233,-69.63341,WLPARF,69 kV LAS PARRAS,registry_load_name,fuzzy,0.5
SIERRA PRIETA,RETIRO,69,EDEESTE,18.6376951,-69.9344973,WSPRIF,BARRA SIERRA PRIETA,registry_load_name,fuzzy,0.667
RANCHO PELIGRO,RETIRO,12.5 KV,EDEESTE,18.6405323,-68.958692,WRPELF,RANCHO PELIGRO,bus_name,exact,1.0
PARQUE FOTOVOLTAICO MATA DE PALMA,GENERACION,69,WCG,18.648225,-69.589606,WMPALF,PARQUE FOTOVOLTAICO MATA DE PALMA,generator_name,exact,1.0
PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 2,GENERACION,138,WCGF SOLAR II,18.648989,-69.596463,WMP2AE,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 2,generator_name,exact,1.0
VALLEJUELO,RETIRO,69,EDESUR,18.653573,-71.33237272,WVALLF,VALLEJUELO,registry_load_name,exact,1.0
PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 3,GENERACION,138,ENERGIA RENOVABLE BAS,18.657299,-69.607539,WMP2BE,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 3,generator_name,exact,1.0
VILLARPANDO,RETIRO,69 KV,EDESUR,18.6634525,-71.0393689,WVILLF,VILLARPANDO,bus_name,exact,1.0
PARQUE FOTOVOLTAICO VILLARPANDO T02,GENERACION,138,NATURAL WORLD ENERGY CORPORATION,18.672763,-71.047599,WVILLF,VILLARPANDO,bus_name,fuzzy,1.0
PARQUE FOTOVOLTAICO VILLARPANDO T01,GENERACION,138,NATURAL WORLD ENERGY CORPORATION,18.672924,-71.047669,WVILLF,VILLARPANDO,bus_name,fuzzy,1.0
VILLA ALTAGRACIA,RETIRO,69 KV,EDESUR,18.6861338,-70.1787074,WVALTF,VILLA ALTAGRACIA,bus_name,exact,1.0
ZF VILLA ALTAGRACIA,RETIRO,69 KV,EDESUR,18.6886482,-70.1811974,WZFVAF,ZF VILLA ALTAGRACIA,bus_name,exact,1.0
SABANA YEGUA 1,CENTRAL,69 KV,EGEHID,18.7069294,-71.0505949,WSYEGF,SABANA YEGUA,bus_name,fuzzy,1.0
CITRICOS NACIONALES T1,UNR,69 KV,EGEHAINA,18.708985,-70.213533,WCNACF,CÍTRICOS NACIONALES,bus_name,fuzzy,1.0
CITRICOS NACIONALES T2,RETIRO,69 KV,EDESUR,18.70898,-70.21353,WCNACF,CÍTRICOS NACIONALES,bus_name,fuzzy,1.0
RANCHO ARRIBA T1,RETIRO,69,EDESUR,18.72439,-70.412846,WRARRF,69 kV RANCHO ARRIBA,registry_load_name,fuzzy,0.667
GUANITO 2,RETIRO,69 KV,EDESUR,18.725686,-71.0906458,WGUA2F,GUANITO 2,bus_name,exact,1.0
HATO MAYOR,RETIRO,69 KV,EDEESTE,18.760818,-69.250447,WHMAYF,HATO MAYOR,bus_name,exact,1.0
EL SEIBO,RETIRO,138 KV,EDEESTE,18.7671944,-69.0500556,WESEIE,EL SEIBO,bus_name,exact,1.0
YAMASA,RETIRO,69 KV,EDEESTE,18.7722829,-70.0107538,WYAMAF,YAMASA,bus_name,exact,1.0
LA CUMBRE,RETIRO,69 KV,EDESUR,18.78677,-70.263115,WLCBOF,LA CUMBRE BONAO,bus_name,fuzzy,0.5
ANIANA VARGAS 1,CENTRAL,12.5 KV,EGEHID,18.7944611,-70.35457,WTTA1K,ANIANA VARGAS 1,generator_name,exact,1.0
SAN JUAN PUEBLO,RETIRO,69 KV,EDESUR,18.7993333,-71.2210278,WSJU2F,SAN JUAN 2,bus_name,fuzzy,0.667
MONTE PLATA T1,RETIRO,69 KV,EDEESTE,18.8159708,-69.7905658,WMPLAF,MONTE PLATA,bus_name,fuzzy,1.0
MONTE PLATA T2,RETIRO,69 KV,EDEESTE,18.816057,-69.790491,WMPLAF,MONTE PLATA,bus_name,fuzzy,1.0
MONTE PLATA SOLAR,CENTRAL,69 KV,ELECTRONIC,18.81724,-69.79046,WMPSOE,MONTE PLATA SOLAR,bus_name,exact,1.0
LAS MATAS DE FARFAN,RETIRO,69 KV,EDESUR,18.8743752,-71.5125688,WLMFAF,LAS MATAS DE FARFÁN,bus_name,exact,1.0
ELIAS PIÑA,RETIRO,69 KV,EDESUR,18.8755923,-71.6785342,WEPINF,ELÍAS PIÑA,bus_name,exact,1.0
RIO BLANCO 2,CENTRAL,69 KV,EGEHID,18.880378,-70.495881,WRBL2K,RÍO BLANCO 2,bus_name,exact,1.0
RIO BLANCO 1,CENTRAL,69 KV,EGEHID,18.880432,-70.495948,WRBL1K,RÍO BLANCO 1,bus_name,exact,1.0
CORMIDOM T2,UNR,69,EGEHID,18.884135,-70.238314,WCORMF,CORMIDOM,bus_name,fuzzy,1.0
CORMIDOM,UNR,69 KV,EGEHID,18.884218,-70.238285,WCORMF,CORMIDOM,bus_name,exact,1.0
PINALITO 2,CENTRAL,69 KV,EGEHID,18.88473,-70.566732,WPINAF,PINALITO 2,generator_name,exact,1.0
PINALITO 1,CENTRAL,69 KV,EGEHID,18.884827,-70.566674,WPINAF,PINALITO 1,generator_name,exact,1.0
DOMINGO RODRIGUEZ 1,CENTRAL,69 KV,EGEHID,18.8965428,-71.3460617,WDRODF,DOMINGO RODRIGUEZ 1,generator_name,exact,1.0
EL SALTO,CENTRAL,4.16 KV,EGEHID,18.901098,-70.759404,WCONSF,EL SALTO,generator_name,exact,1.0
BONAO,RETIRO,69 KV,EDENORTE,18.9085301,-70.3701579,WBONAF,BONAO,bus_name,exact,1.0
