Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
18.470166S,-69.4507E,GUAVAVERRY,RETIRO,69 KV,EDEESTE
18.47043,-69.32894,INGENIO CRISTOBAL COLON,UNR,12.5 KV,SAN PEDRO BIO-ENERGY
18.472301,-69.901057,CESAR NICOLAS PENSON  138 KV T2,RETIRO,138 KV,EDEESTE
18.4723407,-69.9010996,CESAR NICOLAS PENSON  138 KV T1,RETIRO,138 KV,EDEESTE
18.472387,-69.9419302,GRUPO RAMOS CHURCHILL,UNR,12.5 KV,EGEHAINA
18.472684,-69.893495,CODETEL 30 DE MARZO,UNR,12.5 KV,EDEESTE
18.473322,-69.941794,BLUE MALL,UNR,12.5,EDESUR
18.474613,-69.873977,INDUVECA MIRADOR ESTE,UNR,12.5,EDESUR
18.4748501,-69.9098474,UNIVERSIDAD IBEROAMERICANA (UNIBE),UNR,12.5,EGEHAINA
18.475288,-69.879525,MOLINOS DEL OZAMA,UNR,69 KV,EGEITABO
18.476063,-69.788212,EL BRISAL T2,RETIRO,138,EDEESTE
18.476236,-69.788204,EL BRISAL,RETIRO,69 KV,EDEESTE
18.4773716,-69.8876475,GRUPO RAMOS SIRENA MELLA,UNR,12.5,EGEHAINA
18.4788517,-69.920291,METROPOLITANO T1,RETIRO,69 KV,EDESUR
18.47886,-69.920368,METROPOLITANO T2,RETIRO,69 KV,EDESUR
18.4789694,-69.9115362,LISTIN DIARIO,UNR,69 KV,AES ANDRES
18.479243,-69.9203335,CODETEL,UNR,69 KV,EDESUR
18.4799304,-69.9120238,BANCO POPULAR,UNR,69 KV,AES ANDRES
18.480114,-69.944388,PARAISO 138,RETIRO,138 KV,EDESUR
18.480171,-69.944469,PARAISO 138 T3,RETIRO,138,EDESUR
18.480211,-69.944408,PARAISO 138 T2,RETIRO,138,EDESUR
18.4805556,-71.4254444,NEYBA,RETIRO,69 KV,EDESUR
18.48066,-69.95336,PASTEURIZADORA RICA,UNR,12.5,EGEHAINA
18.481132,-69.928592,BANCO NACIONAL DE LA VIVIENDA,RETIRO,69 KV,EDEESTE
18.481172,-70.027268,HATO NUEVO,RETIRO,69 KV,EDESUR
18.48147,-69.9257773,GRUPO HACHE,RETIRO,69 KV,EDESUR
18.4817778,-69.8840278,DESPACHO T1,RETIRO,69 KV,EDEESTE
18.48181,-69.884014,DESPACHO T2,RETIRO,69 KV,EDEESTE
18.481828,-69.884062,DESPACHO T3,RETIRO,69 KV,EDEESTE
18.482023,-71.840948,JIMANÍ T01,RETIRO,69,EDESUR
18.4822,-69.8569722,VILLA DUARTE,RETIRO,138 KV,EDEESTE
18.4825833,-69.4871111,CAYACOA,RETIRO,69 KV,EDEESTE
18.483136,-69.920054,PUBLICACIONES AHORA,UNR,12.5,AES ANDRES
18.483596,-69.883192,ESTRELLA DEL MAR 3 T1,GENERACION,69,SEABOARD
18.4840612,-69.9973612,EDITORA PADILLA,UNR,12.5 KV,EGEHAINA
18.4843602,-69.8832345,ESTRELLA DEL MAR 2,GENERACION,138,SEABOARD
18.484443,-69.88396,ESTRELLA DEL MAR 3 T2,GENERACION,69,SEABOARD
18.48470322,-69.84026381,GRUPO RAMOS SIRENA SAN ISIDRO,UNR,12.5,EGEHAINA
18.485226,-69.935861,ANTARES DEL CARIBE,UNR,12.5,EGEHAINA
18.4854066,-69.8845827,TIMBEQUE 2,RETIRO,138 KV,EDEESTE
18.4873856S,-69.828132E,GRUPO ALASKA,UNR,69 KV,EGEHAINA
18.487667,-69.980552,KILOMETRO DIEZ Y MEDIO T1,RETIRO,69 KV,EDESUR
18.487694,-69.980484,KILOMETRO DIEZ Y MEDIO T2,RETIRO,69 KV,EDESUR
18.487862,-69.980492,KILOMETRO DIEZ Y MEDIO T3,RETIRO,69 KV,EDESUR
18.489234,-69.921888,PATRONATO HOSPITAL PLAZA DE LA SALUD,UNR,12.5,EGEHAINA
18.4894907,-69.9234988,CEDIMAT,UNR,12.5,EDESUR
18.4894S,-69.890E,TEXTILES TITAN,UNR,69,SEABOARD
18.4904167,-69.9781389,CARREFOUR,UNR,69 KV,EGEHAINA
18.492177,-69.755294,MARANATHA,GENERACION,69,MARANATHA
18.4922194,-69.9168975,GRUPO MALLA,UNR,69 KV,EGEITABO
18.49238764,-69.99940658,PROMOTORA PRADERA VERDE,UNR,12.5,EGEITABO
18.492807,-69.349666,QUISQUEYA 2 T3,CENTRAL,230 KV,EGEHAINA
18.492914,-69.920235,LA REINA,UNR,12.5,SPOT
18.49295,-69.349729,QUISQUEYA 2 T2,CENTRAL,230 KV,EGEHAINA
18.493102,-69.349799,QUISQUEYA 2 T1,CENTRAL,230 KV,EGEHAINA
18.49316751,-69.34226512,ENERGAS 4 T01,GENERACION,138,CESPM
18.4932069,-69.9194493,MAPRICA,UNR,12.5 KV,SPOT
18.4932377,-69.3433577,SPM 2,RETIRO,138 KV,EDEESTE
18.493582,-69.350051,QUISQUEYA 1 T3,CENTRAL,230 KV,PVDC
18.493717,-69.350114,QUISQUEYA 1 T2,CENTRAL,230 KV,PVDC
18.493853,-69.350203,QUISQUEYA 1 T1,CENTRAL,230 KV,PVDC
18.4943965,-69.91245,SMURFIT KAPPA,UNR,69 KV,EGEITABO
18.4947073,-70.0523406,CABAYONA,RETIRO,69 KV,EDESUR
18.49492,-69.342212,CESPM 1,CENTRAL,138 KV,CESPM
18.495103,-69.34175,CESPM 2,CENTRAL,138 KV,CESPM
18.495223,-69.341289,CESPM 3,CENTRAL,138 KV,CESPM
18.4955336,-70.0597436,DISDO,RETIRO,69,EDESUR
18.4964S,-69.91024E,PETROQUIMICA,UNR,12.5 KV,EGEHAINA
18.4969S,-69.9099E,POLYPLAS,UNR,12.5 KV,EGEHAINA
18.4975879,-69.9171762,MERCASID,UNR,69 KV,EGEHAINA
18.497644,-69.993201,CODETEL ALAMEDA,UNR,12.5 KV,EDESUR
18.4980508,-69.824546,GOMAS Y PLÁSTICOS,UNR,69 KV,EGEITABO
18.498628,-69.868876,LOS MINA 69 KV,RETIRO,69 KV,EDEESTE
18.4987151,-69.8294387,COLCHONERIA LA NACIONAL,RETIRO,12.5 KV,EDEESTE
18.4993,-69.553259,CIP LA LUISA T1,UNR,138 KV,AES ANDRES
18.499303,-69.553122,CIP LA LUISA T2,UNR,138 KV,AES ANDRES
18.499428,-69.7897775,ZF SAN ISIDRO,UNR,69 KV,EGEITABO
18.4994741S,-69.9177717E,TERMOPAC,UNR,12.5 KV,EGEHAINA
18.49961,-69.55315,ECOACERO T04,UNR,138,EGEITABO
18.4997243,-69.8685432,RETIROS LOS MINA 5 y 6,GENERACION,138 KV,DPP
18.499746,-69.55315,ECOACERO T03,UNR,138,EGEITABO
18.499785,-69.867567,LOS MINA 138 T1,RETIRO,138 KV,EDEESTE
18.50003,-69.867617,LOS MINA 5,CENTRAL,138 KV,DPP
18.500039,-69.867996,LOS MINA 138 T2,RETIRO,138 KV,EDEESTE
18.500298,-69.86817,LOS MINA 6,CENTRAL,138 KV,DPP
18.500331,-69.868066,LOS MINA 138 kV T03,RETIRO,138,EDEESTE
18.500356,-69.867919,LOS MINA 7,CENTRAL,138 KV,DPP
18.501237,-69.902121,CAPOTILLO T2,RETIRO,69 KV,EDEESTE
18.501292,-69.902155,CAPOTILLO T1,RETIRO,69 KV,EDEESTE
18.5013182,-69.9452668,ARROYO HONDO T1,RETIRO,69 KV,EDESUR
18.502398,-69.339928,CENTRAL BERSAL-CEMEX,CENTRAL,12.5 KV,MONTE RIO LTD
18.502455,-69.339922,CEMEX C01,UNR,12.5 KV,AES ANDRES
18.502505,-69.339847,CEMEX C02,UNR,12.5 KV,AES ANDRES
18.502543,-69.33979,CEMEX C03,UNR,12.5 KV,AES ANDRES
18.502824,-69.769871,BASE AEREA SAN ISIDRO,RETIRO,69 KV,EDEESTE
18.502912,-69.340194,CEMEX T2,UNR,138,AES ANDRES
18.50301,-69.340263,CEMEX,UNR,138 KV,AES ANDRES
18.5032681,-69.9254496,LA 40 T1,RETIRO,69 KV,EDESUR
18.5045767,-69.8725395,GRUPO RAMOS SIRENA VENEZUELA,UNR,12.5,EGEHAINA
18.5051895,-70.0047973,PLASTIFAR,UNR,69 KV,EGEITABO
18.506095,-69.999153,LABORATORIOS ALFA T01,RETIRO,69,EDESUR
18.507993,-69.91889,LA ISABELA,RETIRO,138 KV,EDESUR
18.508814,-69.851699,TEMPLASTISA,RETIRO,69 KV,EDEESTE
18.5089979,-69.8561936,MEGACENTRO,UNR,69 KV,EGEHAINA
18.5094599,-69.6289382,CATALINA,RETIRO,69 KV,EDEESTE
18.509997,-70.331067,JIGUEY 1,CENTRAL,138 KV,EGEHID
18.510006,-70.33087,JIGUEY 2,CENTRAL,138 KV,EGEHID
18.5109265,-69.9086499,INCA LA ISABELA,UNR,69 KV,EGEHAINA
18.5125833,-69.9068333,MULTIFORM RETIRO,RETIRO,12.5 KV,EDEESTE
18.51277,-69.9064,MULTIFORM-UNR,UNR,69 KV,AES ANDRES
18.51323025,-69.90384306,RAVI CARIBE,UNR,12.5,EGEITABO
18.513366,-69.827052,INVIVIENDA T1,RETIRO,69 KV,EDEESTE
18.513423,-69.826901,INVIVIENDA T2,RETIRO,69 KV,EDEESTE
18.5140779,-70.0087807,NOVOPLAST,UNR,69 KV,EGEITABO
18.51573767,-70.07093343,CERVECERÍA NACIONAL DOMINICANA HATO NUEVO,UNR,12.5,MATRISOL, S.A.S.
18.5175833,-70.0515556,ZF ALCARRIZOS T1,RETIRO,69 KV,EDESUR
18.518439,-69.732733,KM 24,RETIRO,69 KV,EDEESTE
18.5188056,-70.898,LOS TOROS 1,CENTRAL,69 KV,EGEHID
18.52070645,-69.81734641,TEMPLASTISA HAINAMOSA,RETIRO,69,EDEESTE
18.52448,-69.74185,GRUPO RAMOS MELLA,UNR,69 KV,EGEHAINA
18.525604,-70.077207,TINFLEX HATO NUEVO C1,UNR,12.5,EGEHAINA
18.526729,-69.289144,PARQUE SOLAR EL SOCO,GENERACION,138,KOROR BUSINESS, S.R.L.
18.528215,-69.9964,LABORATORIOS SUED,UNR,12.5,EGEHAINA
18.528559,-69.998296,ZF PERLAV,UNR,12.5,EGEHAINA
18.5289444,-69.8388056,GRUPO RAMOS CHARLES,UNR,69 KV,EGEHAINA
18.531042,-68.872218,PARQUE FOTOVOLTAICO COTOPERÍ I,GENERACION,138,COTOPERÍ SOLAR FV
18.5324689,-69.8174455,TAMARINDO,RETIRO,69 KV,EDEESTE
18.5337121,-69.8199735,HAINAMOSA 138 T1,RETIRO,138 KV,EDEESTE
18.533996,-69.819479,HAINAMOSA 138 T2,RETIRO,138 KV,EDEESTE
18.534423,-68.866124,PARQUE FOTOVOLTAICO COTOPERÍ III,GENERACION,138,COTOPERÍ SOLAR FV
18.536588,-68.871369,PARQUE FOTOVOLTAICO COTOPERÍ II,GENERACION,138,COTOPERÍ SOLAR FV
18.53733,-70.02788,KINNOX,UNR,69 KV,EGEHAINA
18.537507,-70.0277215,PRODUCTO DIVERSO MT,RETIRO,12.5,EDESUR
18.5412917,-70.5075955,SAN JOSE DE OCOA,RETIRO,69 KV,EDESUR
18.5434282,-69.9347538,VILLA MELLA T03,RETIRO,138,EDEESTE
18.5435398,-69.9347038,VILLA MELLA,RETIRO,69 KV,EDEESTE
