bus_id_modom,bus_name,bus_id_legacy,bus_name_legacy,code_changed,appears_in_mapping,appears_in_e_datred,e_datred_endpoint_count,v_nom_kv,v_nom_inference_method,v_nom_confidence,bus_role,source_sheet_primary,bus_origin
WTMNTK,TERMINAL MONTECRISTI,WMONTK,TER MONTECRISTI VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTMONK,TERMINAL MONCIÓN,WMONCK,TER MONCION VIRTUAL,SI,True,True,4,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTMR1K,TERMINAL MONTE RÍO 1,WMRI1K,TER MONTERIO 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTMR2K,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WTNNAK,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WTORGF,TORGINOL,WTORGF,TORGINOL,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WTPA1K,TERMINAL PALAMARA 1,WPAL1K,TER PALAMARA 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTPG1K,TERMINAL PIMENTEL GRUPO 1,WPIM1K,TER PIMENTEL GRUPO 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTPG2K,TERMINAL PIMENTEL GRUPO 2,WPIM2K,TER PIMENTEL GRUPO 2 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTPG3K,TERMINAL PIMENTEL GRUPO 3,WPIM3K,TER PIMENTEL GRUPO 3 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTPI1K,TERMINAL PINALITO 1,WPIN1K,TER PINALITO 1 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTPI2K,TERMINAL PINALITO 2,WPIN2K,TER  PINALITO 2 VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTRINK,TERMINAL RINCÓN,WRINCK,TER RINCON,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTRJCK,TERMINAL ROSA JULIA CRUZ,WRJCRK,TERM ROSA JULIA CRUZ VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTROQF,TROQUEDOM,WTROQF,TROQUEDOM,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WTSABK,TERMINAL SABANETA,WSABAK,TER SABANETA,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTSE1K,TERMINAL SULTANA DEL ESTE 1,WSES1K,TERMINAL SULTANA DEL ESTE 1,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WTSFVK,TERMINAL SAN  FELIPE VAPOR,WSFEVK,TER SFELIP VA VIRTUAL,SI,True,True,1,,unresolved,low,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
