nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
23_Gen Terminal PLL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\23_Gen Terminal PLL.ElmPhi__pll,0,,,SUR 138 kV,
pll_Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\pll_Bayasol.ElmPhi__pll,0,,,SUR 138 kV,
pll_Girasol Grupo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 1.ElmComp\pll_Girasol Grupo 1.ElmPhi__pll,0,,,SUR 138 kV,
pll_Girasol Grupo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 2.ElmComp\pll_Girasol Grupo 2.ElmPhi__pll,0,,,SUR 138 kV,
pll_Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Planta_Santanasol.ElmComp\pll_Santanasol.ElmPhi__pll,0,,,SUR 138 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PS Los Negros.ElmComp\PhaseMeas.ElmPhi__pll,0,,,SUR 138 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PS Los Negros.ElmComp\FreqMeas.ElmPhi__pll,0,,,SUR 138 kV,
PLL_bess,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\BESS 1_AES Andrés.ElmComp\PLL_bess.ElmPhi__pll,0,,,CENTRAL 138 kV,
pll_AES BESS,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_AES BESS.ElmComp\pll_AES BESS.ElmPhi__pll,1,,,CENTRAL 138 kV,
PLL_bess,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\BESS_Los Mina.ElmComp\PLL_bess.ElmPhi__pll,0,,,CENTRAL 138 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF La Victoria.ElmComp\FreqMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF La Victoria.ElmComp\PhaseMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 2(1).ElmComp\PhaseMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 2(1).ElmComp\FreqMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF Washington Capital 3.ElmComp\PhaseMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF Washington Capital 3.ElmComp\FreqMeas.ElmPhi__pll,0,,,CENTRAL 138 kV,
PLL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_Mirasol.ElmComp\PLL.ElmPhi__pll,0,,,CENTRAL 138 kV,
