nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
gov_EDM3 TG2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT2.ElmComp\gov_EDM3 TG2.ElmDsl,0,,,CENTRAL 69 kV,,gov_IEEE_GGOV1
tlc_EDM3 GT2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT2.ElmComp\tlc_EDM3 GT2.ElmDsl,0,,,CENTRAL 69 kV,,tlc_IEEE_LCFB1
vtc_EDM3 GT2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT2.ElmComp\vtc_EDM3 GT2.ElmDsl,0,,,CENTRAL 69 kV,,vtc_IEEE_1
avr_EDM3 ST,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 ST.ElmComp\avr_EDM3 ST.ElmDsl,0,,,CENTRAL 69 kV,,exc_IEEE_ST6B
gov_EDM3 ST,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 ST.ElmComp\gov_EDM3 ST.ElmDsl,0,,,CENTRAL 69 kV,,gov_IEEE_TGOV1
tlc_EDM3 ST,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 ST.ElmComp\tlc_EDM3 ST.ElmDsl,0,,,CENTRAL 69 kV,,tlc_IEEE_LCFB1
vtc_EDM3 ST,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 ST.ElmComp\vtc_EDM3 ST.ElmDsl,0,,,CENTRAL 69 kV,,vtc_IEEE_1
APC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\APC.ElmDsl,0,,,CENTRAL 69 kV,,APC
Control Flags,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\Control Flags.ElmDsl,0,,,CENTRAL 69 kV,,Control Flags
BSM,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\BSM.ElmDsl,0,,,CENTRAL 69 kV,,BSM
