nombre,ruta,uline,tmax,rtemp
138 kV AC XLPE 300 mm^2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Lines@Cables\138 kV AC XLPE 300 mm^2.TypCab,138.0,90.0,105.0
69 kV Cu 250 mm SantiagoTC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Lines@Cables\69 kV Cu 250 mm SantiagoTC.TypCab,69.0,90.0,250.0
