nombre,ruta,barra(bus1),barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,Inom,R0,X0,usetp
34.5 kV SVC 2 PVDC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV SVC 2 PVDC.ElmSvs,Terminal PVDC 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 2.ElmTerm,0,CIBAO SUR,NORTE,Expansión 345 kV,,0.33469581604003906,0.0,0.0,1.0399999618530273
34.5 kV SVC 1 PVDC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV SVC 1 PVDC.ElmSvs,Terminal PVDC 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm,0,CIBAO SUR,NORTE,Expansión 345 kV,,0.33469581604003906,0.0,0.0,1.0399999618530273
