nombre,ruta,nntap0,strn,utrn_h,utrn_l,uktr,uk0tr,pcutr,pfe,curmg,vecgrp,tap_side,ntpmn,ntpmx,dutap,phitr,r1pu,x1pu,frnom
138/4.2 kV Trafo Palenque 1 30 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/4.2 kV Trafo Palenque 1 30 MVA.TypTr2,0,30.0,138.0,4.199999809265137,13.670000076293945,12.300000190734863,150.0,0.0,0.0,YNyn0,0,-13,13,1.0,0.0,0.004999999888241291,0.1366085261106491,60.0
138/4.2 kV Trafo Palenque 2 30 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/4.2 kV Trafo Palenque 2 30 MVA.TypTr2,0,30.0,138.0,4.199999809265137,13.670000076293945,12.300000190734863,150.0,0.0,0.0,YNyn0,0,-13,13,1.0,0.0,0.004999999888241291,0.1366085261106491,60.0
138/69 kV Cruce de Cabral 2 T1 (75 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Cruce de Cabral 2 T1 (75 MVA).TypTr2,0,75.0,138.0,69.0,9.039999961853027,8.157597541809082,375.0,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.004999999888241291,0.09026162326335907,60.0
138/69 kV San Juan 2 T1 75 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV San Juan 2 T1 75 MVA.TypTr2,0,75.0,138.0,69.0,9.029999732971191,8.119999885559082,375.0,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.004999999888241291,0.09016145765781403,60.0
138/69 kV Pizarrete T1 (150 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Pizarrete T1 (150 MVA).TypTr2,0,150.0,138.0,69.0,12.390000343322754,11.214683532714844,750.0,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.004999999888241291,0.12379907071590424,60.0
138/34.5 kV Trafo Matafongo 55 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Matafongo 55 MVA.TypTr2,0,55.0,138.0,34.5,15.402728080749512,13.862457275390625,159.49998474121094,0.0,0.0,YNd11,0,-8,8,1.25,0.0,0.0028999997302889824,0.15399998426437378,60.0
138/34.5 kV Trafo Bayasol 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Bayasol 60 MVA.TypTr2,0,60.0,138.0,34.5,12.369999885559082,11.130000114440918,245.36500549316406,51.13800048828125,0.28999999165534973,YNd11,0,-7,7,1.5,0.0,0.004089416936039925,0.12363238632678986,60.0
138/34.5 kV Trafo Girasol 75 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Girasol 75 MVA.TypTr2,0,75.0,138.0,34.5,10.619999885559082,9.557999610900879,375.0,0.0,0.0,YNd11,0,-13,13,1.0,0.0,0.004999999888241291,0.10608223080635071,60.0
138/34.5 kV Trafo Santanasol 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Santanasol 60 MVA.TypTr2,0,60.0,138.0,34.5,12.460000038146973,11.21399974822998,300.0,0.0,0.0,YNd11,0,-7,7,1.5,0.0,0.004999999888241291,0.12449964135885239,60.0
138/34.5 kV Trafo PF Calabaza 1 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo PF Calabaza 1 60 MVA.TypTr2,-8,60.0,138.0,34.5,12.460000038146973,11.21399974822998,300.0,0.0,0.0,YNd11,0,-15,-1,1.25,0.0,0.004999999888241291,0.12449964135885239,60.0
