nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\PQ Measurement.StaPqmea,0,,,SUR 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\PQ Measurement.StaPqmea,0,,,SUR 138 kV,
22_P Measurement_PSS,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\22_P Measurement_PSS.StaPqmea,0,,,SUR 138 kV,
PQ1-Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\PQ1-Bayasol.StaPqmea,0,,,SUR 138 kV,
PQ Measurement-Giraasol Grupo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 1.ElmComp\PQ Measurement-Giraasol Grupo 1.StaPqmea,0,,,SUR 138 kV,
PQ Measurement-Girasol Grupo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 2.ElmComp\PQ Measurement-Girasol Grupo 2.StaPqmea,0,,,SUR 138 kV,
PQ Measurement-Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Planta_Santanasol.ElmComp\PQ Measurement-Santanasol.StaPqmea,0,,,SUR 138 kV,
Terminal PQ Meas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Planta_Calabaza 1.ElmComp\Terminal PQ Meas.StaPqmea,0,,,SUR 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PS Los Negros.ElmComp\PQ Measurement.StaPqmea,0,,,SUR 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PE Matafongo.ElmComp\PQ Measurement.StaPqmea,0,,,SUR 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PE Matafongo 2.ElmComp\PQ Measurement.StaPqmea,0,,,SUR 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\BESS 1_AES Andrés.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 138 kV,
PQ_MATADERO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Matadero_EDAC.ElmComp\PQ_MATADERO.StaPqmea,1,,,CENTRAL 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\BESS_Los Mina.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF La Victoria.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\PF Washington Capital 2(1).ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_PF Washington Capital 3.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 138 kV,
PQMeasurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta_Mirasol.ElmComp\PQMeasurement.StaPqmea,0,,,CENTRAL 138 kV,
