nombre,ruta,Inom
40KA_2000A,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Interruptores\40KA_2000A.TypSwitch,2000.0
25KA_1250,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Interruptores\25KA_1250.TypSwitch,1250.0
