nombre,ruta
Sec VT 115 V,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\VTs\Sec VT 115 V.TypVtsec
Sec VT 110V,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\VTs\Sec VT 110V.TypVtsec
Sec. Voltage Transformer Type,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Matrisol\Equipment Type Library\Sec. Voltage Transformer Type.TypVtsec
Sec VT 120 V,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\VTs\Sec VT 120 V.TypVtsec
