nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Load Area ZDS1
Load Encroachment,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-SEL 311L.ElmRelay\Load Encroachment.RelDisloadenc,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Load Encroachment
Load Encroachment,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZPBLAD-L1-SEL 311L.ElmRelay\Load Encroachment.RelDisloadenc,1,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,Load Encroachment
Load Encroachment,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZQU11D-L1-SEL 311L.ElmRelay\Load Encroachment.RelDisloadenc,1,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,Load Encroachment
Load Encroachment,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\ZSESTE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSESTE_ZSPBEE-L1-SEL 311L.ElmRelay\Load Encroachment.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSESTE,Load Encroachment
Load Encroachment,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\ZSESTE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSESTE_ZSPBEE-L1-SEL 421.ElmRelay\Load Encroachment.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSESTE,Load Encroachment
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Inner Load Area
