nombre,ruta,cpZone,cpArea,cpGrid,cpSubstat
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(5).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(5).ElmTerm\WBLRPUF(4).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(2).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
Cub_1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(2).ElmTerm\Cub_1.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(6).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(6).ElmTerm\WBLRPUF(5).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1.ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1.ElmTerm\WBLRPUF.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1(1).ElmTerm\WBLRPUF(3).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1(1).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
