nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Palamara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palamara.ElmBmu,1,,,,
Monte Río,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monte Río.ElmBmu,1,,,,
Valdesia 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Valdesia 2.ElmBmu,1,,,,
Valdesia 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Valdesia 1.ElmBmu,1,,,,
Tavera 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Tavera 2.ElmBmu,1,,,,
Tavera 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Tavera 1.ElmBmu,1,,,,
Sabaneta,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sabaneta.ElmBmu,1,,,,
López Angostura,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\López Angostura.ElmBmu,1,,,,
Itabo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Itabo 2.ElmBmu,1,,,,
Itabo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Itabo 1.ElmBmu,1,,,,
Hatillo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Hatillo 1.ElmBmu,1,,,,
Domingo Rodríguez 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Domingo Rodríguez 2.ElmBmu,1,,,,
Domingo Rodríguez 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Domingo Rodríguez 1.ElmBmu,1,,,,
Barahona Carbón,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Barahona Carbón.ElmBmu,1,,,,
