kind,name,from_w,to_w,loading_percent,p_from_mw,hour
line,69 kV Los Mina – Templástica_c,WTEMPF,WXTAMF,34.680381517753744,-9.695188165999712,h_01
line,69 kV Invivienda – Villa Duarte_b,WXGPLF,WXINVF,36.09183161670057,25.895882553532772,h_01
line,69 kV Los Mina – Timbeque,WLMINF,WDESPF,22.567556581022888,-16.725002100190057,h_01
line,69 kV Capotillo – Timbeque,WDESPF,WCAPOF,70.06698950294863,50.023705125279506,h_01
line,69 kV Dajao – Sabana Perdida_b,WXTDAF,WSPERF,39.694473064946656,27.054612219182918,h_01
line,69 kV Boca Chica – Mata de Palma_c,WXKVEF,WXKVNF,5.626178339420778,1.5738422863775339,h_01
line,69 kV INCA km 22 – Palamara_a,WXCSAF,WINCAF,40.207972271492324,30.309900895212206,h_01
line,69 kV Boca Chica – La Caleta,WXKVEF,WLCALF,1.666771216015045,0.27349278959276974,h_01
line,69 kV Boca Chica – ZF Las Americas_d,WLCALF,WXLC2F,18.586160705785844,12.666644451819446,h_01
line,69 kV Boca Chica – ZF Las Americas_b,WXPC2F,WXPCIF,44.06156219033267,-30.03661110111384,h_01
line,69 kV Derivación ZF Gildan,WXMPAF,WZGILF,5.236784435396203,3.6393899570878205,h_01
line,69 kV Boca Chica – Mata de Palma_g,WXMPAF,WXGUEF,6.041763397457851,-4.2724900473793825,h_01
line,69 kV Derivación Acueducto Brujela_b,WXCA2F,WABRUF,18.96160301027294,9.83454380641145,h_01
line,69 kV Derivación Aero Las Américas,WXLC2F,WAAMEF,3.7891312691493475,2.7015374732602346,h_01
line,69 kV Boca Chica – ZF Las Americas_e,WXLC2F,WXZAMF,14.870174183367874,9.962828480440763,h_01
line,69 kV Boca Chica – ZF Las Americas_f,WXZAMF,WZAMEF,13.274033014049765,9.057231560496023,h_01
line,69 kV Derivación Multiform,WXIISF,WMULTF,6.661396996444284,2.583990594552004,h_01
line,69 kV Derivación INCA La Isabela_a,WXINAF,WXIISF,6.926411293866626,2.6915431857250027,h_01
line,69 kV Dajao – Monte Plata Solar_c,WMPLAF,WXYAMF,48.03549567402579,-28.26745196952947,h_01
line,69 kV Derivación Smurfit Kappa,WSKAPF,WXSKAF,1.6974096860182954,-1.2081591719992286,h_01
line,69 kV Palamara – Bco Nacional Vivienda_b,WXAHGF,WXALIF,25.241201169330562,-13.50934738773689,h_01
line,69 kV INCA km 22 – Palamara_b,WXCSAF,WXIPSF,55.63298884522532,-42.41751881649809,h_01
line,69 kV Dajao – Monte Plata Solar_b,WXSPRF,WXYAMF,71.92942565737809,44.56697974298541,h_01
line,69 kV Derivación Molinos del Ozama,WXMOLF,WMOZAF,3.32850013951263,2.280426130778702,h_01
line,69 kV Derivación Grupo Malla,WXMALF,WGMALF,5.768666547360968,2.4548809118084,h_01
line,69 kV Boca Chica – Mata de Palma_b,WXCA2F,WXKVEF,4.611570730948997,1.8497778856356162,h_01
line,69 kV Invivienda – Villa Duarte_c,WXGALF,WXGPLF,39.24152237632904,28.275217458767564,h_01
line,69 kV Palamara – Bco Nacional Vivienda_c,WXAHGF,WBNVIF,24.972467781582488,13.304817375643365,h_01
line,69 kV Derivación Aeropuerto El Higüero,WXAHGF,WAHIGF,0.3627380752158223,0.2045300120939523,h_01
line,69 kV Derivación ZF Los Alcarrizos_c,WXDISF,WZALCF,24.891916969626543,17.729166894542058,h_01
line,69 kV Invivienda – Villa Duarte_a,WXINVF,WINVIF,30.279806898290897,21.521957660255385,h_01
line,69 kV Derivación Acueducto La Isabela,WXALIF,WALISF,0.626325523306822,0.33853111784864054,h_01
line,69 kV Invivienda – Villa Duarte_d,WVDU1F,WXGALF,40.145950229822795,29.016879803448802,h_01
line,69 kV Timbeque – Villa Duarte_b,WXMOLF,WVDU1F,36.05441784349072,26.570783985649417,h_01
line,69 kV Hainamosa – Boca Chica(Tamarindo)a,WHNS1F,WXTMRF,67.20966613777803,37.198792863575356,h_01
line,69 kV Hainamosa – Invivienda,WHNS1F,WXTH1F,56.67126337040174,41.245761476532095,h_01
line,69 kV Hainamosa – Boca Chica(Tamarindo)c,WXBASF,WXAORF,41.15348373089843,-22.2827398962248,h_01
line,69 kV Boca Chica – ZF Las Americas_c,WXPC2F,WLCALF,42.06981330984956,28.899404193114574,h_01
line,69 kV Boca Chica – Mata de Palma_f,WXZBVF,WXGUEF,18.46390693950225,10.980822221369948,h_01
line,69 kV Palamara – Madre Vieja_b,WXPA1F,WXPA2F,38.08478141414506,24.882205852552534,h_01
line,69 kV Bayona – Multiparques,WMLTPF,WBAYOF,18.240654435739838,13.539048593186878,h_01
line,69 kV Dajao – Monte Plata Solar_d,WMPLAF,WMPSOF,0.0025985696704104244,6.707898992988945e-12,h_01
line,69 kV Derivación Kilómetro 24,WXKVNF,WKVENF,8.086108291947038,5.459130655335386,h_01
line,69 kV Arroyo Hondo – Palamara_a,WXPLAF,WAHONF,7.591048254079687,11.631428745029664,h_01
line,69 kV Arroyo Hondo – Palamara_b,,WXPLAF,0.08306196776004705,4.2458683198068875e-14,h_01
line,69 kV Boca Chica – ZF Las Americas_a,WBCHIF,WXPCIF,47.476361772399294,32.720900929215304,h_01
line,69 kV Boca Chica – SPM_a,WXCATF,WBCHIF,17.680136741310665,-12.450597496321018,h_01
line,69 kV Bayona – Palamara_d,WGPALF,WXPDIF,62.41990566611295,44.872432432874795,h_01
line,69 kV Palamara – Plastifar_a,WPALBF,WNOVOF,31.845724721192266,24.05608734775372,h_01
line,69 kV INCA km 22 – Palamara_e,WGPALF,WXPLCF,68.261844267432,52.98790854568816,h_01
line,69 kV Palamara – Bco Nacional Vivienda_a,WGPALF,WXALIF,25.83981630082915,13.895932514213548,h_01
line,69 kV Timbeque – Timbeque 2,WDESPF,WTI22F,94.45276465071314,-125.99330648930514,h_01
line,69 kV La Cuarenta – Timbeque 2_c,WXTTIF,WTI22F,27.46730855574216,-19.4785929221187,h_01
line,69 kV Estrella del Mar 3 – Timbeque 2,WEMB3F,WTI22F,90.88895937219877,146.99999999999903,h_01
line,69 kV Estrella del Mar 3 – Timbeque,WDESPF,WEMA3F,1.4254521643788538,0.6843543358679803,h_01
line,69 kV La Cuarenta – Timbeque 2_b,WXINAF,WXTTIF,26.515378742050267,-18.79077063550145,h_01
line,69 kV Derivación Metropolitano,WXHE1F,,0.16283078227606324,8.402441296233994e-07,h_01
line,69 kV Boca Chica – Mata de Palma_h,WXMPAF,WXLPAF,0.8639495276480657,0.6331000902910413,h_01
line,69 kV Cítricos Nacionales – INCA km 22_b,WXPCGF,WXCINF,23.12306804870267,9.42634134158658,h_01
line,69 kV Derivación Base Aerea San Isidro,WXBASF,WBASIF,21.19112773962706,6.9322198230482215,h_01
line,69 kV Derivación Tamarindo,WTAMAF,WXTMRF,5.5298223704403116,-2.960207590997414,h_01
line,69 kV Derivación INCA La Isabela_b,WIISAF,WXIISF,0.2708992025224632,-0.10627999999717547,h_01
line,69 kV Dajao – Monte Plata Solar_a,WDJAOF,WXSPRF,79.86512773899422,50.61783871749223,h_01
line,69 kV Arroyo Hondo – Kilómetro 10.5_b,WKDMEF,WXCARF,54.54366673321316,-36.979847377001775,h_01
line,69 kV Arroyo Hondo – Kilómetro 10.5_a,WAHONF,WXCARF,56.82650781949168,38.69786578624391,h_01
line,69 kV Hainamosa – Boca Chica(Tamarindo)d,WXBASF,WXMARF,29.074045189516795,15.35052007317593,h_01
line,69 kV Hainamosa – Boca Chica(Tamar(1),WXMARF,WXZBVF,29.160909907024035,15.327153978281101,h_01
line,69 kV Boca Chica – Mata de Palma_e,WXZBVF,WXGRMF,11.312224319648442,4.33170144323141,h_01
line,69 kV Boca Chica – Mata de Palma_d,WXGRMF,WXKVNF,10.02019798449134,3.888861701349232,h_01
line,69 kV Derivación ZF Multinodal Caucedo,WXPCIF,WZMCAF,6.075297797848692,2.4982598017900344,h_01
line,69 kV Boca Chica – Acueducto Brujuela_a,WXCA2F,WXCATF,27.984650317201194,-16.852793326046857,h_01
line,69 kV Derivación Cartonera del Caribe_b,WCCARF,WXZAMF,1.7175135783298041,-0.8957625000030521,h_01
line,69 kV Bayona – Palamara_a,,WXHNUF,0.02964916404934677,-3.260180642757614e-13,h_01
line,69 kV Bayona – Palamara_b,WXHNUF,WXCABF,10.787793144287608,-7.582806112657563,h_01
line,69 kV Arroyo Hondo – Capotillo_c,WXPETF,WXSKAF,1.683504352622702,1.208241146939758,h_01
line,69 kV Arroyo Hondo – Capotillo_d,WXSKAF,,0.016586528378067924,9.267705139332003e-10,h_01
line,69 kV Palamara – Plastifar_c,WXNOVF,WPLASF,17.146326539176112,7.257625106178718,h_01
line,69 kV Derivación Plastifar,WXNOVF,WXPLAF,15.223111451557724,11.6371242832072,h_01
line,69 kV La Cuarenta – Timbeque 2_a,WXINAF,WLCUAF,22.59872864921878,16.099227449775388,h_01
line,69 kV Timbeque – Villa Duarte_a,WDESPF,WXMOLF,38.771251227171675,28.8708666712513,h_01
line,69 kV Derivación G. Ramos Charles,WXINVF,WGRCHF,1.3269661069308607,0.521567821464867,h_01
line,69 kV Derivación ZF San Isidro,WZSISF,WXZHAF,9.017953544553585,-3.8154961736276247,h_01
line,69 kV INCA km 22 – Palamara_d,WXPLCF,WXIPSF,67.66542226297456,52.37566735280667,h_01
line,69 kV Arroyo Hondo – La Cuarenta,WAHONF,,0.07520238606611697,8.4746917475944e-08,h_01
line,69 kV Los Mina – Villa Duarte,WLMINF,WVDU1F,20.7279633836006,-6.9547099371620344,h_01
line,69 kV Hainamosa – Invivienda_a,WXTH1F,WINVBF,56.68720882726145,41.169659950288136,h_01
line,69 kV Palamara – Madre Vieja_g,WXARDF,WXTISF,29.739455736141117,21.785988377460466,h_01
line,69 kV Palamara – Madre Vieja_h,WXTISF,WMVIEF,31.151758039288325,21.74673087968254,h_01
line,69 kV Boca Chica – Mata de Palma_a,WXLPAF,WMPALF,0.15847728702735445,8.338032718802218e-07,h_01
line,69 kV Derivación ZF San Isidro_a,WXZHAF,WXINVF,9.001086106714702,-3.820250331501977,h_01
line,69 kV Derivación Parque Industrial DISDO,WXDISF,WDISDF,8.865438180662338,6.366130632529495,h_01
line,69 kV Derivación Maranatha,WXMARF,WMARAF,0.10143198781353505,2.1284749348836652e-07,h_01
line,Derivación 69 kV CCN,WPLCCF,WXPLCF,0.63235838750791,-0.46540766999980865,h_01
line,69 kV Derivación Templastisa_a,WXTH1F,WXTH2F,0.010057985533949647,2.478802791697617e-10,h_01
line,69 kV Derivación Templastisa_b,WXTH2F,WTHAIF,0.006831839651702989,6.843836121134926e-11,h_01
line,69 kV Dajao – Martí,WDJAOF,WMARTF,0.18571623067669824,1.365092875714517e-06,h_01
line,69 kV Derivación Las Parras,WXLPAF,WLPARF,0.9015245129187388,0.6330194640331452,h_01
line,69 kV Derivación ZF Hainamosa,WXZHAF,WZHAIF,0.015018959877701936,3.8565717889523747e-10,h_01
line,345 kV Bonao 3 – El Naranjo L1,WNAR3D,WBO31D,16.646067681484364,-195.9713255177816,h_01
line,345 kV Bonao 3 – El Naranjo L2,WNAR3D,WBO31D,16.646067681484364,-195.9713255177816,h_01
line,345 kV Bonao 3 – Julio Sauri_a,WXJS3D,WBO31D,12.537908362200431,150.79649705765158,h_01
line,345 kV Bonao 3 – Julio Sauri_b,WXJS3D,WJSA1D,12.547714320530773,-150.7964970576512,h_01
line,230 kV Bonao 3 – PVDC_a,WXPV1D,WXBO2D,25.3224149152934,-119.03680962500309,h_01
line,230 kV Bonao 3 – Quisqueya 2_a,WXPV3D,WXBO2D,4.333195264183908,-17.110563598130508,h_01
line,230 kV Bonao 3 – Quisqueya 2_b,WQU21D,WXPV3D,4.039580276674899,-17.07637505556238,h_01
line,230 kV PVDC – Quisqueya 1_b,WQU21D,WXPV2D,3.7555485565706785,11.521988023142397,h_01
line,230 kV PVDC – Quisqueya 1_a,WPVDCD,WXPV2D,2.5142945235822203,-11.502621458220933,h_01
line,230 kV Bonao 3 – PVDC_b,WXPV1D,WPVDCD,25.143931435106172,119.03680962500187,h_01
line,345 kV Bonao 3 – Guerra_a,WXJS4D,WBO31D,4.197985690485593,44.60955351449207,h_01
line,345 kV Guerra – Julio Sauri_b,WXGUED,WJSA1D,7.413297935910563,-83.51186245424731,h_01
line,345 kV Julio Sauri – Punta Catalina L1,WPCA1D,WJSA1D,18.000467110893172,290.6051106190313,h_01
line,345 kV Bonao 3 – Guerra_b,WXJS4D,WGUE2D,4.788017843540847,-44.60955351449156,h_01
line,345 kV Guerra – Julio Sauri_a,WXGUED,WGUE2D,7.853716086520025,83.51186245424364,h_01
line,138 kV SPM – SPM 2_b,WXLO3E,WSP2CE,38.18896791270117,-51.183457356204656,h_01
line,138 kV Los Orígenes – SPM 2_b,WXLO2E,WSP2CE,29.346475457966452,-39.57993303997212,h_01
line,138 kV Cotoperí – La Romana,WCOTAE,WLROME,16.40322722099596,-23.445763673788374,h_01
line,138 kV Coastal – SPM_b,WSPMAE,WXCO1E,41.37715494850644,63.910075596395956,h_01
line,138 kV Cumayasa – SPM_b,WSPMAE,WXCO2E,49.037573310660555,75.62529260103453,h_01
line,138 kV CEMEX – SPM 2,WCEMEE,WSP2CE,14.629142213472715,-45.332402521175716,h_01
line,138 kV Juan Dolio – SPM 2_a,WXJD3E,WJDO1E,15.243593308468698,47.60483322809173,h_01
line,138 kV Juan Dolio – SPM 2_b,WXJD3E,WSP2CE,15.221698190204853,-47.604833228090676,h_01
line,138 kV CIP La Luisa – SPM 2_b,WSP2CE,WXCL3E,8.008435448779727,23.898558652160933,h_01
line,138 kV El Seibo – Higüey,WESEIE,WHIGUE,14.761395458232718,21.961874246584852,h_01
line,138 kV SPM – SPM 2_a,WXLO3E,WSPMAE,32.72009284113212,51.183457356203235,h_01
line,138 kV Los Orígenes – SPM 2_a,WXLO2E,WLORIE,25.14288267161053,39.57993303996234,h_01
line,138 kV Los Orígenes – SPM_b,WSPMAE,WXLO1E,51.60188181096497,-78.73480796879785,h_01
line,138 kV Los Orígenes – SPM_a,WXLO1E,WLORIE,51.59649882392541,-78.75808847472719,h_01
line,138 kV CIP La Luisa – SPM 2_a,WXCL3E,WCLUIE,8.021508650154034,23.840465646254476,h_01
line,138 kV Derivación Sultana del Este,WSESTE,WXSESE,14.793885907761863,46.91996307537421,h_01
line,138 kV San Pedro Bio-Energy – SPM 2_b,WXSP1E,WSP2CE,6.30331380805778,-20.000288477795724,h_01
line,138kV SP Bio-Energy – SPM_a,WSPBEE,WXSP2E,14.89101358901406,44.55122309552018,h_01
line,138kV SP Bio-Energy – SPM_b,WXSESE,WXSP2E,14.906022757287493,-44.53547736208668,h_01
line,138 kV San Pedro Bio-Energy – SPM 2_a,WXSP1E,WSPBEE,6.3036548287333725,20.000288477793195,h_01
line,138 kV Cotoperí – Higüey,WCOTAE,WHIGUE,16.58707432411385,23.445763673788907,h_01
line,138 kV Cumayasa – La Romana_b,WXCU2E,WLROME,49.06490557264034,74.35076289532857,h_01
line,138 kV Coastal – La Romana_c,WXCU3E,WLROME,41.584704681169185,62.81627786048978,h_01
line,138 kV El Soco – SPM 2_b,WXPSEE,WSP2CE,37.05780123696688,-56.1254142414158,h_01
line,138 kV El Seibo – Hato Mayor 2,WHMA2E,WESEIE,20.960262279569157,31.555661447708435,h_01
line,138 kV El Soco – Hato Mayor 2_a,WXES2E,WESOCE,37.07619274796563,-56.08650627802494,h_01
line,138 kV El Soco – SPM 2_a,WXPSEE,WESOCE,37.0670059405772,56.12541424142006,h_01
line,138 kV El Soco – Hato Mayor 2_b,WXES2E,WHMA2E,37.340265811985766,56.086506278029745,h_01
line,138 kV Cumayasa – SPM_a,WXCU1E,WCUMAE,49.182493443245015,74.47213773679205,h_01
line,138 kV Cumayasa – La Romana_a,WCUMAE,WXCU2E,49.014212362673874,74.36181846778271,h_01
line,138 kV Cumayasa – SPM_c,WXCO2E,WXCU1E,49.180585214610275,75.24592030945203,h_01
line,138 kV Coastal – La Romana_b,WXCO3E,WXCU3E,41.530274267484444,63.36780457590826,h_01
line,138 kV Coastal – SPM_a,WXCO1E,WCOAPE,41.40595123872494,63.64004014955501,h_01
line,138 kV Coastal – La Romana_a,WCOAPE,WXCO3E,41.39178968480023,63.4739127012152,h_01
line,138kV SP Bio-Energy – SPM_c,WXSESE,WSPMAE,58.45014919420668,91.44910464358459,h_01
line,138 kV Bonao 2 – Palamara L2,WBO21E,WPAL1E,42.19012675475619,-53.580420746105325,h_01
line,138 kV Bonao 2 – Palamara L1,WBO21E,WPAL1E,42.19012675475619,-53.580420746105325,h_01
line,138 kV Canabacoa – ZF Santiago_b,WXNIBE,WCAN1E,12.812656044020196,17.12616793825784,h_01
line,138 kV Navarrete 2 – Valverde Mao_a,WNA21E,WXCE2E,15.860081707507945,24.503967706601713,h_01
line,138 kV La Gallera – ZF Santiago,WLGA1E,WZSA1E,33.476276822861,-51.833463381536546,h_01
line,138 kV Canabacoa – Nibaje_a,WCAN1E,WXNI3E,11.869029078101759,15.285497278279742,h_01
line,138 kV Canabacoa – La Gallera,WLGA1E,WCAN1E,3.5159472920200328,-1.541944745667358,h_01
line,138 kV Bonao 2 – Canabacoa L1,WBO21E,WCAN1E,17.228636782123942,23.032965759000483,h_01
line,138 kV Bonao 2 – Canabacoa L2,WBO21E,WCAN1E,17.228636782123942,23.032965759000483,h_01
line,138 kV Canabacoa – Tavera L1,WTAV2E,WCAN1E,10.962862401077874,24.146130540838044,h_01
line,138 kV Canabacoa – Tavera L2,WTAV2E,WCAN1E,10.962862401077874,24.146130540838044,h_01
line,138 kV Agua Clara – Navarrete 2_c,WNA21E,WXCE1E,2.5914865125015774,3.6414281887181703,h_01
line,138 kV Navarrete 2 – Valverde Mao_b,WXCE2E,WVMA1E,15.935933906561777,24.404659179821728,h_01
line,138 kV Nagua 2 – Pimentel,WPIM1E,WNAG2E,46.462743478084064,71.20190771328168,h_01
line,138 kV Pimentel – SFM,WSFM1E,WPIM1E,17.0992061927994,-12.779439415162184,h_01
line,138 kV Los Guzmancito – Puerto Plata 2_b,WPP21E,WXLG2E,28.622186016039354,-90.31500504372728,h_01
line,138 kV Monción – Valverde Mao_a,WMONCE,WXCQ2E,2.0304591656798294,-2.3806442508737296,h_01
line,138 kV Monción – Valverde Mao_b,WXCQ2E,WVMA1E,2.310510729342621,-2.3814327906223185,h_01
