loc_name,for_name,ruta,cpZone,cpArea,cpGrid,cpSubstat,typ_id,on_off,aUsage
KPF ACUEDUCTO BRUJUELA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto Brujuelas.ElmTerm\Cub_1.StaCubic\KPF ACUEDUCTO BRUJUELA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF Base Aérea San Isidro,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Base Aérea San Isidro.ElmTerm\Cub_5.StaCubic\KPF Base Aérea San Isidro.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF CAYACOA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Catalina.ElmTerm\Cub_3.StaCubic\KPF CAYACOA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0,cbk
KPF METROPOLITANO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Herrera.ElmTerm\Cub_4.StaCubic\KPF METROPOLITANO.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF ARGOS DOMINICANA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cemento Colón.ElmTerm\Cub_3.StaCubic\KPF ARGOS DOMINICANA.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
KPF MADRE VIEJA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Argos Dominicana.ElmTerm\Cub_5.StaCubic\KPF MADRE VIEJA.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
KPF HARINAS DEL HIGUAMO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cementos Nacionales.ElmTerm\Cub_2.StaCubic\KPF HARINAS DEL HIGUAMO.StaSwitch,ESTE CERCANO,ESTE,CENTRAL 69 kV,,,1,cbk
KPF PLASTIFAR,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Novoplast.ElmTerm\Cub_4.StaCubic\KPF PLASTIFAR.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Terminal Martí.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Terminal Martí.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Terminal Martí.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\69 kV Maranatha.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF Derivación DISDO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 DISDO.ElmTerm\Cub_2.StaCubic\KPF Derivación DISDO.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Catalina.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto Brujuela.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Multimodal Caucedo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Parque Cibernético.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aero Las Américas.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Cartones del Caribe.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Tamarindo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto Oriental.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Base Aérea San Isidro.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Guerra.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Gildan.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Ramos Charles.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF San Isidro.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Gomas y Plásticos.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Alaska.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Molinos del Ozama.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Templastisa.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Megacentro.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Ramos Mella.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Kilómetro 24.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Textiles Titán.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV INCA La Isabela.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Multiform.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Plastifar.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Molinos Modernos.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV MERCASID.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Petroquímica.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Smurfit Kappa.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Carrefour(1).ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Cervecería Bohemia.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Oleoducto FALCONDO.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV TORGINOL.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Centro Operaciones Herrera.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aluminio Dominicano.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV CODETEL.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Grupo Haché.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Banco Popular.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Listín Diario.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Villa Altagracia.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SUR CERCANO,SUR,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Parque Caribbean Glass.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Campamento 16 Agosto.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV CORVI PVC.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Ciudad Satélite.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Parque Industrial Duarte.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Productos Diversos.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Caballona.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV DISDO.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Los Alcarrizos.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Hato Nuevo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV CAASD Bayona 2.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV CAASD Bayona 1.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Banco Nacional de la Vivienda.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Aeropuerto El Higüero.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Acueducto La Isabela.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF TEMPLASTISA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 2 69 kV Templastisa Hainamosa.ElmTerm\Cub_2.StaCubic\KPF TEMPLASTISA.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Templastisa Hainamosa.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,cbk
KPF Maranatha,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 69 kV Maranatha.ElmTerm\Cub_2.StaCubic\KPF Maranatha.StaSwitch,,,CENTRAL 69 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Novoplast.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Las Parras.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Hainamosa.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,1,dct
WQUISD_WQUISE-T1-Q3,WQUISD_WQUISE-T1-Q3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Terminal Transformador Quisqueya 1 SP.ElmTerm\Cub_1.StaCubic\WQUISD_WQUISE-T1-Q3.StaSwitch,ESTE CERCANO,ESTE,Expansión 345 kV,,,0,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_15.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_9.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_10.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_11.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_12.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_13.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm\Cub_14.StaCubic\Switch.StaSwitch,CIBAO SUR,NORTE,Expansión 345 kV,,,1,cbk
