loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Voltage Measurement-SPBE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Voltage Measurement-SPBE.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement-Sultana del Este,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Voltage Measurement-Sultana del Este.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Plant_PF Cotoperí 1.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Plant_PF Cotoperí 2.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Plant_PF Cotoperí 3.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Planta_PF Coastal G2.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Planta_PF Coastal G1.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 138 kV,
Voltage Measurement-Quisqueya,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Voltage Measurement-Quisqueya.StaVmea,0,,,ESTE 138 kV,
Medidor Volt Horno-FALCONDO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Horno de Arco_FALCONDO.ElmComp\Medidor Volt Horno-FALCONDO.StaVmea,1,,,NORTE 138 kV,
Medidor Volt Barra-FALCONDO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Horno de Arco_FALCONDO.ElmComp\Medidor Volt Barra-FALCONDO.StaVmea,1,,,NORTE 138 kV,
