loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,GPSlat,GPSlon,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech,bustp,phiini
PF Cotoperí 1,G3PFCOT1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 1.ElmGenstat,Terminal PF Cotoperí 1,WCSO1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 1.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8042740225791931,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,0,6.007500171661377,0.0,0.662857174873352,-0.662857174873352,6.007500171661377,1.0,DEF,0,PQ,0.0
PF Cotoperí 2,G3PFCOT2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 2.ElmGenstat,Terminal PF Cotoperí 2,WCSO2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 2.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8042740225791931,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,0,6.007500171661377,0.0,0.662857174873352,-0.662857174873352,6.007500171661377,1.0,DEF,0,PQ,0.0
PF Cotoperí 3,G3PFCOT3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 3.ElmGenstat,Terminal PF Cotoperí 3,WCSO3K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 3.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8042740225791931,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,0,6.007500171661377,0.0,0.662857174873352,-0.662857174873352,6.007500171661377,1.0,DEF,0,PQ,0.0
PF Coastal G2,G4PFCOA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\PF Coastal G2.ElmGenstat,Terminal Coastal 2,WCOA2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal 2.ElmTerm,1,ESTE CERCANO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8496587872505188,6,8.461999893188477,1.0,0.0,0.0,1.0,constq,0,8.461999893188477,0.0,0.662857174873352,-0.662857174873352,8.461999893188477,1.0,DEF,0,PQ,0.0
PF Coastal G1,G4PFCOA1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\PF Coastal G1.ElmGenstat,Terminal Coastal,WCOA1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal.ElmTerm,1,ESTE CERCANO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.9912685751914978,7,8.461999893188477,1.0,0.0,0.0,1.0,constq,0,8.461999893188477,0.0,0.662857174873352,-0.662857174873352,8.461999893188477,1.0,DEF,0,PQ,0.0
Parque Fotovoltaico SAJOMA,G3PFSAJO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Parque Fotovoltaico SAJOMA.ElmGenstat,Terminal PF SAJOMA,WXPFSK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,1,CIBAO NORTE,NORTE,NORTE 138 kV,Photovoltaic,,0.0,0.0,1.1446596384048462,9,7.599999904632568,1.0,0.0,0.0,1.0,constq,0,7.599999904632568,0.0,0.662857174873352,-0.662857174873352,7.600000381469727,1.0,DEF,0,PQ,0.0
Monte Cristi Solar Grupo 2,G4PFMSO2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 2.ElmGenstat,R3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R3.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.0,0.0,0.7621024250984192,12,2.200000047683716,1.0,0.0,0.0,1.0,constq,0,2.200000047683716,0.0,1.0,-1.0,2.200000047683716,1.0,DEF,0,PQ,0.0
Monte Cristi Solar Grupo 1,G4PFMSO1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.0,0.0,0.6985938549041748,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,0,2.200000047683716,0.0,1.0,-1.0,2.200000047683716,1.0,DEF,0,PQ,0.0
Agua Clara,G3PEACLA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,WACLAK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Wind,,0.0,0.0,0.8785764575004578,25,2.0999999046325684,1.0,0.0560000017285347,0.0,1.0,constq,0,2.2100000381469727,0.0,1.0,-1.0,2.0999999046325684,1.0,PQ,0,PQ,0.0
Guanillo,G3PEGUAN,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Guanillo.ElmGenstat,Terminal Guanillo,WGNLLK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Wind,,0.0,0.0,0.9245971441268921,25,2.2100000381469727,0.949999988079071,0.06080000102519989,0.0,1.0,constq,0,2.2100000381469727,0.0,1.0,-1.0,2.0994999408721924,1.0,DEF,0,PQ,0.0
Los Guzmancito,G3PELGUZ,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito.ElmGenstat,Terminal Los Guzmancito,WLGUZK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,0,CIBAO NORTE,NORTE,NORTE 138 kV,Wind,,0.0,0.0,0.8534743189811707,17,3.0,1.0,0.060589998960494995,0.0,1.0,constq,0,3.5,0.0,1.0,-1.0,3.0,1.0,DEF,0,PQ,0.0
Los Guzmancito 2,G3PELGU2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito 2.ElmGenstat,Terminal Los Guzmancito 2,WLGU2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,0,CIBAO NORTE,NORTE,NORTE 138 kV,Wind,,0.0,0.0,0.7831881642341614,13,3.5999999046325684,1.0,0.04385000094771385,0.0,1.0,constq,0,4.0,0.0,0.514285683631897,-0.514285683631897,3.5999999046325684,1.0,DEF,0,PQ,0.0
Parque Fotovoltaico MATRISOL,G3PFMATR,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Parque Fotovoltaico MATRISOL.ElmGenstat,Terminal MATRISOL,WXMATK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.0,0.0,0.8375763297080994,11,4.550000190734863,1.0,0.0,0.0,1.0,constq,0,4.550000190734863,0.0,1.0,-1.0,4.550000190734863,1.0,PQ,0,PQ,0.0
