loc_name,for_name,ruta,systp,frnom
138 kV XLPE 300 mm^2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Lines@Cables\138 kV XLPE 300 mm^2.TypCabsys,0,60.0
69 kV Cu Santiago Center,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Lines@Cables\69 kV Cu Santiago Center.TypCabsys,0,60.0
