loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,av_mode,plini,qlini,slini,coslini,scale0,mode_inp,phtech
SSAA Palamara Grupo 2,ZPAL2K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\SSAA Palamara Grupo 2.ElmLod,R2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R2.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.033180706202983856,constq,0.7300000190734863,0.3100000023841858,0.7930952310562134,0.9204443693161011,1.0,PQ,3PH-'D'
SSAA Palamara Grupo 1,ZPAL1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\SSAA Palamara Grupo 1.ElmLod,L3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L3.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.06636141240596771,constq,1.4600000381469727,0.6200000047683716,1.5861904621124268,0.9204443693161011,1.0,PQ,3PH-'D'
Demanda Multimodal Caucedo,ZZMCAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Multimodal Caucedo.ElmLod,69 kV ZF Multimodal Caucedo,WZMCAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Multimodal Caucedo.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.03106772154569626,constq,3.5399999618530273,1.1200000047683716,3.7129502296447754,0.9534197449684143,1.0,PQ,3PH-'D'
Demanda ZF Gildan,ZZGILF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda ZF Gildan.ElmLod,69 kV ZF Gildan,WZGILF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV ZF Gildan.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.04592358320951462,constq,5.159999847412109,1.8700000047683716,5.488396644592285,0.9401652812957764,1.0,PQ,3PH-'D'
Demanda 1 ZF Las Américas,ZZAMEF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda 1 ZF Las Américas.ElmLod,WZAMEF(5),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZZAMEF.ElmSubstat\WZAMEF(5).ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.0,constq,0.0,0.0,0.0,1.0,1.0,PQ,3PH-'D'
Demanda TORGINOL,ZTORGF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda TORGINOL.ElmLod,69 kV TORGINOL,WTORGF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV TORGINOL.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.014810525812208652,constq,1.7699999809265137,0.009999999776482582,1.7700282335281372,0.9999840259552002,1.0,PQ,3PH-'D'
Demanda Smurfit Kappa,ZSKAPF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Smurfit Kappa.ElmLod,69 kV Smurfit Kappa,WSKAPF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Smurfit Kappa.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.008734614588320255,constq,0.9599999785423279,0.4099999964237213,1.0438868999481201,0.9196398258209229,1.0,PQ,3PH-'D'
Demanda Parque Cibernético,ZPCIBF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Parque Cibernético.ElmLod,69 kV Parque Cibernético,WPCIBF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Parque Cibernético.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.01816495880484581,constq,1.5199999809265137,1.5499999523162842,2.170921564102173,0.7001634836196899,1.0,PQ,3PH-'D'
Demanda Molinos del Ozama,ZMOZAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda Molinos del Ozama.ElmLod,69 kV Molinos del Ozama,WMOZAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Molinos del Ozama.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.020629489794373512,constq,2.240000009536743,1.0299999713897705,2.465461492538452,0.9085519909858704,1.0,PQ,3PH-'D'
Demanda MERCASID,ZMERCF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Demanda MERCASID.ElmLod,69 kV MERCASID,WMERCF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV MERCASID.ElmTerm,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,,0.0,0.0,0.06286831945180893,constq,6.75,3.299999952316284,7.513487815856934,0.8983843922615051,1.0,PQ,3PH-'D'
