branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WBCARF__WBARCE__T1,WBCARF__WBARCE__T1,1,WBCARF,WBARCE,T1,transformer,0.0125,0.2396743,45.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,597
WBCHIE__WBCHIF__T1,WBCHIE__WBCHIF__T1,1,WBCHIE,WBCHIF,T1,transformer,0.00963281,0.125882,96.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,258
WBCHIE__WSIBBE__L1,WBCHIE__WSIBBE__L1,1,WBCHIE,WSIBBE,L1,line,7.072e-05,0.00044786,475.4167697631206,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,260
WBCHIE__WSPM2E__L1,WBCHIE__WSPM2E__L1,1,WBCHIE,WSPM2E,L1,line,0.00988847,0.05612561,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,259
WBCHIF__WXPCIF__L1,WBCHIF__WXPCIF__L1,1,WBCHIF,WXPCIF,L1,line,0.00808659,0.0293412,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,263
WBDERF__WBDERK__T1,WBDERF__WBDERK__T1,1,WBDERF,WBDERK,T1,transformer,0.125,1.99609,4.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,462
WBENEF__WHIGUF__L1,WBENEF__WHIGUF__L1,1,WBENEF,WHIGUF,L1,line,0.05808,0.08957,35.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,746
WBLECF__WXBLEF__L1,WBLECF__WXBLEF__L1,1,WBLECF,WXBLEF,L1,line,0.1332,0.1277,34.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,734
WBNVFF__WXAHGF__L1,WBNVFF__WXAHGF__L1,1,WBNVFF,WXAHGF,L1,line,0.0225,0.0825,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,116
WBON2E__WBON2F__T1,WBON2E__WBON2F__T1,1,WBON2E,WBON2F,T1,transformer,0.00274,0.07609354,138.0,1,1.1000000000000001,series_parameter_present,positive_thermal_limit,False,closure_fractional_or_unknown,tap_ratio_like,transformer,True,1.1000000000000001,transformer_with_tap_ratio,True,True,e_datred,334
WBON2E__WCANAE__L1,WBON2E__WCANAE__L1,1,WBON2E,WCANAE,L1,line,0.046,0.17,136.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,336
WBON2E__WCANAE__L2,WBON2E__WCANAE__L2,1,WBON2E,WCANAE,L2,line,0.046,0.17,136.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,337
WBON2F__WFALCF__L1,WBON2F__WFALCF__L1,1,WBON2F,WFALCF,L1,line,0.0082,0.0304,79.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,331
WBON2F__WPINAF__L1,WBON2F__WPINAF__L1,1,WBON2F,WPINAF,L1,line,0.0551,0.22476,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,333
