load_id_raw,resolved_bus_id,resolution_method,bus_candidate_count,bus_candidates,active_bus_candidates,metadata_bus_candidates,smc_row_count,smc_load_id_examples,load_name_examples,load_type_examples
ZTHAIF-D1,WTHAIF,unique_bus_in_demanda_smc,1,['WTHAIF'],['WTHAIF'],['WTHAIF'],2,"['1376-TEMHAF-T01', '1969-TEMHAF-T01']",['69 kV TEMPLASTISA HAINAMOSA'],['Declarado']
ZTIM2E-D1,WTIM2E,unique_bus_in_demanda_smc,1,['WTIM2E'],['WTIM2E'],['WTIM2E'],1,['1254-TIM2E-T01'],['TIMBEQUE 2'],['Declarado']
ZTIREF-D1,WTIREF,unique_bus_in_demanda_smc,1,['WTIREF'],['WTIREF'],['WTIREF'],1,['2505-TIREF-T01'],['TIREO'],['Declarado']
ZTORGF-D1,WTORGF,unique_bus_in_demanda_smc,1,['WTORGF'],['WTORGF'],['WTORGF'],2,"['1225-ECORK-C01', '1225-TORGF-T01']",['TORGINOL'],['Declarado']
ZTROQF-D1,WTROQF,unique_bus_in_demanda_smc,1,['WTROQF'],['WTROQF'],['WTROQF'],3,"['2246-LFABK-C01', '2246-TDOMF-F01', '2246-TDOMF-T01']",['TROQUEDOM'],['Proyectado']
ZTROQF-D2,WTROQF,unique_bus_in_demanda_smc,1,['WTROQF'],[],['WTROQF'],1,['2246-LFABK-F02'],['TROQUEDOM'],['Proyectado']
ZSABAK-D2,WTSABK,unique_bus_in_demanda_smc,1,['WTSABK'],['WTSABK'],['WTSABK'],1,['3260-SABAK-C01'],['TERMINAL SABANETA'],['Declarado']
ZTTITF-D1,WTTITF,unique_bus_in_demanda_smc,1,['WTTITF'],['WTTITF'],['WTTITF'],1,['1536-TTITF-T01'],['TEXTILES TITÁN'],['Proyectado']
ZZPISF-D1,WTZFPF,unique_bus_in_demanda_smc,1,['WTZFPF'],['WTZFPF'],['WTZFPF'],1,['2615-ZPISF-T01'],['TERMINAL ZONA FRANCA PISANO'],['Proyectado']
ZUASDE-D1,WUASDE,unique_bus_in_demanda_smc,1,['WUASDE'],['WUASDE'],['WUASDE'],2,"['1801-CCN2K-C01', '1801-UASDE-T01']",['UASD 138'],['Declarado']
ZUASDE-D2,WUASDE,unique_bus_in_demanda_smc,1,['WUASDE'],['WUASDE'],['WUASDE'],1,['1801-UASDE-T02'],['UASD 138'],['Declarado']
ZUASDE-D3,WUASDE,unique_bus_in_demanda_smc,1,['WUASDE'],['WUASDE'],['WUASDE'],1,['1801-UASDE-T03'],['UASD 138'],['Declarado']
ZUMEDF-D1,WUMEDF,unique_bus_in_demanda_smc,1,['WUMEDF'],['WUMEDF'],['WUMEDF'],1,['2359-UMEDF-T01'],['UNION MEDICA'],['Declarado']
ZVALDE-D2,WVALDE,unique_bus_in_demanda_smc,1,['WVALDE'],['WVALDE'],['WVALDE'],1,['3010-VALDK-C10'],['VALDESIA'],['Declarado']
ZVALLF-D1,WVALLF,unique_bus_in_demanda_smc,1,['WVALLF'],['WVALLF'],['WVALLF'],1,['3197-VALLF-T01'],['VALLEJUELO'],['Declarado']
ZVALTF-D1,WVALTF,unique_bus_in_demanda_smc,1,['WVALTF'],['WVALTF'],['WVALTF'],1,['1962-VALTF-T01'],['VILLA ALTAGRACIA'],['Declarado']
ZVDU1E-D1,WVDU1E,unique_bus_in_demanda_smc,1,['WVDU1E'],['WVDU1E'],['WVDU1E'],3,"['1550-IMESK-C03', '1550-IMESK-F02', '1550-VDUAE-T01']",['VILLA DUARTE 138 BARRA 1'],['Declarado']
ZVILLF-D1,WVILLF,unique_bus_in_demanda_smc,1,['WVILLF'],['WVILLF'],['WVILLF'],1,['3240-VILLF-T01'],['VILLARPANDO'],['Declarado']
ZVMAOE-D1,WVMAOE,unique_bus_in_demanda_smc,1,['WVMAOE'],['WVMAOE'],['WVMAOE'],2,"['2340MV38', '2670-VMAOE-T01']",['VALVERDE MAO'],['Declarado']
ZVMELE-D1,WVMELE,unique_bus_in_demanda_smc,1,['WVMELE'],['WVMELE'],['WVMELE'],4,"['1450-GRVMK-C03', '1450-GRVMK-F01', '1450-REINK-C05', '1450-VMELE-T01']",['VILLA MELLA'],"['Declarado', 'Proyectado']"
ZVMELE-D2,WVMELE,unique_bus_in_demanda_smc,1,['WVMELE'],['WVMELE'],['WVMELE'],2,"['1450-PPVEK-C01', '1450-VMELE-T02']",['VILLA MELLA'],"['Declarado', 'Proyectado']"
ZVMELE-D3,WVMELE,unique_bus_in_demanda_smc,1,['WVMELE'],['WVMELE'],['WVMELE'],1,['1450-VMELE-T03'],['VILLA MELLA'],['Declarado']
ZVNOBF-D1,WVNOBF,unique_bus_in_demanda_smc,1,['WVNOBF'],['WVNOBF'],['WVNOBF'],1,['3290-VNOBF-T01'],['VICENTE NOBLE'],['Declarado']
ZVOLGF-D1,WVOLGF,unique_bus_in_demanda_smc,1,['WVOLGF'],['WVOLGF'],['WVOLGF'],2,"['2301-VOLGF-F01', '2301-VOLGF-T01']",['VILLA OLGA'],['Declarado']
ZXADOF-D1,WXADOF,unique_bus_in_demanda_smc,1,['WXADOF'],['WXADOF'],['WXADOF'],1,['3094-ALDOF-T01'],['TAP ALAMBRRES DOMINICANOS'],['Declarado']
ZXCARF-D1,WXCARF,unique_bus_in_demanda_smc,1,['WXCARF'],['WXCARF'],['WXCARF'],1,['1155-CARRF-T01'],['TAP CARREFOUR'],['Declarado']
ZXCB2F-D1,WXCB2F,unique_bus_in_demanda_smc,1,['WXCB2F'],['WXCB2F'],['WXCB2F'],1,['1306-CAA2F-T01'],['TAP CAASD BAYONA 2'],['Declarado']
ZXCBAF-D1,WXCBAF,unique_bus_in_demanda_smc,1,['WXCBAF'],['WXCBAF'],['WXCBAF'],1,['1305-CAA1F-T01'],['TAP CAASD BAYONA 1'],['Declarado']
ZXCIGF-D1,WXCIGF,unique_bus_in_demanda_smc,1,['WXCIGF'],['WXCIGF'],['WXCIGF'],1,['4011-CIGLF-T01'],['TAP CÉSAR IGLESIAS'],['Declarado']
ZXCODF-D1,WXCODF,unique_bus_in_demanda_smc,1,['WXCODF'],['WXCODF'],['WXCODF'],1,['1121-CODEF-T01'],['TAP CODETEL'],['Declarado']
ZXDBRF-D1,WXDBRF,unique_bus_in_demanda_smc,1,['WXDBRF'],['WXDBRF'],['WXDBRF'],1,['4012-DBRUF-T01'],['TAP DESTILERÍA BRUGAL'],['Proyectado']
ZXGRMF-D1,WXGRMF,unique_bus_in_demanda_smc,1,['WXGRMF'],['WXGRMF'],['WXGRMF'],1,['1327-GRMEF-T01'],['GRUPO RAMOS MELLA'],['Declarado']
ZHHIGF-D1,WXHHIF,unique_bus_in_demanda_smc,1,['WXHHIF'],['WXHHIF'],['WXHHIF'],1,['4013-HHIGF-T01'],['TAP HARINAS DEL HIGUAMO'],['Declarado']
ZXINDF-D1,WXINDF,unique_bus_in_demanda_smc,1,['WXINDF'],['WXINDF'],['WXINDF'],1,['2892-INDUF-T01'],['TAP INDUVECA'],['Declarado']
ZXLFAF-D1,WXLFAF,unique_bus_in_demanda_smc,1,['WXLFAF'],['WXLFAF'],['WXLFAF'],1,['3101-LFAMF-T03'],['TAP LA FAMOSA'],['Declarado']
ZXNADF-D1,WXNDIF,unique_bus_in_demanda_smc,1,['WXNDIF'],[],[],1,['2351NAVA'],['TAP NAVARRETE DISTRIBUCIÓN'],['Declarado']
ZXSADF-D1,WXSADF,unique_bus_in_demanda_smc,1,['WXSADF'],[],[],1,['3092-SADOF-T01'],['TAP INTERQUIMICA VIRTUAL'],['Declarado']
ZXZNIF-D1,WXZFNF,unique_bus_in_demanda_smc,1,['WXZFNF'],['WXZFNF'],['WXZFNF'],1,['3095-ZNIGF-T01'],['TAP ZF NIGUA'],['Declarado']
ZYAGUF-D1,WYAGUF,unique_bus_in_demanda_smc,1,['WYAGUF'],['WYAGUF'],['WYAGUF'],1,['3288-YAGUF-T01'],['YAGUATE'],['Declarado']
ZYAMAF-D1,WYAMAF,unique_bus_in_demanda_smc,1,['WYAMAF'],['WYAMAF'],['WYAMAF'],1,['1312-YAMAF-T01'],['YAMASA'],['Declarado']
ZZALCF-D1,WZFALF,unique_bus_in_demanda_smc,1,['WZFALF'],['WZFALF'],['WZFALF'],1,['1302-ZALCF-T01'],['ZONA FRANCA LOS ALCARRIZOS'],['Declarado']
ZZALCF-D2,WZFALF,unique_bus_in_demanda_smc,1,['WZFALF'],[],['WZFALF'],1,['1302ZFAL02'],['ZONA FRANCA LOS ALCARRIZOS'],['Declarado']
ZZAMEF-D1,WZFAMF,unique_bus_in_demanda_smc,1,['WZFAMF'],[],['WZFAMF'],1,['1332-HRQUK-F01'],['ZONA FRANCA LAS AMÉRICAS'],['Declarado']
ZZAMEF-D2,WZFAMF,unique_bus_in_demanda_smc,1,['WZFAMF'],['WZFAMF'],['WZFAMF'],2,"['1332-ZAMEF-F02', '1332-ZAMEF-T01']",['ZONA FRANCA LAS AMÉRICAS'],['Declarado']
ZZBARF-D1,WZFBAF,unique_bus_in_demanda_smc,1,['WZFBAF'],['WZFBAF'],['WZFBAF'],1,['3361-ZBARF-T01'],['ZONA FRANCA BARAHONA'],['Declarado']
ZZDRIF-D1,WZFDRF,unique_bus_in_demanda_smc,1,['WZFDRF'],['WZFDRF'],['WZFDRF'],2,"['2122-ZDRIF-T01', '2122DRIO']",['ZONA FRANCA DOS RÍOS'],['Proyectado']
ZZESPF-D1,WZFESF,unique_bus_in_demanda_smc,1,['WZFESF'],['WZFESF'],['WZFESF'],1,['2880-ZESPF-T01'],['ZONA FRANCA ESPERANZA'],['Proyectado']
ZZGILF-D1,WZFGIF,unique_bus_in_demanda_smc,1,['WZFGIF'],['WZFGIF'],['WZFGIF'],1,['1322-ZGILF-T01'],['ZONA FRANCA GILDAN'],['Proyectado']
ZZGURF-D1,WZFGUF,unique_bus_in_demanda_smc,1,['WZFGUF'],['WZFGUF'],['WZFGUF'],1,['2432-ZGURF-T01'],['ZONA FRANCA GURABO'],['Proyectado']
ZZISAF-D1,WZFISF,unique_bus_in_demanda_smc,1,['WZFISF'],[],[],1,['2731-ZISAF-T01'],['ZF INDUSTRIAL SANTIAGO'],['Proyectado']
ZZLICF-D1,WZFLIF,unique_bus_in_demanda_smc,1,['WZFLIF'],['WZFLIF'],['WZFLIF'],1,['2304-ZLICF-T01'],['ZONA FRANCA LICEY 69'],['Declarado']
ZZMCAF-D1,WZFMCF,unique_bus_in_demanda_smc,1,['WZFMCF'],['WZFMCF'],['WZFMCF'],1,['1715-ZMCAF-T01'],['ZONA FRANCA MULTINODAL CAUCEDO'],['Proyectado']
ZZPPLF-D1,WZFPPF,unique_bus_in_demanda_smc,1,['WZFPPF'],['WZFPPF'],['WZFPPF'],1,['2520-ZPPLF-T01'],['ZONA FRANCA PUERTO PLATA'],['Proyectado']
ZZROMF-D1,WZFR2F,unique_bus_in_demanda_smc,1,['WZFR2F'],[],[],1,['4180ZFRN'],['ZONA FRANCA LA ROMANA 2'],['Proyectado']
ZZSPCF-D1,WZFS2F,unique_bus_in_demanda_smc,1,['WZFS2F'],['WZFS2F'],['WZFS2F'],1,['4150-ZSPCF-T01'],['ZONA FRANCA SAN PEDRO 2 69'],['Declarado']
ZZSA1E-D1,WZFSAE,unique_bus_in_demanda_smc,1,['WZFSAE'],['WZFSAE'],['WZFSAE'],4,"['2740-HGLCK-C01', '2740-ZISAK-C07', '2740-ZISAK-F01', '2740-ZSANE-T01']",['ZONA FRANCA SANTIAGO 138'],['Declarado']
ZZSA1E-D2,WZFSAE,unique_bus_in_demanda_smc,1,['WZFSAE'],['WZFSAE'],['WZFSAE'],1,['2740-ZSANE-T02'],['ZONA FRANCA SANTIAGO 138'],['Declarado']
ZZSFRF-D1,WZFSFF,unique_bus_in_demanda_smc,1,['WZFSFF'],[],[],1,['2081ZFSF'],['ZONA FRANCA SAN FRANCISCO'],['Declarado']
ZZSISF-D2,WZFSIF,unique_bus_in_demanda_smc,1,['WZFSIF'],[],['WZFSIF'],1,['1790-ZSISF-F01'],['ZONA FRANCA SAN ISIDRO 69'],['Declarado']
ZZSISF-D1,WZFSIF,unique_bus_in_demanda_smc,1,['WZFSIF'],['WZFSIF'],['WZFSIF'],3,"['1790-ZSISF-T01', '1790-ZSISK-C02', '1790-ZSISK-F02']",['ZONA FRANCA SAN ISIDRO 69'],"['Declarado', 'Proyectado']"
ZZSPAF-D1,WZFSPF,unique_bus_in_demanda_smc,1,['WZFSPF'],['WZFSPF'],['WZFSPF'],4,"['4140-CPETK-C01', '4140-UCESK-C01', '4140-UCESK-F03', '4140-ZSPAF-T01']",['ZONA FRANCA SAN PEDRO 69'],['Declarado']
ZZVALF-D1,WZFVAF,unique_bus_in_demanda_smc,1,['WZFVAF'],['WZFVAF'],['WZFVAF'],1,['1963-ZVALF-T01'],['ZONA FRANCA VILLA ALTAGRACIA'],['Declarado']
ZZLVEF-D1,WZFVEF,unique_bus_in_demanda_smc,1,['WZFVEF'],['WZFVEF'],['WZFVEF'],3,"['2890-ZIVEK-C01', '2890-ZLVEF-F01', '2890-ZLVEF-T01']",['ZONA FRANCA LA VEGA 69'],"['Declarado', 'Proyectado']"
ZZLVEF-D2,WZFVEF,unique_bus_in_demanda_smc,1,['WZFVEF'],[],['WZFVEF'],1,['2890-ZIVEK-F01'],['ZONA FRANCA LA VEGA 69'],['Proyectado']
ZHAINF-D1,WZHAIF,unique_bus_in_demanda_smc,1,['WZHAIF'],['WZHAIF'],['WZHAIF'],1,['1790-ZFHAF-T01'],['69 kV ZF HAINAMOSA'],['Declarado']
