reservoir_id,snapshot_id,value_hm3
E_RBLAN1,h_01,0.0
E_RBLAN1,h_02,0.0
E_RBLAN1,h_03,0.0
E_RBLAN1,h_04,0.0
E_RBLAN1,h_05,0.0
E_RBLAN1,h_06,0.0
E_RBLAN1,h_07,0.0
E_RBLAN1,h_08,0.0
E_RBLAN1,h_09,0.0
E_RBLAN1,h_10,0.0
E_RBLAN1,h_11,0.0
E_RBLAN1,h_12,0.0
E_RBLAN1,h_13,0.0
E_RBLAN1,h_14,0.0
E_RBLAN1,h_15,0.0
E_RBLAN1,h_16,0.0
E_RBLAN1,h_17,0.0
E_RBLAN1,h_18,0.0
E_RBLAN1,h_19,0.0
E_RBLAN1,h_20,0.0
E_RBLAN1,h_21,0.0
E_RBLAN1,h_22,0.0
E_RBLAN1,h_23,0.0
E_RBLAN1,h_24,0.0
E_RBLAN2,h_01,0.0
E_RBLAN2,h_02,0.0
E_RBLAN2,h_03,0.0
E_RBLAN2,h_04,0.0
E_RBLAN2,h_05,0.0
E_RBLAN2,h_06,0.0
E_RBLAN2,h_07,0.0
E_RBLAN2,h_08,0.0
E_RBLAN2,h_09,0.0
E_RBLAN2,h_10,0.0
E_RBLAN2,h_11,0.0
E_RBLAN2,h_12,0.0
E_RBLAN2,h_13,0.0
E_RBLAN2,h_14,0.0
E_RBLAN2,h_15,0.0
E_RBLAN2,h_16,0.0
E_RBLAN2,h_17,0.0
E_RBLAN2,h_18,0.0
E_RBLAN2,h_19,0.0
E_RBLAN2,h_20,0.0
E_RBLAN2,h_21,0.0
E_RBLAN2,h_22,0.0
E_RBLAN2,h_23,0.0
E_RBLAN2,h_24,0.0
E_MONCI1,h_01,0.0
E_MONCI1,h_02,0.0
E_MONCI1,h_03,0.0
E_MONCI1,h_04,0.0
E_MONCI1,h_05,0.0
E_MONCI1,h_06,0.0
E_MONCI1,h_07,0.0
E_MONCI1,h_08,0.0
E_MONCI1,h_09,0.0
E_MONCI1,h_10,0.0
E_MONCI1,h_11,0.0
E_MONCI1,h_12,0.0
E_MONCI1,h_13,0.0
E_MONCI1,h_14,0.0
E_MONCI1,h_15,0.0
E_MONCI1,h_16,0.0
E_MONCI1,h_17,0.0
E_MONCI1,h_18,0.0
E_MONCI1,h_19,0.0
E_MONCI1,h_20,0.0
E_MONCI1,h_21,0.0
E_MONCI1,h_22,0.0
E_MONCI1,h_23,0.0
E_MONCI1,h_24,0.0
E_MONCI2,h_01,0.0
E_MONCI2,h_02,0.0
E_MONCI2,h_03,0.0
E_MONCI2,h_04,0.0
E_MONCI2,h_05,0.0
E_MONCI2,h_06,0.0
E_MONCI2,h_07,0.0
E_MONCI2,h_08,0.0
E_MONCI2,h_09,0.0
E_MONCI2,h_10,0.0
E_MONCI2,h_11,0.0
E_MONCI2,h_12,0.0
E_MONCI2,h_13,0.0
E_MONCI2,h_14,0.0
E_MONCI2,h_15,0.0
E_MONCI2,h_16,0.0
E_MONCI2,h_17,0.0
E_MONCI2,h_18,0.0
E_MONCI2,h_19,0.0
E_MONCI2,h_20,0.0
E_MONCI2,h_21,0.0
E_MONCI2,h_22,0.0
E_MONCI2,h_23,0.0
E_MONCI2,h_24,0.0
E_LANGOS,h_01,0.0
E_LANGOS,h_02,0.0
E_LANGOS,h_03,0.0
E_LANGOS,h_04,0.0
E_LANGOS,h_05,0.0
E_LANGOS,h_06,0.0
E_LANGOS,h_07,0.0
E_LANGOS,h_08,0.0
E_LANGOS,h_09,0.0
E_LANGOS,h_10,0.0
E_LANGOS,h_11,0.0
E_LANGOS,h_12,0.0
E_LANGOS,h_13,0.0
E_LANGOS,h_14,0.0
E_LANGOS,h_15,0.0
E_LANGOS,h_16,0.0
E_LANGOS,h_17,0.0
E_LANGOS,h_18,0.0
E_LANGOS,h_19,0.0
E_LANGOS,h_20,0.0
E_LANGOS,h_21,0.0
E_LANGOS,h_22,0.0
E_LANGOS,h_23,0.0
E_LANGOS,h_24,0.0
E_PINAL1,h_01,0.0
E_PINAL1,h_02,0.0
E_PINAL1,h_03,0.0
E_PINAL1,h_04,0.0
E_PINAL1,h_05,0.0
E_PINAL1,h_06,0.0
E_PINAL1,h_07,0.0
E_PINAL1,h_08,0.0
E_PINAL1,h_09,0.0
E_PINAL1,h_10,0.0
E_PINAL1,h_11,0.0
E_PINAL1,h_12,0.0
E_PINAL1,h_13,0.0
E_PINAL1,h_14,0.0
E_PINAL1,h_15,0.0
E_PINAL1,h_16,0.0
E_PINAL1,h_17,0.0
E_PINAL1,h_18,0.0
E_PINAL1,h_19,0.0
E_PINAL1,h_20,0.0
E_PINAL1,h_21,0.0
E_PINAL1,h_22,0.0
E_PINAL1,h_23,0.0
E_PINAL1,h_24,0.0
E_PINAL2,h_01,0.0
E_PINAL2,h_02,0.0
E_PINAL2,h_03,0.0
E_PINAL2,h_04,0.0
E_PINAL2,h_05,0.0
E_PINAL2,h_06,0.0
E_PINAL2,h_07,0.0
E_PINAL2,h_08,0.0
E_PINAL2,h_09,0.0
E_PINAL2,h_10,0.0
E_PINAL2,h_11,0.0
E_PINAL2,h_12,0.0
E_PINAL2,h_13,0.0
E_PINAL2,h_14,0.0
E_PINAL2,h_15,0.0
E_PINAL2,h_16,0.0
E_PINAL2,h_17,0.0
E_PINAL2,h_18,0.0
E_PINAL2,h_19,0.0
E_PINAL2,h_20,0.0
E_PINAL2,h_21,0.0
E_PINAL2,h_22,0.0
E_PINAL2,h_23,0.0
E_PINAL2,h_24,0.0
E_PALOM1,h_01,0.0
E_PALOM1,h_02,0.0
E_PALOM1,h_03,0.0
E_PALOM1,h_04,0.0
E_PALOM1,h_05,0.0
E_PALOM1,h_06,0.0
E_PALOM1,h_07,0.0
E_PALOM1,h_08,0.0
E_PALOM1,h_09,0.0
E_PALOM1,h_10,0.0
E_PALOM1,h_11,0.0
E_PALOM1,h_12,0.0
E_PALOM1,h_13,0.0
E_PALOM1,h_14,0.0
E_PALOM1,h_15,0.0
E_PALOM1,h_16,0.0
E_PALOM1,h_17,0.0
E_PALOM1,h_18,0.0
E_PALOM1,h_19,0.0
E_PALOM1,h_20,0.0
E_PALOM1,h_21,0.0
E_PALOM1,h_22,0.0
E_PALOM1,h_23,0.0
E_PALOM1,h_24,0.0
E_PALOM2,h_01,0.0
E_PALOM2,h_02,0.0
E_PALOM2,h_03,0.0
E_PALOM2,h_04,0.0
E_PALOM2,h_05,0.0
E_PALOM2,h_06,0.0
E_PALOM2,h_07,0.0
E_PALOM2,h_08,0.0
E_PALOM2,h_09,0.0
E_PALOM2,h_10,0.0
E_PALOM2,h_11,0.0
E_PALOM2,h_12,0.0
E_PALOM2,h_13,0.0
E_PALOM2,h_14,0.0
E_PALOM2,h_15,0.0
E_PALOM2,h_16,0.0
E_PALOM2,h_17,0.0
E_PALOM2,h_18,0.0
E_PALOM2,h_19,0.0
E_PALOM2,h_20,0.0
E_PALOM2,h_21,0.0
E_PALOM2,h_22,0.0
E_PALOM2,h_23,0.0
E_PALOM2,h_24,0.0
