name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,tap_ratio_hint,has_tap_ratio_hint,tap_side_hint,source_branch_id,source_branch_type,source_row_number,notes
WPAK0E__WX1PAK__T1,WPAK0E,WX1PAK,138.0,,missing_bus_v_nom,0.002942,0.1017575,300.0,,False,,WPAK0E__WX1PAK__T1,transformer,686,standard_branch
WPAK2E__WXPA1K__T1,WPAK2E,WXPA1K,138.0,,missing_bus_v_nom,0.004,0.139785,125.0,,False,,WPAK2E__WXPA1K__T1,transformer,682,standard_branch
WPAK5E__WXPA4K__T1,WPAK5E,WXPA4K,138.0,,missing_bus_v_nom,0.00625,0.187396,80.0,,False,,WPAK5E__WXPA4K__T1,transformer,690,standard_branch
WPAK6E__WXPA3K__T1,WPAK6E,WXPA3K,138.0,,missing_bus_v_nom,0.0032,0.16997,100.0,,False,,WPAK6E__WXPA3K__T1,transformer,687,standard_branch
WPAL1E__WPALAF__T2,WPAL1E,WPALAF,138.0,69.0,different_voltage_ok,0.0025,0.07833512,170.0,,False,,WPAL1E__WPALAF__T2,transformer,209,standard_branch
WPAL1E__WPALBF__T1,WPAL1E,WPALBF,138.0,69.0,different_voltage_ok,0.00140408,0.06641373,140.0,,False,,WPAL1E__WPALBF__T1,transformer,207,standard_branch
WPAQ1K__WPALBE__T1,WPAQ1K,WPALBE,4.2,138.0,different_voltage_ok,0.008335,0.22768,60.0,,False,,WPAQ1K__WPALBE__T1,transformer,816,standard_branch
WPAYBE__WXPY1K__T1,WPAYBE,WXPY1K,138.0,,missing_bus_v_nom,0.006864,0.192801,65.0,,False,,WPAYBE__WXPY1K__T1,transformer,518,standard_branch
WPCA1K__WCTP1D__T1,WPCA1K,WCTP1D,,345.0,missing_bus_v_nom,0.00117647,0.03762867,425.0,,False,,WPCA1K__WCTP1D__T1,transformer,819,standard_branch
WPCA2K__WCTP2D__T1,WPCA2K,WCTP2D,,345.0,missing_bus_v_nom,0.00117647,0.03762867,425.0,,False,,WPCA2K__WCTP2D__T1,transformer,820,standard_branch
WPDISF__WTANOK__T1,WPDISF,WTANOK,69.0,,missing_bus_v_nom,0.0,0.781,14.0,,False,,WPDISF__WTANOK__T1,transformer,636,standard_branch
WPERAE__WPES1K__T1,WPERAE,WPES1K,138.0,,missing_bus_v_nom,0.005556,0.134441,90.0,,False,,WPERAE__WPES1K__T1,transformer,664,standard_branch
WPERBE__WPES2K__T1,WPERBE,WPES2K,138.0,,missing_bus_v_nom,0.005556,0.134441,90.0,,False,,WPERBE__WPES2K__T1,transformer,665,standard_branch
WPIMEE__WTPG1K__T1,WPIMEE,WTPG1K,138.0,,missing_bus_v_nom,0.00833333,0.2401054,60.0,,False,,WPIMEE__WTPG1K__T1,transformer,494,standard_branch
WPIMEE__WTPG2K__T1,WPIMEE,WTPG2K,138.0,,missing_bus_v_nom,0.00690918,0.2109976,75.0,,False,,WPIMEE__WTPG2K__T1,transformer,495,standard_branch
WPIMEE__WTPG3K__T1,WPIMEE,WTPG3K,138.0,,missing_bus_v_nom,0.0040901,0.157864,100.0,,False,,WPIMEE__WTPG3K__T1,transformer,496,standard_branch
WPIMEE__WXPI4K__T1,WPIMEE,WXPI4K,138.0,,missing_bus_v_nom,0.001444,0.156993,100.0,,False,,WPIMEE__WXPI4K__T1,transformer,497,standard_branch
WPINAF__WTPI1K__T1,WPINAF,WTPI1K,69.0,,missing_bus_v_nom,0.01758438,0.3315393,30.12,,False,,WPINAF__WTPI1K__T1,transformer,421,standard_branch
WPINAF__WTPI2K__T1,WPINAF,WTPI2K,69.0,,missing_bus_v_nom,0.01758438,0.3315393,30.12,,False,,WPINAF__WTPI2K__T1,transformer,422,standard_branch
WPIZBF__WPIZAE__T2,WPIZBF,WPIZAE,69.0,138.0,different_voltage_ok,0.004,0.099119,125.0,,False,,WPIZBF__WPIZAE__T2,transformer,628,standard_branch
WPLM1K__WPLM1E__T1,WPLM1K,WPLM1E,13.8,138.0,different_voltage_ok,0.01041,0.27007,48.0,,False,,WPLM1K__WPLM1E__T1,transformer,671,standard_branch
WPLM2K__WPLM1E__T1,WPLM2K,WPLM1E,13.8,138.0,different_voltage_ok,0.01041667,0.27007,48.0,,False,,WPLM2K__WPLM1E__T1,transformer,670,standard_branch
WPP22E__WPPL2F__T1,WPP22E,WPPL2F,138.0,69.0,different_voltage_ok,0.00098,0.08578,140.0,1.03,True,,WPP22E__WPPL2F__T1,transformer,501,transformer_with_tap_ratio
WPPLAF__WTCE1K__T1,WPPLAF,WTCE1K,69.0,,missing_bus_v_nom,0.0145,0.4870569,22.0,,False,,WPPLAF__WTCE1K__T1,transformer,407,standard_branch
WQU11D__WQU12K__T1,WQU11D,WQU12K,230.0,13.8,different_voltage_ok,0.001394,0.062931,286.0,,False,,WQU11D__WQU12K__T1,transformer,787,standard_branch
WQU21D__WQU21K__T1,WQU21D,WQU21K,230.0,,missing_bus_v_nom,0.001394,0.062931,286.0,,False,,WQU21D__WQU21K__T1,transformer,786,standard_branch
WRBLAF__WRBL1K__T1,WRBLAF,WRBL1K,69.0,,missing_bus_v_nom,0.07090133,0.6628857,15.0,,False,,WRBLAF__WRBL1K__T1,transformer,471,standard_branch
