name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,tap_ratio_hint,has_tap_ratio_hint,tap_side_hint,source_branch_id,source_branch_type,source_row_number,notes
WCOTAE__WCSO1K__T1,WCOTAE,WCSO1K,138.0,,missing_bus_v_nom,0.0,0.156,65.0,,False,,WCOTAE__WCSO1K__T1,transformer,755,standard_branch
WCOTAE__WCSO2K__T1,WCOTAE,WCSO2K,138.0,,missing_bus_v_nom,0.0,0.156,65.0,,False,,WCOTAE__WCSO2K__T1,transformer,756,standard_branch
WCOTBE__WCSO3K__T1,WCOTBE,WCSO3K,138.0,,missing_bus_v_nom,0.0,0.156,65.0,,False,,WCOTBE__WCSO3K__T1,transformer,758,standard_branch
WCUMAE__WXCU1K__T1,WCUMAE,WXCU1K,138.0,,missing_bus_v_nom,0.00592,0.19222,65.0,,False,,WCUMAE__WXCU1K__T1,transformer,707,standard_branch
WCUMBE__WXCU2K__T1,WCUMBE,WXCU2K,138.0,,missing_bus_v_nom,0.00592,0.19222,65.0,,False,,WCUMBE__WXCU2K__T1,transformer,708,standard_branch
WDJAOE__WDJAOF__T1,WDJAOE,WDJAOF,138.0,69.0,different_voltage_ok,0.00333333,0.07866274,150.0,,False,,WDJAOE__WDJAOF__T1,transformer,62,standard_branch
WDRODK__WDRODF__T1,WDRODK,WDRODF,12.5,69.0,different_voltage_ok,0.1,1.997498,5.0,,False,,WDRODK__WDRODF__T1,transformer,617,standard_branch
WDRODM__WDRODK__T1,WDRODM,WDRODK,4.16,12.5,different_voltage_ok,0.00829,0.8285699,7.0,,False,,WDRODM__WDRODK__T1,transformer,616,standard_branch
WEMA2E__WEM21K__T1,WEMA2E,WEM21K,138.0,,missing_bus_v_nom,0.00333333,0.09480809,150.0,,False,,WEMA2E__WEM21K__T1,transformer,125,standard_branch
WENE4E__WXEV4K__T1,WENE4E,WXEV4K,138.0,,missing_bus_v_nom,0.00178960959,0.07358905805602263,165.0,,False,,WENE4E__WXEV4K__T1,transformer,769,standard_branch
WESM3K__WESM3F__T1,WESM3K,WESM3F,,69.0,missing_bus_v_nom,0.0055187162670979,0.0910900000491846,191.0,,False,,WESM3K__WESM3F__T1,transformer,127,standard_branch
WESOCE__WPSESK__T1,WESOCE,WPSESK,138.0,,missing_bus_v_nom,0.00625,0.1585431,80.0,,False,,WESOCE__WPSESK__T1,transformer,772,standard_branch
WESP1E__WXPS1K__T1,WESP1E,WXPS1K,138.0,,missing_bus_v_nom,0.00666667,0.141443,75.0,,False,,WESP1E__WXPS1K__T1,transformer,832,standard_branch
WFALCE__WFALCK__T1,WFALCE,WFALCK,138.0,34.5,different_voltage_ok,0.00376505,0.1226422,133.0,,False,,WFALCE__WFALCK__T1,transformer,360,standard_branch
WFALCF__WFALCK__T1,WFALCF,WFALCK,69.0,34.5,different_voltage_ok,0.01687458,0.4969574,80.0,,False,,WFALCF__WFALCK__T1,transformer,361,standard_branch
WFALCK__WFALCM__T1,WFALCK,WFALCM,34.5,,missing_bus_v_nom,0.00694444,0.04389856,172.8,,False,,WFALCK__WFALCM__T1,transformer,362,standard_branch
WGIRAK__WGIRAE__T1,WGIRAK,WGIRAE,,138.0,missing_bus_v_nom,0.01333334,0.282886,150.0,,False,,WGIRAK__WGIRAE__T1,transformer,644,standard_branch
WGNLLE__WGNLLK__T1,WGNLLE,WGNLLK,138.0,,missing_bus_v_nom,0.00793651,0.1815727,63.0,,False,,WGNLLE__WGNLLK__T1,transformer,829,standard_branch
WGPALF__WTPA1K__T1,WGPALF,WTPA1K,69.0,,missing_bus_v_nom,0.002975207,0.061503833,150.0,,False,,WGPALF__WTPA1K__T1,transformer,109,standard_branch
WGUAYE__WPFMSK__T1,WGUAYE,WPFMSK,138.0,20.0,different_voltage_ok,0.01,0.179722,50.0,,False,,WGUAYE__WPFMSK__T1,transformer,403,standard_branch
WGUERD__WGUERE__T1,WGUERD,WGUERE,345.0,138.0,different_voltage_ok,5.866e-05,0.02999994,450.0,,False,,WGUERD__WGUERE__T1,transformer,804,standard_branch
WGUERD__WGUERE__T2,WGUERD,WGUERE,345.0,138.0,different_voltage_ok,5.866e-05,0.02999994,450.0,,False,,WGUERD__WGUERE__T2,transformer,805,standard_branch
WHAINE__WHAINF__T1,WHAINE,WHAINF,138.0,69.0,different_voltage_ok,0.00098,0.1057097,126.0,,False,,WHAINE__WHAINF__T1,transformer,227,standard_branch
WHAINE__WTHAGK__T1,WHAINE,WTHAGK,138.0,,missing_bus_v_nom,0.0013,0.05330002,150.0,,False,,WHAINE__WTHAGK__T1,transformer,228,standard_branch
WHATIF__WHAT2K__T1,WHATIF,WHAT2K,69.0,,missing_bus_v_nom,0.07959183,1.208095,14.0,,False,,WHATIF__WHAT2K__T1,transformer,448,standard_branch
WHATIF__WHATIK__T1,WHATIF,WHATIK,69.0,,missing_bus_v_nom,0.03920954,0.7711796,10.7,,False,,WHATIF__WHATIK__T1,transformer,447,standard_branch
WHERRE__WHENUF__T1,WHERRE,WHENUF,138.0,69.0,different_voltage_ok,0.00255,0.1556934,70.0,1.1,True,,WHERRE__WHENUF__T1,transformer,202,transformer_with_tap_ratio
WHMA2E__WHMA2F__T1,WHMA2E,WHMA2F,138.0,69.0,different_voltage_ok,0.00625,0.1248436,80.0,,False,,WHMA2E__WHMA2F__T1,transformer,774,standard_branch
WHNS1E__WHNS1F__T1,WHNS1E,WHNS1F,138.0,69.0,different_voltage_ok,0.00098,0.087209,150.0,,False,,WHNS1E__WHNS1F__T1,transformer,59,standard_branch
WINCAF__WINCAK__T1,WINCAF,WINCAK,69.0,12.5,different_voltage_ok,0.01785714,0.2851557,28.0,,False,,WINCAF__WINCAK__T1,transformer,278,standard_branch
WITA1E__WTIT1K__T1,WITA1E,WTIT1K,138.0,,missing_bus_v_nom,0.0037,0.07744499,150.0,,False,,WITA1E__WTIT1K__T1,transformer,205,standard_branch
WITA1E__WTIT2K__T1,WITA1E,WTIT2K,138.0,,missing_bus_v_nom,0.00434541,0.08193229,156.0,,False,,WITA1E__WTIT2K__T1,transformer,206,standard_branch
