name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,source_branch_id,source_branch_type,source_row_number,notes
WXCABF__WXHNUF__L1,WXCABF,WXHNUF,69.0,69.0,same_voltage_ok,0.002815,0.010303,79.0,WXCABF__WXHNUF__L1,line,159,standard_branch
WXCANF__WXHMSF__L1,WXCANF,WXHMSF,69.0,69.0,same_voltage_ok,0.00669,0.02487,43.0,WXCANF__WXHMSF__L1,line,371,standard_branch
WXCARF__WAHOBF__L1,WXCARF,WAHOBF,69.0,69.0,same_voltage_ok,0.01176,0.04375,71.7069,WXCARF__WAHOBF__L1,line,40,standard_branch
WXCATF__WBCHIF__L1,WXCATF,WBCHIF,69.0,69.0,same_voltage_ok,0.013464,0.049276,79.0,WXCATF__WBCHIF__L1,line,149,standard_branch
WXCB2F__WXCBAF__L1,WXCB2F,WXCBAF,69.0,69.0,same_voltage_ok,2.45e-06,9.08e-06,79.0,WXCB2F__WXCBAF__L1,line,144,standard_branch
WXCC1E__WXCC3E__L1,WXCC1E,WXCC3E,138.0,138.0,same_voltage_ok,6.9e-05,0.000249,158.0,WXCC1E__WXCC3E__L1,line,612,standard_branch
WXCC3E__WCC21E__L1,WXCC3E,WCC21E,138.0,138.0,same_voltage_ok,0.0,0.0001,158.0,WXCC3E__WCC21E__L1,line,613,standard_branch
WXCC3E__WSLCOE__L1,WXCC3E,WSLCOE,138.0,138.0,same_voltage_ok,0.033901,0.138295,158.0,WXCC3E__WSLCOE__L1,line,614,standard_branch
WXCCOF__WADMIF__L1,WXCCOF,WADMIF,69.0,69.0,same_voltage_ok,0.012387,0.045334,79.0,WXCCOF__WADMIF__L1,line,541,standard_branch
WXCDAF__WCDAGF__L1,WXCDAF,WCDAGF,69.0,69.0,same_voltage_ok,0.00356661,0.00587737,45.0,WXCDAF__WCDAGF__L1,line,285,standard_branch
WXCDAF__WXPCGF__L1,WXCDAF,WXPCGF,69.0,69.0,same_voltage_ok,0.01014416,0.01671644,45.0,WXCDAF__WXPCGF__L1,line,286,standard_branch
WXCDLF__WCODAF__L1,WXCDLF,WCODAF,69.0,69.0,same_voltage_ok,0.00129,0.00199,45.0,WXCDLF__WCODAF__L1,line,311,standard_branch
WXCDLF__WPIMEF__L1,WXCDLF,WPIMEF,69.0,69.0,same_voltage_ok,0.03904,0.14475,79.0,WXCDLF__WPIMEF__L1,line,312,standard_branch
WXCENF__WCENOF__L1,WXCENF,WCENOF,69.0,69.0,same_voltage_ok,0.00994,0.01533,45.0,WXCENF__WCENOF__L1,line,306,standard_branch
WXCENF__WSFMAF__L1,WXCENF,WSFMAF,69.0,69.0,same_voltage_ok,0.0349902,0.11345196,67.80216,WXCENF__WSFMAF__L1,line,307,standard_branch
WXCHAF__WBENEF__L1,WXCHAF,WBENEF,69.0,69.0,same_voltage_ok,0.00129,0.00199,37.0,WXCHAF__WBENEF__L1,line,745,standard_branch
WXCHAF__WRCHAF__L1,WXCHAF,WRCHAF,69.0,69.0,same_voltage_ok,0.0484,0.07464,35.0,WXCHAF__WRCHAF__L1,line,744,standard_branch
WXCIGF__WXDBRF__L1,WXCIGF,WXDBRF,69.0,69.0,same_voltage_ok,0.0002,0.00074,79.0,WXCIGF__WXDBRF__L1,line,719,standard_branch
WXCINF__WCNACF__L1,WXCINF,WCNACF,69.0,69.0,same_voltage_ok,0.03097472,0.04776865,45.0,WXCINF__WCNACF__L1,line,289,standard_branch
WXCINF__WXVALF__L1,WXCINF,WXVALF,69.0,69.0,same_voltage_ok,0.00151002,0.00232872,45.0,WXCINF__WXVALF__L1,line,290,standard_branch
WXCNAF__WXGAVF__L1,WXCNAF,WXGAVF,69.0,69.0,same_voltage_ok,0.0355,0.1299,73.0,WXCNAF__WXGAVF__L1,line,730,standard_branch
WXCODF__WMETBF__L1,WXCODF,WMETBF,69.0,69.0,same_voltage_ok,4e-05,0.00017,79.0,WXCODF__WMETBF__L1,line,20,standard_branch
WXCODF__WXHACF__L1,WXCODF,WXHACF,69.0,69.0,same_voltage_ok,0.00069,0.00251,79.0,WXCODF__WXHACF__L1,line,21,standard_branch
WXCORF__WCORMF__L1,WXCORF,WCORMF,69.0,69.0,same_voltage_ok,0.01581,0.024382,45.0,WXCORF__WCORMF__L1,line,326,standard_branch
WXCORF__WHATIF__L1,WXCORF,WHATIF,69.0,69.0,same_voltage_ok,0.08713938,0.3225584,79.0,WXCORF__WHATIF__L1,line,327,standard_branch
WXCSAF__WCSATF__L1,WXCSAF,WCSATF,69.0,69.0,same_voltage_ok,0.000438,0.001604,79.0,WXCSAF__WCSATF__L1,line,282,standard_branch
WXCSAF__WINCAF__L1,WXCSAF,WINCAF,69.0,69.0,same_voltage_ok,0.000862,0.003154,79.0,WXCSAF__WINCAF__L1,line,277,standard_branch
WXCTAF__WCANAF__L1,WXCTAF,WCANAF,69.0,69.0,same_voltage_ok,0.02484693,0.09093633,71.7069,WXCTAF__WCANAF__L1,line,342,standard_branch
WXCTAF__WMOCAF__L1,WXCTAF,WMOCAF,69.0,69.0,same_voltage_ok,0.022,0.0823,79.0,WXCTAF__WMOCAF__L1,line,343,standard_branch
WXCTAF__WXLPEF__L1,WXCTAF,WXLPEF,69.0,69.0,same_voltage_ok,0.0055569,0.02033749,72.0,WXCTAF__WXLPEF__L1,line,344,standard_branch
WXDBRF__WXHHIF__L1,WXDBRF,WXHHIF,69.0,69.0,same_voltage_ok,0.00149,0.00553,79.0,WXDBRF__WXHHIF__L1,line,720,standard_branch
