branch_id,branch_type,from_bus,to_bus,pypsa_v1_component,exclusion_reason,closure_semantics_hint,operational_status,closure_flag,tap_ratio_hint,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,source_row_number
WXNAGF__WNAGUF__L1,line,WXNAGF,WNAGUF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,317
WXNAGF__WPAYIF__L1,line,WXNAGF,WPAYIF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,319
WXPFLF__WXLALF__L1,line,WXPFLF,WXLALF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,119
WXPS1K__WXES2K__L1,line,WXPS1K,WXES2K,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,,,missing_bus_v_nom,825
WXRIEF__WCAPOF__L1,line,WXRIEF,WCAPOF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,229
WXRINF__WXBPEF__L1,line,WXRINF,WXBPEF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,352
WXTREFF__WMLTPF__L1,line,WXTREFF,WMLTPF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,156
WXTREFF__WXGBOF__L1,line,WXTREFF,WXGBOF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,29
WXZFNF__WPIISF__L1,line,WXZFNF,WPIISF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,537
WXZPPF__WPPL2F__L1,line,WXZPPF,WPPL2F,auxiliary_tap_link,excluded_auxiliary_tap_link,tap_link_like,closure_fractional_or_unknown,1.05,1.05,69.0,69.0,same_voltage_ok,410
