loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WIDALF,69 kV INDAL,69 kV INDAL D1,ZIDALF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV INDAL.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WHJBOF,69 kV Hospital Juan Bosch,Demanda Hospital Juan Bosch,ZHJBOF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Hospital Juan Bosch.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WRNUEF,69 kV Rincón Nueva,Demanda Rincón Nueva,ZRNUEF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Rincón Nueva.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WFANTF,69 kV Fantino,Demanda Fantino,ZFANTF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Fantino.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WBONAF,69 kV Bonao,Demanda Bonao,ZBONAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Bonao.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WLCBOF,69 kV La Cumbre Bonao,Demanda La Cumbre Bonao,ZLCBOF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV La Cumbre Bonao.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WMAIMF,69 kV Maimón,Demanda Maimón,ZMAIMF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Maimón.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCOR2F,69 kV CORMIDOM 2,Demanda CORMIDOM 2,ZCOR2F-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV CORMIDOM 2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCORMF,69 kV CORMIDOM,Demanda CORMIDOM,ZCORMF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV CORMIDOM.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCORMF,69 kV CORMIDOM,69 kV Derivación CORMIDOM_a,ZCORMF_ZXCORF-L1_a,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV CORMIDOM.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCOTUF,69 kV Cotuí,Demanda Cotuí,ZCOTUF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Cotuí.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WGRSFF,69 kV Grupo Ramos SFM,Demanda Grupo Ramos SFM,ZGRSFF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Grupo Ramos SFM.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
