loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WMPSOF,69 kV Monte Plata Solar,69/20 kV Transformador Monte Plata Solar,WMPSOF_WMPSOK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69 kV Monte Plata Solar.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
KPF MONTE PLATA,1,cbk,,WXMPSF,Tap Monte Plata Solar,69 kV Dajao – Monte Plata Solar_d,ZMPSOF_ZXMPSF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Monte Plata Solar.ElmTerm\Cub_3.StaCubic\KPF MONTE PLATA.StaSwitch
KPF HIGUEY,1,cbk,,WXBENF,Tap Benedicto,69 kV Buena Vista – Higüey_c,ZBENEF_ZHIGUF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm\Cub_2.StaCubic\KPF HIGUEY.StaSwitch
KPF ASOC ZF SPM,1,cbk,,WXZSPF,Tap ZF SPM,69 kV Derivación Asoc Industrias ZF SPM,ZZSPMF_ZXZSPF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF SPM.ElmTerm\Cub_2.StaCubic\KPF ASOC ZF SPM.StaSwitch
KPF ZF SPM CHENTEC,1,cbk,,WXSPAF,Tap ZF San Pedro AES,69 kV SPM – ZF SPM Chentec_e,ZZSPAF_ZZSPCF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_3.StaCubic\KPF ZF SPM CHENTEC.StaSwitch
KPF ZF SPM AES,1,cbk,,WXSPAF,Tap ZF San Pedro AES,69 kV Derivación ZF San Pedro AES,ZZSPAF_ZXSPAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_4.StaCubic\KPF ZF SPM AES.StaSwitch
KPF CONSUELO,1,cbk,,WXCSUF,Tap Consuelo,69 kV Hato Mayor 2 – SPM_b,ZCSULF_ZHMAYF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Consuelo.ElmTerm\Cub_4.StaCubic\KPF CONSUELO.StaSwitch
KPF HATO MAYOR,1,cbk,,WXHMAF,Tap Hato Mayor,69 kV Hato Mayor 2 – SPM_a,ZEVALF_ZHMAYF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm\Cub_4.StaCubic\KPF HATO MAYOR.StaSwitch
KPF YAMASÁ,1,dct,,WXYAMF,Tap Yamasá,69 kV Dajao – Monte Plata Solar_c,ZMPLAF_ZYAMAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Yamasá.ElmTerm\Cub_3.StaCubic\KPF YAMASÁ.StaSwitch
KPF GUERRA 1,1,cbk,,WXZBVF,Tap ZF Buena Vista,69 kV Boca Chica – Mata de Palma_f,ZGUERF_ZXZBVF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF Buena Vista.ElmTerm\Cub_1.StaCubic\KPF GUERRA 1.StaSwitch
KPF CÉSAR IGLESIAS 3,1,cbk,,WXCIGF,Tap César Iglesias,69 kV Derivación César Iglesias,ZCIGLF_ZXCIGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_4.StaCubic\KPF CÉSAR IGLESIAS 3.StaSwitch
KPF CÉSAR IGLESIAS,1,dct,,WXCIGF,Tap César Iglesias,69 kV SPM – Boca Chica(Cementos)_a,ZSPMAF_ZXCIGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_5.StaCubic\KPF CÉSAR IGLESIAS.StaSwitch
KPF CÉSAR IGLESIAS 2,1,cbk,,WXCIGF,Tap César Iglesias,69 kV SPM – Boca Chica(Cementos)_b,ZXCIGF_ZXDBRF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_6.StaCubic\KPF CÉSAR IGLESIAS 2.StaSwitch
Switch,1,cbk,,WXHHIF,Tap Harinas Del Higüamo,69 kV Derivación Harinas del Higuamo,ZHHIGF_ZXHHIF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Harinas Del Higüamo.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
KPF Harinas del Higuamo,1,cbk,,WXHHIF,Tap Harinas Del Higüamo,69 kV SPM – Boca Chica(Cementos)_d,ZHHIGF_ZXCNAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Harinas Del Higüamo.ElmTerm\Cub_5.StaCubic\KPF Harinas del Higuamo.StaSwitch
Switch,1,cbk,,WXDBRF,Tap Destilería Brugal,69 kV Derivación Destilería Brugal,ZDBRUF_ZXDBRF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Destilería Brugal.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXCLRF,Tap Capacitor 69 kV La Romana Pueblo,69 kV Capacitor La Romana Pueblo,ZLRMAF-C1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Capacitor 69 kV La Romana Pueblo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WSMARF,69 kV Sabana de la Mar,Demanda Sabana de la Mar,ZSMARF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sabana de la Mar.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WSESEF,69 kV Servicio Estación Sultana del Este,SSAA Sultana del Este 1,ZSES1K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Servicio Estación Sultana del Este.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WBENEF,69 kV Benedicto,Demanda Benedicto,ZBENEF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Benedicto.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WRCHAF,69 kV Río Chavón,Demanda Río Chavón,ZRCHAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WBLECF,69 kV Batey Lechuga,Demanda Batey Lechuga,ZBLECF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WGUAYF,69 kV Guaymate,Demanda Guaymate,ZGUAYF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guaymate.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WRPELF,69 kV Rancho Peligro,Demanda Rancho Peligro,ZRPELF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WHMAYF,69 kV Hato Mayor,Demanda Hato Mayor,ZHMAYF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WCSULF,69 kV Consuelo,Demanda Consuelo,ZCSULF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Consuelo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WZSPCF,69 kV ZF San Pedro Chentec,Demanda ZF San Pedro Chentec,ZZSPCF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV ZF San Pedro Chentec.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WZSPAF,69 kV ZF San Pedro AES,Demanda ZF San Pedro AES,ZZSPAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV ZF San Pedro AES.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WZSPMF,69 kV Asociación Industrial ZF SPM,Demanda Asociación Industrial ZF SPM,ZZSPMF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Asociación Industrial ZF SPM.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCIGLF,69 kV César Iglesias,Demanda César Iglesias,ZXCIGF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV César Iglesias.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WDBRUF,69 kV Destilería Brugal,Demanda Destilería Brugal,ZXDBRF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Destilería Brugal.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WHHIGF,69 kV Harinas del Higuamo,Demanda Harinas del Higuamo,ZHHIGF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Harinas del Higuamo.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WGUAVF,69 kV Guavaberry,Demanda Guavaberry,ZGUAVF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guavaberry.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WCAYAF,69 kV Cayacoa,Demanda Cayacoa,ZCAYAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Cayacoa.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WSPRIF,69 kV Sierra Prieta,Demanda Sierra Prieta,ZSPRIF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sierra Prieta.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WYAMAF,69 kV Yamasá,Demanda Yamasá,ZYAMAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Yamasá.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
KPF Derivación ZF Los Alcarrizos,1,cbk,,WXCABF,Tap 1 Cabayona,69 kV Derivación ZF Los Alcarrizos_a,ZCBYNF_ZXCABF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Cabayona.ElmTerm\Cub_8.StaCubic\KPF Derivación ZF Los Alcarrizos.StaSwitch
KFP GRUPO MALLA,1,cbk,,WXMALF,Tap Malla,69 kV Derivación Grupo Malla,ZGMALF_ZXMALF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Malla.ElmTerm\WXMALF(1).StaCubic\KFP GRUPO MALLA.StaSwitch
KPF CIUDAD SATELITE,1,cbk,,WXCSAF,Tap Ciudad Satélite,69 kV Derivación Ciudad Satélite,ZCSATF_ZXCSAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Ciudad Satélite.ElmTerm\WXCSAF(2).StaCubic\KPF CIUDAD SATELITE.StaSwitch
KPF OLEODUCTO FALCON,1,cbk,,WXOFAF,Tap Oleoducto FALCONDO,69 kV Derivación Oleoducto FALCONDO,ZOFALF_ZXOFAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Oleoducto FALCONDO.ElmTerm\WXOFAF(2).StaCubic\KPF OLEODUCTO FALCON.StaSwitch
KPF BOHEMIA 2,1,cbk,,WXBOHF,Tap Bohemia,69 kV Derivación Cervecería Bohemia,ZCBOHF_ZXBOHF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_1.StaCubic\KPF BOHEMIA 2.StaSwitch
KPF BOHEMIA 1,1,cbk,,WXBOHF,Tap Bohemia,69 kV Haina – Kilómetro 10.5_a,ZHAIBF_ZXBOHF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_2.StaCubic\KPF BOHEMIA 1.StaSwitch
KPF BOHEMIA 3,1,dct,,WXBOHF,Tap Bohemia,69 kV Haina – Kilómetro 10.5_b,ZKDMBF_ZXBOHF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Bohemia.ElmTerm\Cub_3.StaCubic\KPF BOHEMIA 3.StaSwitch
KPF ACUEDUCTO ORIENTAL,1,cbk,,WXAORF,Tap Acueducto Oriental,69 kV Hainamosa – Boca Chica(Tamarindo)c,ZBASIF_ZXAORF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto Oriental.ElmTerm\Cub_2.StaCubic\KPF ACUEDUCTO ORIENTAL.StaSwitch
KPF La Sirena Charles de Gaulle,1,cbk,,WXINVF,Tap Invivienda,69 kV Derivación G. Ramos Charles,ZXGRCF_ZXINVF-L1_a,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Invivienda.ElmTerm\Cub_4.StaCubic\KPF La Sirena Charles de Gaulle.StaSwitch
Switch,1,dct,,WXINVF,Tap Invivienda,69 kV Derivación ZF San Isidro_a,ZXZFHF_ZZSISF-L1_a,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Invivienda.ElmTerm\Cub_7.StaCubic\Switch.StaSwitch
KPF LA CALETA 2,0,cbk,,WXLCAF,Tap 1 La Caleta,69 kV Boca Chica – La Caleta,ZLCALF_ZXKVEF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_1.StaCubic\KPF LA CALETA 2.StaSwitch
KPF LA CALETA 1,1,cbk,,WXLCAF,Tap 1 La Caleta,69 kV Boca Chica – ZF Las Americas_c,ZXLCAF_ZXPC2F-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_2.StaCubic\KPF LA CALETA 1.StaSwitch
KPF LA CALETA 3,1,cbk,,WXLCAF,Tap 1 La Caleta,69 kV Derivación La Caleta,ZLCALF_ZXLCAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 La Caleta.ElmTerm\Cub_3.StaCubic\KPF LA CALETA 3.StaSwitch
KPF CARTONES DEL CARIBE,1,cbk,,WXZAMF,Tap ZF Las Américas,69 kV Derivación Cartonera del Caribe_a,ZXLADF_ZXZAMF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap ZF Las Américas.ElmTerm\Cub_3.StaCubic\KPF CARTONES DEL CARIBE.StaSwitch
KPF AEROPUERTO HIGUERO,1,cbk,,WXAHGF,Tap Aeropuerto Higüero,69 kV Derivación Aeropuerto El Higüero,ZAHIGF_ZXAHGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Aeropuerto Higüero.ElmTerm\Cub_5.StaCubic\KPF AEROPUERTO HIGUERO.StaSwitch
KPF BNV,1,cbk,,WXAHGF,Tap Aeropuerto Higüero,69 kV Palamara – Bco Nacional Vivienda_c,ZBNVIF_ZXAHGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Aeropuerto Higüero.ElmTerm\Cub_6.StaCubic\KPF BNV.StaSwitch
KPF Acd ISABELA,1,cbk,,WXALIF,Tap Acueducto La Isabela,69 kV Derivación Acueducto La Isabela,ZALISF_ZXALIF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Acueducto La Isabela.ElmTerm\Cub_6.StaCubic\KPF Acd ISABELA.StaSwitch
Switch,1,cbk,,WEM31K,Terminal EDM3 TG1,66/13.8/13.8 kV Transformador EDM3,WEMA3F_WEMA3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
ZEM31K-D1-Q1,1,cbk,,WEM31K,Terminal EDM3 TG1,SSAA EDM3 TG1,ZEM31K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_3.StaCubic\ZEM31K-D1-Q1.StaSwitch
Switch,1,dct,,WEM31K,Terminal EDM3 TG1,EDM3 TG1,G5EMA3G1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
Switch,1,dct,,WEM31K,Terminal EDM3 TG1,SA 1 EDM3,G7EMAR31,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WEM32K,Terminal EDM3 TG2,66/13.8 kV Transformador EDM3,WEMA3F_WEMB3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
ZEM32K-D1-Q1,1,cbk,,WEM32K,Terminal EDM3 TG2,SSAA EDM3 TG2,ZEM32K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_3.StaCubic\ZEM32K-D1-Q1.StaSwitch
Switch,1,dct,,WEM32K,Terminal EDM3 TG2,EDM3 TG2,G5EMA3G2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
Switch,1,dct,,WEM32K,Terminal EDM3 TG2,SA 2 EDM3,G7EMAR32,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WEM33K,Terminal EDM3 TV,66/13.8/13.8 kV Transformador EDM3,WEMA3F_WEMA3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WEM33K,Terminal EDM3 TV,EDM3 TV,G5EMAR3V,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
KPF TEXTILES TITAN,1,cbk,,WXTTIF,Tap Textiles Titán,69 kV La Cuarenta – Timbeque 2_c,ZTI12F_ZXTTIF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Textiles Titán.ElmTerm\Cub_4.StaCubic\KPF TEXTILES TITAN.StaSwitch
JUMPER,0,cbk,,WXKVNF,Tap 1 Kilómetro 24,69 kV Boca Chica – Mata de Palma_c,ZXKVEF_ZXKVNF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Kilómetro 24.ElmTerm\Cub_2.StaCubic\JUMPER.StaSwitch
Switch,1,cbk,,WPALAK,Terminal Palamara,,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,0,cbk,,WXPLAF,Tap Plásticos Flexibles,69 kV Derivación Plastifar,ZXNOVF_ZXPLAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Plásticos Flexibles.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
KPF MATA DE PALMA,1,cbk,,WXMPAF,Tap Mata de Palma,69 kV Boca Chica – Mata de Palma_h,ZMPALF_ZXMPAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Mata de Palma.ElmTerm\Cub_6.StaCubic\KPF MATA DE PALMA.StaSwitch
Switch,1,cbk,,WMPALF,69 kV Mata de Palma,69/34.5 kV Transformador Mata de Palma,WMPALF_WMPALK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69 kV Mata de Palma.ElmTerm\Cub_2(1).StaCubic\Switch.StaSwitch
Switch,1,dct,,WMPALK,Terminal Mata de Palma,SSAA Mata de Palma,ZMPALK-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WMPALK,Terminal Mata de Palma,Mata de Palma Solar,G3PFMPAL,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WMPALK,Terminal Mata de Palma,69/34.5 kV Transformador Mata de Palma,WMPALF_WMPALK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
KPF CORVI PVC,1,cbk,,WXCPVF,Tap CORVI PVC,69 kV Derivación CORVI PVC,ZCPVCF_ZXCPVF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap CORVI PVC.ElmTerm\Cub_2.StaCubic\KPF CORVI PVC.StaSwitch
