loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,ref_slack,Q_min_pu,Q_max_pu,P_max_MW,P_min_MW
Quisqueya 2 Grupo 1,G4QUIS21,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 1.ElmSym,Quisqueya 2 Motor,E1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm,Others,4,17.076000213623047,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
Quisqueya 2 Grupo 2,G4QUIS22,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 2.ElmSym,Quisqueya 2 Motor,E15,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm,Others,4,17.076000213623047,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
Quisqueya 2 Grupo 3,G4QUIS23,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 3.ElmSym,Quisqueya 2 Motor,E9,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm,Others,4,11.267999649047852,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
Quisqueya 2 TV,G5QUISQ2,1,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 TV.ElmSym,Quisqueya 1 TV,E13,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm,Others,1,1.000000013351432e-10,0.0,1.0,constq,0,-1.0,1.0,20.330400466918945,0.0
Quisqueya 1 Grupo 3,G4QUIS13,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 3.ElmSym,Quisqueya 1 Motor,E9,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm,Others,4,17.076000213623047,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
Quisqueya 1 TV,G5QUISQ1,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 TV.ElmSym,Quisqueya 1 TV,E13,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm,Others,1,8.892000198364258,0.0,1.0,constv,0,-1.0,1.0,20.330400466918945,0.0
Punta Catalina 1,G3PCATA1,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 1.ElmSym,Punta Catalina,Terminal Punta Catalina 1,WPCA1K,22.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 1.ElmTerm,Coal,1,339.989990234375,164.66468811035156,1.0499999523162842,constv,1,-1.0,1.0,375.0,0.0
Punta Catalina 2,G3PCATA2,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Punta Catalina 2.ElmSym,Punta Catalina,Terminal Punta Catalina 2,WPCA2K,22.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 2.ElmTerm,Coal,1,359.989990234375,174.3511199951172,1.0499999523162842,constv,0,-1.0,1.0,375.0,0.0
Sultana del Este Grupo 3,G4SESTE3,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 3.ElmSym,Sultana del Este Motor,Terminal Sultana del Este 3,WSES3K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm,Others,3,1.000000013351432e-10,6.00007751816456e-11,1.0,constv,0,-1.0,1.0,17.0,0.0
Sultana del Este Grupo 1,G4SESTE1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 1.ElmSym,Sultana del Este Motor,Terminal Sultana del Este 1,WSES1K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 1.ElmTerm,Diesel,3,14.5,0.0,1.0,constv,0,-1.0,1.0,17.0,0.0
Sultana del Este Grupo 2,G4SESTE2,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Sultana del Este Grupo 2.ElmSym,Sultana del Este Motor,Terminal Sultana del Este 2,WSES2K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm,Others,4,1.000000013351432e-10,0.0,1.0,constv,0,-1.0,1.0,17.0,0.0
CESPM 3,G3CESPM3,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 3.ElmSym,CESPM 3,Terminal CESPM 3,WCES3K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm,Others,1,87.30000305175781,0.0,1.0199999809265137,constv,0,-1.0,1.0,100.30000305175781,0.0
CESPM 2,G3CESPM2,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 2.ElmSym,CESPM 2,Terminal CESPM 2,WCES2K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm,Others,1,87.30000305175781,0.0,1.0199999809265137,constv,0,-1.0,1.0,100.30000305175781,0.0
CESPM 1,G3CESPM1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\CESPM 1.ElmSym,CESPM 1,Terminal CESPM 1,WCES1K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm,Others,1,87.30000305175781,0.0,1.0199999809265137,constv,0,-1.0,1.0,100.30000305175781,0.0
ENERGAS 4 TG,G3ENE4TG,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\ENERGAS 4 TG.ElmSym,CESPM 4 TG,Terminal ENERGAS 4 TG,WXEN4K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TG.ElmTerm,Gas,1,40.0,0.0,1.0199999809265137,constv,0,-1.0,1.0,88.05999755859375,0.0
ENERGAS 4 TV,G3ENE4TV,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\ENERGAS 4 TV.ElmSym,ENERGAS 4 TV,Terminal ENERGAS 4 TV,WXEV4K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal ENERGAS 4 TV.ElmTerm,Others,1,1.000000013351432e-10,0.0,1.0199999809265137,constv,0,-1.0,1.0,46.79999923706055,0.0
Bersal,G3BERSAL,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\Bersal.ElmSym,Bersal,R1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\ZCEMEK.ElmSubstat\R1.ElmTerm,Diesel,4,1.909999966621399,0.0,1.0,constq,0,-1.0,1.0,6.400000095367432,0.0
