loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
72/6.9 kV Trafo Los Toros 10.5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\72/6.9 kV Trafo Los Toros 10.5 MVA.TypTr2,10.5,72.0,6.900000095367432,7.840000152587891,0.10000000149011612,10.5,0.0,0.0,YNd5,YN,D,0,5.0,0.0,0,-2,2,60.0
69/13.8 kV Trafo Sabana Yegua 15 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Sabana Yegua 15 MVA.TypTr2,15.0,69.0,13.800000190734863,9.899820327758789,2.00053334236145,300.0799865722656,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-3,3,60.0
67/12.47 kV Trafo Sabaneta 15 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\67/12.47 kV Trafo Sabaneta 15 MVA.TypTr2,15.0,67.0,12.470000267028809,5.599999904632568,0.5,75.0,0.0,0.0,YNd1,YN,D,0,2.690000057220459,0.0,0,-2,2,60.0
69/13.8 kV Trafo Magueyal 4 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Magueyal 4 MVA.TypTr2,4.0,69.0,13.800000190734863,7.829999923706055,0.5,20.0,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
69/12.5 kV Trafo Las Damas 9.4 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Las Damas 9.4 MVA.TypTr2,9.399999618530273,69.0,12.5,7.400000095367432,0.5,47.0,0.0,0.0,Dyn11,D,YN,0,2.0,0.0,0,-5,4,60.0
12.5/4.16 Trafo Dgo Rod 7 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\12.5/4.16 Trafo Dgo Rod 7 MVA.TypTr2,7.0,12.5,4.159999847412109,5.8002800941467285,0.05802999809384346,4.062099933624268,0.0,0.0,YNd11,YN,D,1,2.5,0.0,0,-2,2,60.0
69/12.5 Trafo Dgo Rod 5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 Trafo Dgo Rod 5 MVA.TypTr2,5.0,69.0,12.5,10.0,0.5,25.0,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
69/34.5 kV Trafo Canoa Solar 32 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/34.5 kV Trafo Canoa Solar 32 MVA.TypTr2,32.0,69.0,34.5,14.140000343322754,0.5,160.0,0.0,0.0,YNd11,YN,D,0,1.25,0.0,0,-13,13,60.0
69/12.47 kV Nizao-Najayo (18.5 MVA) T1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.47 kV Nizao-Najayo (18.5 MVA) T1.TypTr2,18.5,69.0,12.470000267028809,8.0,0.5,92.5,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,0,-13,13,60.0
69/12.47 kV Los Anones (14 MVA) T1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.47 kV Los Anones (14 MVA) T1.TypTr2,14.0,67.0,12.470000267028809,10.934000015258789,0.0,0.0,0.0,0.0,Dyn1,D,YN,0,2.5999999046325684,0.0,0,-2,2,60.0
