loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_con,barra_con_for,barra_con_kV,barra_con_id,P_MW,Q_Mvar,S_MVA,cos_phi,escala,modo_entrada
SSAA Parque Solar Esperanza,ZXPSEK-D1,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\SSAA Parque Solar Esperanza.ElmLod,Cargas zona sur,Terminal 1 Parque Solar Esperanza,WXPS1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,0.0,0.0,0.0,1.0,1.0,DEF
SSAA Pimentel 4,ZXPI4K-D1,0,CIBAO NORESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SSAA Pimentel 4.ElmLod,Carga zona norte,Terminal Pimentel 4,WXPI4K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Terminal Pimentel 4.ElmTerm,0.8399999737739563,0.36000001430511475,0.9138927459716797,0.9191450476646423,1.0,DEF
Demanda Goya,ZGOYAF-D1,0,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda Goya.ElmLod,,69 kV Goya,WGOYAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Goya.ElmTerm,0.6800000071525574,0.28999999165534973,0.7392563819885254,0.9198432564735413,1.0,PQ
Demanda ABCO,ZABCOF-D1,0,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda ABCO.ElmLod,,69 kV ABCO,WABCOF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV ABCO.ElmTerm,3.200000047683716,1.3700000047683716,3.480933904647827,0.9192935228347778,1.0,PQ
SSAA Los Toros,ZLTO1K-D1,1,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\SSAA Los Toros.ElmLod,,Terminal Los Toros,WLTO1K,6.900000095367432,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\Terminal Los Toros.ElmTerm,0.0,0.0,0.0,1.0,1.0,PQ
Demanda Productos Linda,ZPLINF-D1,0,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda Productos Linda.ElmLod,,69 kV Productos Linda,WPLINF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Productos Linda.ElmTerm,0.14000000059604645,0.05999999865889549,0.15231546759605408,0.9191449880599976,1.0,PQ
Demanda Ingenio CAEI,ZICAEF-D1,0,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda Ingenio CAEI.ElmLod,,69 kV Ingenio CAEI,WICAEF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Ingenio CAEI.ElmTerm,0.05999999865889549,0.029999999329447746,0.06708204001188278,0.8944271802902222,1.0,PQ
SSAA Sabana Yegua,ZSYEGK-D1,1,SUR MEDIO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\SSAA Sabana Yegua.ElmLod,,Terminal Sabana Yegua,WSYEGK,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\Terminal Sabana Yegua.ElmTerm,0.0,0.0,0.0,1.0,1.0,PQ
Demanda La Famosa,ZXLFAF-D1,0,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda La Famosa.ElmLod,,69 kV La Famosa,WLFAMF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV La Famosa.ElmTerm,0.8999999761581421,0.0,0.8999999761581421,1.0,1.0,PQ
Demanda 1 Baní Matadero,ZBMATF-D1,0,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Demanda 1 Baní Matadero.ElmLod,,WBMATF(1),,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZBMATF.ElmSubstat\WBMATF(1).ElmTerm,7.809999942779541,3.299999952316284,8.478567123413086,0.9211462140083313,1.0,PQ
