loc_name,for_name,outserv,zona,area,red,ruta,barra_con,barra_con_for,barra_con_kV,barra_con_id,Q_min_Mvar,Q_max_Mvar,U_consigna_pu
34.5 kV SVC 2 PVDC,ZPVD2K-SVC1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV SVC 2 PVDC.ElmSvs,Terminal PVDC 2,WPVD2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 2.ElmTerm,-10.0,20.0,1.0399999618530273
34.5 kV SVC 1 PVDC,ZPVD1K-SVC1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV SVC 1 PVDC.ElmSvs,Terminal PVDC 1,WPVD1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm,-10.0,20.0,1.0399999618530273
