loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_i,barra_i_for,barra_i_kV,barra_i_id,barra_j,barra_j_for,barra_j_kV,barra_j_id,long_km,num_paralelas,I_nom_kA,R1_ohm,X1_ohm,R0_ohm,X0_ohm,B1_uS,B0_uS,G1_uS
69 kV Buena Vista – Higüey_b,ZBENEF_ZXCHAF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Buena Vista – Higüey_b.ElmLne,P.MADERA TP-IG 55 P/69 - 4/0 AAAC,Tap Chavón,WXCHAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Chavón.ElmTerm,Tap Benedicto,WXBENF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm,7.5,1,0.3799999952316284,2.304227590560913,3.5535383224487305,5.330203533172607,11.610050201416016,26.602006912231445,14.511152267456055,-4.163336342344337e-16
69 kV SPM – Boca Chica(Cementos)_g,ZCAYAF_ZXCATF-L1,0,SANTO DOMINGO,CENTRAL,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_g.ElmLne,P.MADERA TP-IG 50 P/69 - 559 AAAC,Tap 1 Catalina,WXCATF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap 1 Catalina.ElmTerm,Tap Cayacoa,WXCAYF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cayacoa.ElmTerm,12.199999809265137,1,0.6629999876022339,1.4218859672546387,5.2039055824279785,6.392881393432617,18.47736167907715,47.90834426879883,24.991588592529297,-3.386180172167168e-16
69 kV SPM – Boca Chica(Cementos)_f,ZCAYAF_ZXGAVF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_f.ElmLne,P.MADERA TP-IG 50 P/69 - 559 AAAC,Tap Cayacoa,WXCAYF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cayacoa.ElmTerm,Tap Guavaberry,WXGAVF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guavaberry.ElmTerm,3.9000000953674316,1,0.6629999876022339,0.4545373320579529,1.6635435819625854,2.043626070022583,5.906698226928711,15.314963340759277,7.989114761352539,-1.0824674754793072e-16
69 kV SPM – Boca Chica(Cementos)_e,ZXCNAF_ZXGAVF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_e.ElmLne,P.MADERA TP-IG 50 P/69 - 559 AAAC,Tap Guavaberry,WXGAVF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guavaberry.ElmTerm,Tap Cementos Nacionales,WXCNAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cementos Nacionales.ElmTerm,14.0,1,0.6629999876022339,1.6316723823547363,5.9716949462890625,7.336093425750732,21.20353126525879,54.97679138183594,28.67887306213379,-3.885780586188048e-16
69 kV SPM – Boca Chica(Cementos)_d,ZHHIGF_ZXCNAF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_d.ElmLne,P.MADERA TP-IG 50 P/69 - 477 ACSR,Tap Harinas Del Higüamo,WXHHIF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Harinas Del Higüamo.ElmTerm,Tap Cementos Nacionales,WXCNAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Cementos Nacionales.ElmTerm,5.039999961853027,1,0.6589999794960022,0.5943694114685059,2.2102506160736084,2.6287436485290527,7.62111759185791,19.528032302856445,10.4097261428833,-6.994405002198927e-17
69 kV SPM – Boca Chica(Cementos)_c,ZHHIGF_ZXDBRF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_c.ElmLne,P.MADERA TP-IG 50 P/69 - 477 ACSR,Tap Destilería Brugal,WXDBRF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Destilería Brugal.ElmTerm,Tap Harinas Del Higüamo,WXHHIF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Harinas Del Higüamo.ElmTerm,0.6000000238418579,1,0.6589999794960022,0.07075826823711395,0.26312509179115295,0.312945693731308,0.907275915145874,2.324765682220459,1.2392531633377075,-8.326673015560919e-18
69 kV SPM – Boca Chica(Cementos)_b,ZXCIGF_ZXDBRF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – Boca Chica(Cementos)_b.ElmLne,P.MADERA TP-IG 50 P/69 - 477 ACSR,Tap César Iglesias,WXCIGF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm,Tap Destilería Brugal,WXDBRF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Destilería Brugal.ElmTerm,0.07999999821186066,1,0.6589999794960022,0.00943443551659584,0.0350833460688591,0.041726090013980865,0.12097011506557465,0.3099687397480011,0.16523374617099762,-1.1102229998097382e-18
69 kV Derivación Sierra Prieta,ZSPRIF_ZXSPRF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Derivación Sierra Prieta.ElmLne,P.MADERA TP-IG 55 P/69 - 559 AAAC,69 kV Sierra Prieta,WSPRIF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sierra Prieta.ElmTerm,Tap Sierra Prieta,WXSPRF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Sierra Prieta.ElmTerm,0.07500000298023224,1,0.6629999876022339,0.008745775558054447,0.032425109297037125,0.03900553658604622,0.11299023032188416,0.2904936969280243,0.15209609270095825,5.7245878015957084e-18
69 kV Cítricos Nacionales – INCA km 22_d,ZCPVCF_ZXCDAF-L1,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Cítricos Nacionales – INCA km 22_d.ElmLne,P.MADERA TP-IG 55 P/69 - 4/0 AAAC,Tap Campamento 16 Agosto,WXCDAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Campamento 16 Agosto.ElmTerm,Tap CORVI PVC,WXCPVF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap CORVI PVC.ElmTerm,2.299999952316284,1,0.3799999952316284,0.706629753112793,1.0897517204284668,1.6345957517623901,3.560415506362915,8.15794849395752,4.45008659362793,-1.2767564518491504e-16
69 kV Derivación Hato Nuevo,ZHNUEF_ZXHNUF-L1,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Derivación Hato Nuevo.ElmLne,P.MADERA TP-IG 55 P/69 - 4/0 AAAC,Tap Hato Nuevo,WXHNUF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Tap Hato Nuevo.ElmTerm,69 kV Hato Nuevo,WHNUEF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Hato Nuevo.ElmTerm,0.6000000238418579,1,0.3799999952316284,0.18433821201324463,0.2842830717563629,0.4264163076877594,0.9288040995597839,2.1281607151031494,1.1608922481536865,-3.3306692062243676e-17
