loc_name,for_name,outserv,zona,area,red,ruta,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,Q_min_pu,Q_max_pu,P_max_MW
PF Cotoperí 1,G3PFCOT1,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 1.ElmGenstat,Terminal PF Cotoperí 1,WCSO1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 1.ElmTerm,Photovoltaic,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,6.007500171661377
PF Cotoperí 2,G3PFCOT2,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 2.ElmGenstat,Terminal PF Cotoperí 2,WCSO2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 2.ElmTerm,Photovoltaic,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,6.007500171661377
PF Cotoperí 3,G3PFCOT3,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\PF Cotoperí 3.ElmGenstat,Terminal PF Cotoperí 3,WCSO3K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cotoperí.ElmSite\Terminal PF Cotoperí 3.ElmTerm,Photovoltaic,8,6.007500171661377,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,6.007500171661377
PF Coastal G2,G4PFCOA2,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\PF Coastal G2.ElmGenstat,Terminal Coastal 2,WCOA2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal 2.ElmTerm,Photovoltaic,6,8.461999893188477,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,8.461999893188477
PF Coastal G1,G4PFCOA1,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\PF Coastal G1.ElmGenstat,Terminal Coastal,WCOA1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Coastal.ElmSite\Terminal Coastal.ElmTerm,Photovoltaic,7,8.461999893188477,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,8.461999893188477
Parque Fotovoltaico SAJOMA,G3PFSAJO,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Parque Fotovoltaico SAJOMA.ElmGenstat,Terminal PF SAJOMA,WXPFSK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,Photovoltaic,9,7.599999904632568,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,7.599999904632568
Monte Cristi Solar Grupo 2,G4PFMSO2,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 2.ElmGenstat,R3,,20.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R3.ElmTerm,Photovoltaic,12,2.200000047683716,1.0,0.0,0.0,1.0,constq,-1.0,1.0,2.200000047683716
Monte Cristi Solar Grupo 1,G4PFMSO1,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,,20.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,Photovoltaic,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,-1.0,1.0,2.200000047683716
Agua Clara,G3PEACLA,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,WACLAK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,Wind,25,2.0999999046325684,1.0,0.0560000017285347,0.0,1.0,constq,-1.0,1.0,2.2100000381469727
Guanillo,G3PEGUAN,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Guanillo.ElmGenstat,Terminal Guanillo,WGNLLK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,Wind,25,2.2100000381469727,0.949999988079071,0.06080000102519989,0.0,1.0,constq,-1.0,1.0,2.2100000381469727
Los Guzmancito,G3PELGUZ,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito.ElmGenstat,Terminal Los Guzmancito,WLGUZK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,Wind,17,3.0,1.0,0.060589998960494995,0.0,1.0,constq,-1.0,1.0,3.5
Los Guzmancito 2,G3PELGU2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito 2.ElmGenstat,Terminal Los Guzmancito 2,WLGU2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,Wind,13,3.5999999046325684,1.0,0.04385000094771385,0.0,1.0,constq,-0.514285683631897,0.514285683631897,4.0
Parque Fotovoltaico MATRISOL,G3PFMATR,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Parque Fotovoltaico MATRISOL.ElmGenstat,Terminal MATRISOL,WXMATK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,Photovoltaic,11,4.550000190734863,1.0,0.0,0.0,1.0,constq,-1.0,1.0,4.550000190734863
PS Esperanza,G3PSESPE,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\PS Esperanza.ElmGenstat,Terminal 1 Parque Solar Esperanza,WXPS1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,Photovoltaic,18,4.389999866485596,0.9599999785423279,0.0,0.0,1.0,constq,-1.837129831314087,1.837129831314087,4.389999866485596
Solar Canoa,G3SCANOA,1,SUR PROFUNDO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Solar Canoa.ElmGenstat,Terminal Canoa Solar,WSCANK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Terminal Canoa Solar.ElmTerm,Photovoltaic,8,3.630000114440918,1.0,0.0,0.0,1.0,constq,-1.0,1.0,3.630000114440918
PF Lucila,G3PFLUCI,1,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\PF Lucila.ElmGenstat,Terminal Lucila,WXLUCK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Terminal Lucila.ElmTerm,Photovoltaic,2,5.150000095367432,1.0,0.0,0.0,1.0,constq,-0.6342857480049133,0.6342857480049133,5.150000095367432
Los Cocos 2,G3LCOCO2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Los Cocos 2.ElmGenstat,R2,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R2.ElmTerm,Wind,26,2.0,1.0,0.030379999428987503,3.7975775302179215e-11,1.0,constq,-1.0,1.0,2.0
Quilvio Cabrera,G3QCABRE,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Quilvio Cabrera.ElmGenstat,L3,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L3.ElmTerm,Wind,5,1.649999976158142,1.0,0.0820000022649765,5.007656442290731e-11,1.0,constq,-1.0,1.0,1.649999976158142
Juancho Los Cocos 1,G3JCOCO1,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Juancho Los Cocos 1.ElmGenstat,L4,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L4.ElmTerm,Wind,26,1.7999999523162842,1.0,0.01768999919295311,7.080901143208251e-11,1.0,constq,-1.0,1.0,2.0
Larimar,G3PELARI,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar.ElmGenstat,L2,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L2.ElmTerm,Wind,15,3.299999952316284,1.0,0.29267001152038574,3.7975775302179215e-11,1.0,constq,-1.0,1.0,3.299999952316284
Larimar 2,G3PELAR2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar 2.ElmGenstat,R3,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R3.ElmTerm,Wind,14,3.450000047683716,1.0,0.1771399974822998,3.7975775302179215e-11,1.0,constq,-1.0,1.0,3.450000047683716
Parque Fotovoltaico Los Negros,G3PFLNEG,1,SUR MEDIO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Parque Fotovoltaico Los Negros.ElmGenstat,Terminal Monte Río 2,WMRI2K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\Terminal Monte Río 2.ElmTerm,Photovoltaic,3,6.5,1.0,0.0,0.0,1.0,constq,-0.6342857480049133,0.6342857480049133,6.5
Bayasol,G3PFBAYA,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Bayasol.ElmGenstat,Terminal Bayasol,WBAYAK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Terminal Bayasol.ElmTerm,Photovoltaic,13,3.9600000381469727,1.0,0.0,0.0,1.0,constq,-1.0,1.0,3.9600000381469727
Girasol Grupo 1,G4PSGIR1,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 1.ElmGenstat,L2,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\L2.ElmTerm,Photovoltaic,12,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,-1.0,1.0,3.799999952316284
Girasol Grupo 2,G4PSGIR2,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 2.ElmGenstat,R1,,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R1.ElmTerm,Photovoltaic,16,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,-1.0,1.0,3.799999952316284
Santanasol,G3SANTAS,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Santanasol.ElmGenstat,Terminal Santanasol,WSANTK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Terminal Santanasol.ElmTerm,Photovoltaic,15,3.799999952316284,1.0,0.0,0.0,1.0,constq,-0.33000001311302185,0.33000001311302185,3.799999952316284
PF Calabaza 1,G3PFCALA,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\PF Calabaza 1.ElmGenstat,Terminal PF Calabaza 1,WXCA1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Terminal PF Calabaza 1.ElmTerm,Photovoltaic,17,3.492000102996826,0.8519999980926514,0.0,0.0,1.0,constq,-0.43580129742622375,0.43580129742622375,3.492000102996826
PE Matafongo 2,G3PEMAT2,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo 2.ElmGenstat,Terminal Matafongo,WMTFNK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,Wind,3,5.199999809265137,1.0,0.03779999911785126,0.0,1.0,constq,-0.328000009059906,0.328000009059906,5.199999809265137
PE Matafongo,G3PEMATA,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo.ElmGenstat,Terminal Matafongo,WMTFNK,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,Wind,17,2.0,1.0,0.014510000124573708,0.0,1.0,constq,-0.328000009059906,0.328000009059906,2.0999999046325684
PF Peravia I,G3PFPER1,1,SUR MEDIO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PF Peravia I.ElmGenstat,Terminal Peravia Solar 1,WPES1K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Terminal Peravia Solar 1.ElmTerm,Photovoltaic,12,5.833000183105469,1.0,0.0,0.0,1.0,constq,-0.6899999976158142,0.6899999976158142,5.833000183105469
PF Peravia II,G3PFPER2,1,SUR MEDIO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PF Peravia II.ElmGenstat,Terminal Peravia Solar 2,WPES2K,34.5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Terminal Peravia Solar 2.ElmTerm,Photovoltaic,12,5.833000183105469,1.0,0.0,0.0,1.0,constq,-0.6899999976158142,0.6899999976158142,5.833000183105469
