generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,available_mw,static_pmax_mw,available_pu,source_sheet
G3BAIGU2,BAIGUAQUE 2,h_19,19,19,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_20,20,20,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_21,21,21,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_22,22,22,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_23,23,23,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_24,24,24,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_01,1,1,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_02,2,2,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_03,3,3,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_04,4,4,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_05,5,5,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_06,6,6,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_07,7,7,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_08,8,8,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_09,9,9,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_10,10,10,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_11,11,11,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_12,12,12,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_13,13,13,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_14,14,14,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_15,15,15,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_16,16,16,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_17,17,17,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_18,18,18,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_19,19,19,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_20,20,20,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_21,21,21,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_22,22,22,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_23,23,23,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BCARBO,BARAHONA CARBON,h_24,24,24,canonical_hours_24h,50.0,50.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_01,1,1,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_02,2,2,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_03,3,3,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_04,4,4,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_05,5,5,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
G3BDEREC,BRAZO DERECHO,h_06,6,6,canonical_hours_24h,1.0,1.0,1.0,Reporte de Disponibilidad
