generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,available_mw,static_pmax_mw,available_pu,source_sheet
G3AANDGN,AES ANDRÉS GN,h_21,21,21,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_22,22,22,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_23,23,23,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_24,24,24,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_01,1,1,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_02,2,2,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_03,3,3,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_04,4,4,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_05,5,5,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_06,6,6,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_07,7,7,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_08,8,8,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_09,9,9,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_10,10,10,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_11,11,11,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_12,12,12,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_13,13,13,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_14,14,14,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_15,15,15,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_16,16,16,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_17,17,17,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_18,18,18,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_19,19,19,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_20,20,20,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_21,21,21,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_22,22,22,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_23,23,23,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC1,AGUACATE 1,h_24,24,24,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_01,1,1,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_02,2,2,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_03,3,3,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_04,4,4,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_05,5,5,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_06,6,6,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_07,7,7,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_08,8,8,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_09,9,9,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_10,10,10,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_11,11,11,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_12,12,12,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_13,13,13,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_14,14,14,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_15,15,15,canonical_hours_24h,0.0,28.0,0.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_16,16,16,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_17,17,17,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_18,18,18,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_19,19,19,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_20,20,20,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_21,21,21,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_22,22,22,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_23,23,23,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AGUAC2,AGUACATE 2,h_24,24,24,canonical_hours_24h,28.0,28.0,1.0,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_01,1,1,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_02,2,2,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_03,3,3,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_04,4,4,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_05,5,5,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_06,6,6,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_07,7,7,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_08,8,8,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_09,9,9,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_10,10,10,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_11,11,11,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_12,12,12,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_13,13,13,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_14,14,14,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_15,15,15,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_16,16,16,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_17,17,17,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_18,18,18,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_19,19,19,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_20,20,20,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_21,21,21,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_22,22,22,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_23,23,23,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG1,ANIANA VARGAS 1,h_24,24,24,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_01,1,1,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_02,2,2,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_03,3,3,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_04,4,4,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_05,5,5,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_06,6,6,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_07,7,7,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_08,8,8,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_09,9,9,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_10,10,10,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_11,11,11,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_12,12,12,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_13,13,13,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_14,14,14,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_15,15,15,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_16,16,16,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_17,17,17,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_18,18,18,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_19,19,19,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_20,20,20,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_21,21,21,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_22,22,22,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_23,23,23,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3AVARG2,ANIANA VARGAS 2,h_24,24,24,canonical_hours_24h,0.2,0.2,1.0,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_01,1,1,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_02,2,2,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_03,3,3,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_04,4,4,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_05,5,5,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_06,6,6,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_07,7,7,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_08,8,8,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_09,9,9,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_10,10,10,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_11,11,11,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_12,12,12,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_13,13,13,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_14,14,14,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_15,15,15,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_16,16,16,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_17,17,17,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_18,18,18,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_19,19,19,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_20,20,20,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_21,21,21,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_22,22,22,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_23,23,23,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU1,BAIGUAQUE 1,h_24,24,24,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_01,1,1,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_02,2,2,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_03,3,3,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_04,4,4,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_05,5,5,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_06,6,6,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_07,7,7,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_08,8,8,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_09,9,9,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_10,10,10,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_11,11,11,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_12,12,12,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_13,13,13,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_14,14,14,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_15,15,15,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_16,16,16,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_17,17,17,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
G3BAIGU2,BAIGUAQUE 2,h_18,18,18,canonical_hours_24h,0.3,0.3,1.0,Reporte de Disponibilidad
