loc_name,for_name,outserv,zona,area,red,ruta,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,Q_min_pu,Q_max_pu,P_max_MW
Monte Cristi Solar Grupo 1,G4PFMSO1,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,,20.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,Photovoltaic,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,-1.0,1.0,2.200000047683716
Agua Clara,G3PEACLA,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,WACLAK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,Wind,25,2.0999999046325684,1.0,0.5483999848365784,0.0,1.0,constq,-1.0,1.0,2.2100000381469727
Guanillo,G3PEGUAN,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Guanillo.ElmGenstat,Terminal Guanillo,WGNLLK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,Wind,25,2.2100000381469727,0.949999988079071,0.5591999888420105,0.0,1.0,constq,-1.0,1.0,2.2100000381469727
Los Guzmancito,G3PELGUZ,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito.ElmGenstat,Terminal Los Guzmancito,WLGUZK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,Wind,17,3.0,1.0,0.8399999737739563,1.0,1.0,constq,-1.0,1.0,3.5
Los Guzmancito 2,G3PELGU2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito 2.ElmGenstat,Terminal Los Guzmancito 2,WLGU2K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,Wind,13,3.5999999046325684,1.0,0.7930799722671509,0.0,1.0,constq,-0.514285683631897,0.514285683631897,4.0
Parque Fotovoltaico MATRISOL,G3PFMATR,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Parque Fotovoltaico MATRISOL.ElmGenstat,Terminal MATRISOL,WXMATK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,Photovoltaic,11,4.550000190734863,1.0,1.000000013351432e-10,0.0,1.0,constq,-1.0,1.0,4.550000190734863
PS Esperanza,G3PSESPE,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\PS Esperanza.ElmGenstat,Terminal 1 Parque Solar Esperanza,WXPS1K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,Photovoltaic,18,4.389999866485596,0.9599999785423279,0.0,0.0,1.0,constq,-1.837129831314087,1.837129831314087,4.389999866485596
Solar Canoa,G3SCANOA,1,SUR PROFUNDO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Solar Canoa.ElmGenstat,Terminal Canoa Solar,WSCANK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Terminal Canoa Solar.ElmTerm,Photovoltaic,8,3.630000114440918,1.0,0.0,0.0,1.0,constq,-1.0,1.0,3.630000114440918
Los Cocos 2,G3LCOCO2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Los Cocos 2.ElmGenstat,R2,,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R2.ElmTerm,Wind,26,2.0,1.0,0.18692000210285187,3.7975775302179215e-11,1.0,constq,-1.0,1.0,2.0
Quilvio Cabrera,G3QCABRE,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Quilvio Cabrera.ElmGenstat,L3,,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L3.ElmTerm,Wind,5,1.649999976158142,1.0,0.25999999046325684,5.007656442290731e-11,1.0,constq,-1.0,1.0,1.649999976158142
Juancho Los Cocos 1,G3JCOCO1,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Juancho Los Cocos 1.ElmGenstat,L4,,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L4.ElmTerm,Wind,26,1.7999999523162842,1.0,0.17114999890327454,7.080901143208251e-11,1.0,constq,-1.0,1.0,2.0
Larimar,G3PELARI,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar.ElmGenstat,L2,,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\L2.ElmTerm,Wind,15,3.299999952316284,1.0,1.898669958114624,3.7975775302179215e-11,1.0,constq,-1.0,1.0,3.299999952316284
Larimar 2,G3PELAR2,0,SUR PROFUNDO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Larimar 2.ElmGenstat,R3,,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLARIK.ElmSubstat\R3.ElmTerm,Wind,14,3.450000047683716,1.0,1.6707099676132202,3.7975775302179215e-11,1.0,constq,-1.0,1.0,3.450000047683716
