generator_id,generator_name,generator_id_legacy,code_changed,bus_id,bus_resolution_method,bus_id_in_buses,enabled_flag,pmax_mw,pmin_mw,cvp,effective_pmax_mw,effective_pmin_mw,effective_cvp,limits_sanitization_method,cost_sanitization_method,technology_group,ssaa,mrpf,mrsf,factora,heat_parameter,pgn_mw,source_sheet_primary,source_row_number,source_name_sheet,factor_node_bus_id,factor_node_smc_point_id,centrales_terminal_bus_id
G3PEMCT,PARQUE ENERGETICO LOS MINA CC TOTAL,G3PELMCT,SI,WLMI7E,factor_node_injection,True,1,315.0,185.0,8522.285618244377,315.0,185.0,8522.285618244377,unchanged,source_e_datgen,1,0.0185,20.0,45.0,12304.52675,5.593936186348862,369.2,e_datgen,138,MAPEO CENTRALES DE GENERACION,WLMI7E,1182-LMI7E-T01,
G3PFBAYA,PARQUE FOTOVOLTAICO BAYAHONDA (BAYASOL),,,WBAYAE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,108,Reporte de Disponibilidad,WBAYAE,3384-PFBAE-T01,
G3PFCALA,PARQUE FOTOVOLTAICO CALABAZA,,,WCALAE,factor_node_injection,True,1,50.6,0.0,,50.6,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,113,Reporte de Disponibilidad,WCALAE,3311-PFCAE-T01,
G3PFCOAS,PARQUE FOTOVOLTAICO COASTAL,,,WCOAPE,factor_node_injection,True,1,110.0,0.0,,110.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,130,Reporte de Disponibilidad,WCOAPE,4525-PFCOE-T02,
G3PFCOT1,PARQUE FOTOVOLTAICO COTOPERÍ I,,,WCOTAE,factor_node_injection,True,1,45.0,0.0,,45.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,124,Reporte de Disponibilidad,WCOTAE,4524-PFCOE-T01,
G3PFCOT2,PARQUE FOTOVOLTAICO COTOPERÍ II,,,WCOTAE,factor_node_injection,True,1,45.0,0.0,,45.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,125,Reporte de Disponibilidad,WCOTAE,4524-PFCOE-T02,
G3PFCOT3,PARQUE FOTOVOLTAICO COTOPERÍ III,,,WCOTBE,factor_node_injection,True,1,45.0,0.0,,45.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,126,Reporte de Disponibilidad,WCOTBE,4524-PFCOE-T03,
G3PFCUM1,PARQUE FOTOVOLTAICO CUMAYASA 1,,,WCUMAE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,115,Reporte de Disponibilidad,WCUMAE,4522-PFCUE-T01,
G3PFCUM2,PARQUE FOTOVOLTAICO CUMAYASA 2,,,WCUMBE,factor_node_injection,True,1,30.0,0.0,,30.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,116,Reporte de Disponibilidad,WCUMBE,4522-PFCUE-T02,
G3PFCUM4,PARQUE FOTOVOLTAICO CUMAYASA 4,,,WCUMBE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,132,Reporte de Disponibilidad,WCUMBE,4522-PFCUE-T03,
G3PFESP2,PARQUE SOLAR ESPERANZA 2,,,WESP1E,factor_node_injection,True,1,48.3,0.0,,48.3,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,134,Reporte de Disponibilidad,WESP1E,2369-PFE2E-T01,
G3PFLNEG,PARQUE FOTOVOLTAICO LOS NEGROS,,,WMRI2E,factor_node_injection,True,1,17.0,0.0,,17.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,117,Reporte de Disponibilidad,WMRI2E,3385-MRIOE-T02,
G3PFLUCI,PARQUE FOTOVOLTAICO LUCILA,,,WLUCIF,factor_node_injection,True,1,10.3,0.0,,10.3,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,129,Reporte de Disponibilidad,WLUCIF,3326-PFLUF-T01,
G3PFMAR1,PARQUE FOTOVOLTAICO MARANATHA FASE I,,,WMARAF,factor_node_injection,True,1,10.0,0.0,,10.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,118,Reporte de Disponibilidad,WMARAF,1359-MARAF-T01,
G3PFMART,PARQUE FOTOVOLTAICO MARTÍ,,,WMARTF,factor_node_injection,True,1,43.0,0.0,,43.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,131,Reporte de Disponibilidad,WMARTF,1318-PFMAF-T01,
G3PFMATR,PARQUE FOTOVOLTAICO MATRISOL,,,WMAT1E,factor_node_injection,True,1,46.0,0.0,,46.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,114,Reporte de Disponibilidad,WMAT1E,2909-PFMAE-T01,
G3PFMIRA,PARQUE FOTOVOLTAICO MIRASOL,,,WMIR1E,factor_node_injection,True,1,100.0,0.0,,100.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,121,Reporte de Disponibilidad,WMIR1E,1761-PFMIE-T01,
G3PFMPAL,PARQUE FOTOVOLTAICO MATA DE PALMA,,,WMPALF,factor_node_injection,True,1,49.88,0.0,,49.88,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,106,Reporte de Disponibilidad,WMPALF,1324-PFMPF-T01,
G3PFMSO1,PARQUE FOTOVOLTAICO MONTECRISTI SOLAR1,G3PFMSO1,NO,WGUAYE,factor_node_injection,True,1,50.6,0.0,,50.6,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,105,MAPEO CENTRALES DE GENERACION,WGUAYE,2358-PFMSE-T01,
G3PFPAY1,PARQUE FOTOVOLTAICO PAYITA 1,,,WPAYBE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,133,Reporte de Disponibilidad,WPAYBE,2916-PFPAE-T01,
G3PFPER1,PARQUE FOTOVOLTAICO PERAVIA I,,,WPERAE,factor_node_injection,True,1,70.0,0.0,,70.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,127,Reporte de Disponibilidad,WPERAE,3327-PFPEE-T01,
G3PFPER2,PARQUE FOTOVOLTAICO PERAVIA II,,,WPERBE,factor_node_injection,True,1,70.0,0.0,,70.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,128,Reporte de Disponibilidad,WPERBE,3327-PFPEE-T02,
G3PFSAJO,PARQUE FOTOVOLTAICO SAJOMA,,,WSAJ1E,factor_node_injection,True,1,68.4,0.0,,68.4,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,119,Reporte de Disponibilidad,WSAJ1E,2941-PFSAE-T01,
G3PFVICT,PARQUE FOTOVOLTAICO LA VICTORIA,,,WLVICE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,120,Reporte de Disponibilidad,WLVICE,1193-PFVIE-T01,
G3PFVILL,PARQUE FOTOVOLTAICO VILLARPANDO,,,WVILAE,factor_node_injection,True,1,87.6,0.0,,87.6,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,135,Reporte de Disponibilidad,WVILAE,3195-PFVIE-T01,
G3PFWCA2,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 2,,,WMP2AE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,122,Reporte de Disponibilidad,WMP2AE,1763-PFW2E-T01,
G3PFWCA3,PARQUE FOTOVOLTAICO WASHINGTON CAPITAL 3,,,WMP2BE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,123,Reporte de Disponibilidad,WMP2BE,1763-PFW3E-T01,
G3PIMEN1,PIMENTEL 1,G3PIMEN1,NO,WPIMEE,factor_node_injection,True,1,31.4,7.9,9114.5613207597,31.4,7.9,9114.5613207597,unchanged,source_e_datgen,1,0.029,2.0,6.0,89.97150789,,,e_datgen,81,MAPEO CENTRALES DE GENERACION,WPIMEE,2850-PIMEE-T01,WPIM1K
G3PIMEN2,PIMENTEL 2,G3PIMEN2,NO,WPIMEE,factor_node_injection,True,1,27.88,7.0,9217.43772628267,27.88,7.0,9217.43772628267,unchanged,source_e_datgen,1,0.027,2.0,6.0,140.7848331,,,e_datgen,80,MAPEO CENTRALES DE GENERACION,WPIMEE,2850-PIMEE-T02,WPIM2K
G3PIMEN3,PIMENTEL 3,G3PIMEN3,NO,WPIMEE,factor_node_injection,True,1,51.15,17.06,8673.033037328521,51.15,17.06,8673.033037328521,unchanged,source_e_datgen,1,0.024,2.31,12.69,164.2831197,,,e_datgen,85,MAPEO CENTRALES DE GENERACION,WPIMEE,2850-PIMEE-T03,WPIM3K
G3PIMEN4,PIMENTEL 4,,,WPIMEE,factor_node_injection,True,1,36.2,12.6,8716.271436850027,36.2,12.6,8716.271436850027,unchanged,source_e_datgen,1,0.024,1.575,,203.5,,,e_datgen,86,Reporte de Disponibilidad,WPIMEE,2850-PIMEE-T04,
G3PINAL1,PINALITO 1,G3PINAL1,NO,WPINAF,factor_node_injection,True,1,25.0,12.0,0.0,25.0,12.0,0.0,unchanged,source_e_datgen,2,0.02,0.6,,1638.702702702703,1.4118,25.6,e_datgen,42,MAPEO CENTRALES DE GENERACION,WPINAF,2580-PINA-01,WPIN1K
G3PINAL2,PINALITO 2,G3PINAL2,NO,WPINAF,factor_node_injection,True,1,25.0,12.0,0.0,25.0,12.0,0.0,unchanged,source_e_datgen,2,0.02,2.0,,1488.4514435695537,1.4118,25.6,e_datgen,43,MAPEO CENTRALES DE GENERACION,WPINAF,2580-PINA-01,WPIN2K
G3PSCANO,PARQUE SOLAR CANOA,,,WSCANF,factor_node_injection,True,1,25.0,0.0,,25.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,107,Reporte de Disponibilidad,WSCANF,3294-PFCSF-T01,
G3PSESPE,PARQUE SOLAR ESPERANZA,,,WESP1E,factor_node_injection,True,1,76.0,0.0,,76.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,112,Reporte de Disponibilidad,WESP1E,2369-ESPEE-T01,
G3PSGIRA,PARQUE SOLAR GIRASOL,,,WGIRAE,factor_node_injection,True,1,100.0,0.0,,100.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,109,Reporte de Disponibilidad,WGIRAE,3391-PSGIE-T01,
G3Q1SPFO,QUISQUEYA 1 SAN PEDRO,G3Q1SPFO,NO,WBON3D,factor_node_injection,True,1,0.0,10.3,6678.251777848861,0.0,0.0,6678.251777848861,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,5.1,6.0,237.5,,,e_datgen,59,MAPEO CENTRALES DE GENERACION,WBON3D,4830-ASQUE-T01,
G3Q1SPGN,QUISQUEYA 1 SAN PEDRO GN,,,WBON3D,factor_node_injection,True,1,68.0,10.3,4321.964563428512,68.0,10.3,4321.964563428512,unchanged,source_e_datgen,1,0.02,6.8,8.0,237.5,,,e_datgen,61,Reporte de Disponibilidad,WBON3D,4830-ASQUE-T01,
G3QCABRE,QUILVIO CABRERA,G3QCABRE,NO,WSLCOE,factor_node_injection,True,1,8.25,0.0,0.0,8.25,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,49,MAPEO CENTRALES DE GENERACION,WSLCOE,3266-LCOC-01,
G3QUI1FO,QUISQUEYA 1,G3QUI1FO,NO,WBON3D,factor_node_injection,True,1,0.0,66.0,6678.251777848861,0.0,0.0,6678.251777848861,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,4.5,16.0,237.5,,,e_datgen,58,MAPEO CENTRALES DE GENERACION,WBON3D,2472-QUIS-01,
G3QUI1GN,QUISQUEYA 1 GN,,,WBON3D,factor_node_injection,True,1,133.0,66.0,4321.964563428512,133.0,66.0,4321.964563428512,unchanged,source_e_datgen,1,0.02,4.5,16.0,237.5,,,e_datgen,60,Reporte de Disponibilidad,WBON3D,2472-QUIS-01,
G3QUI2FO,QUISQUEYA 2 FO,,,WBON3D,factor_node_injection,True,1,0.0,66.0,7025.039201125142,0.0,0.0,7025.039201125142,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,20.88,24.0,305.72999999999996,,,e_datgen,62,Reporte de Disponibilidad,WBON3D,2472-QUIS-01,
G3QUI2GN,QUISQUEYA 2 GN,,,WBON3D,factor_node_injection,True,1,198.0,66.0,3413.9302378588127,198.0,66.0,3413.9302378588127,unchanged,source_e_datgen,1,0.02,20.88,24.0,305.72999999999996,,,e_datgen,63,Reporte de Disponibilidad,WBON3D,2472-QUIS-01,
G3RBLAN1,RIO BLANCO 1,G3RBLAN1,NO,WRBLAF,factor_node_injection,True,1,12.5,8.5,0.0,12.5,8.5,0.0,unchanged,source_e_datgen,2,0.02,1.0,,952.3809523809524,2.6125,12.8,e_datgen,13,MAPEO CENTRALES DE GENERACION,WRBLAF,2680-RBLA-01,WRBL1K
G3RBLAN2,RIO BLANCO 2,G3RBLAN2,NO,WRBLAF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,2,0.02,1.0,,952.3809523809524,2.6125,12.8,e_datgen,14,MAPEO CENTRALES DE GENERACION,WRBLAF,2680-RBLA-02,WRBL2K
G3RINCON,RINCON,G3RINCON,NO,WRINCF,factor_node_injection,True,1,9.8,4.0,0.0,9.8,4.0,0.0,unchanged,source_e_datgen,2,0.02,0.4,,544.3607547169811,4.1531,10.1,e_datgen,22,MAPEO CENTRALES DE GENERACION,WRINCF,2150-RINC-01T,WRINCK
G3RJCRUZ,ROSA JULIA DE LA CRUZ,G3RJCRUZ,NO,WNAGUF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.3333,0.9,e_datgen,38,MAPEO CENTRALES DE GENERACION,WNAGUF,2083-NAGU-02,WRJCRK
G3SABANE,SABANETA,G3SABANE,NO,WSABAF,factor_node_injection,True,1,5.1,4.0,0.0,5.1,4.0,0.0,unchanged,source_e_datgen,3,0.02,0.2,,35.72727272727274,1.7102,6.4,e_datgen,30,MAPEO CENTRALES DE GENERACION,WSABAF,3250-SABA-01,WSABAK
G3SANTAS,PARQUE FOTOVOLTAICO SANTANASOL,,,WSANTE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,110,Reporte de Disponibilidad,WSANTE,3393-SANTE-T01,
G3SESTE,SULTANA DEL ESTE,G3SESTE,NO,WSESTE,factor_node_injection,True,1,51.0,14.0,7636.1466282238425,51.0,14.0,7636.1466282238425,unchanged,source_e_datgen,1,0.021,4.08,8.0,43.33836416962055,,,e_datgen,71,MAPEO CENTRALES DE GENERACION,WSESTE,4004-SESTE-L01,
G3SIBACC,SIBA CICLO COMBINADO,,,WSIBBE,factor_node_injection,True,1,260.0,140.0,5680.542253615097,260.0,140.0,5680.542253615097,unchanged,source_e_datgen,1,0.026586667212644854,11.55,,275.89473684210526,,,e_datgen,143,Reporte de Disponibilidad,WSIBBE,1702-SIBAE-L01,
G3SIBACS,SIBA CICLO SIMPLE,,,WSIBBE,factor_node_injection,True,1,0.0,13.0,7570.966289985678,0.0,0.0,7570.966289985678,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.026586667212644854,11.55,13.0,275.89473684210526,,,e_datgen,142,Reporte de Disponibilidad,WSIBBE,1702-SIBAE-L01,
G3SLORE1,SAN LORENZO 1,G3SLORE1,NO,WIGASE,factor_node_injection,True,1,0.0,0.0,14229.867674858222,0.0,0.0,14229.867674858222,unchanged,source_e_datgen,1,0.02,,,,,,e_datgen,101,MAPEO CENTRALES DE GENERACION,WIGASE,1391-SLOR-01,WSLORK
G3SPBIOE,SAN PEDRO BIO-ENERGY,G3SPBENE,SI,WSPBEE,factor_node_injection,True,1,30.0,18.0,5216.661637611238,30.0,18.0,5216.661637611238,unchanged,source_e_datgen,4,0.02,,,,1.1605,31.2,e_datgen,136,MAPEO CENTRALES DE GENERACION,WSPBEE,4300-SPBEE-T01,WSPB1K
G3SYEGUA,SABANA YEGUA,G3SYEGUA,NO,WSYEGF,factor_node_injection,True,1,6.9,5.0,0.0,6.9,5.0,0.0,unchanged,source_e_datgen,3,0.02,0.9,,897.703071672355,3.4698,12.8,e_datgen,29,MAPEO CENTRALES DE GENERACION,WSYEGF,3180-SYEG-01T,WSYEGK
G3TAVER1,TAVERA 1,G3TAVER1,NO,WTAVBE,factor_node_injection,True,1,48.0,33.0,0.0,48.0,33.0,0.0,unchanged,source_e_datgen,2,0.02,3.1,5.8,51222.857142857145,3.75,48.0,e_datgen,5,MAPEO CENTRALES DE GENERACION,WTAVBE,2201-TAVE-01,WTAV1K
G3TAVER2,TAVERA 2,G3TAVER2,NO,WTAVBE,factor_node_injection,True,1,48.0,33.0,0.0,48.0,33.0,0.0,unchanged,source_e_datgen,2,0.02,3.7,11.0,19322.448979591838,3.75,48.0,e_datgen,6,MAPEO CENTRALES DE GENERACION,WTAVBE,2200-TAVE-02,WTAV2K
G3VALDE1,VALDESIA 1,G3VALDE1,NO,WVALDE,factor_node_injection,True,1,24.0,16.0,0.0,24.0,16.0,0.0,unchanged,source_e_datgen,2,0.02,2.0,,3994.7368421052633,3.9455,25.5,e_datgen,11,MAPEO CENTRALES DE GENERACION,WVALDE,3010-VALD-01,WVAL1K
G3VALDE2,VALDESIA 2,G3VALDE2,NO,WVALDE,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,2,0.02,2.0,,6711.23595505618,3.9455,25.5,e_datgen,12,MAPEO CENTRALES DE GENERACION,WVALDE,3010-VALD-02,WVAL2K
