bus_id_modom,factor_retiro
WXCBAF,1.051381
WXCB2F,1.051381
WMLTPF,1.051303
WVALTF,1.051498
WSJOCF,1.037999
WYAMAF,1.041956
WSRODE,1.042718
WMPLAF,1.05398
WSODOF,1.072064
WMVIEF,1.072216
WCORMF,1.062934
WLDAMK,1.072738
WABISF,1.067223
WDISDF,1.037314
WLALFF,1.010168
WPLCCF,1.010909
WNEYBF,1.098957
